0,FO,i03,2,3
Time,Value 
Final, 3940,3940

Round,H_team,A_team 
0,0,156
0,1,189
0,2,76
0,3,70
0,4,47
0,5,181
0,6,126
0,210,7
0,212,8
0,9,26
0,103,10
0,187,11
0,214,12
0,13,60
0,215,14
0,15,206
0,55,16
0,143,17
0,166,18
0,19,79
0,180,20
0,21,131
0,22,115
0,204,23
0,24,57
0,25,93
0,199,27
0,28,177
0,29,92
0,30,46
0,75,31
0,162,32
0,171,33
0,34,91
0,43,35
0,36,200
0,37,112
0,178,38
0,45,39
0,40,201
0,41,125
0,122,42
0,193,44
0,48,133
0,49,130
0,195,50
0,51,117
0,52,136
0,192,53
0,54,138
0,64,56
0,58,127
0,59,65
0,142,61
0,62,197
0,63,141
0,66,182
0,202,67
0,148,68
0,69,194
0,71,203
0,72,207
0,73,186
0,77,74
0,78,146
0,80,183
0,81,198
0,87,82
0,83,88
0,84,147
0,85,211
0,86,150
0,89,208
0,95,90
0,164,94
0,153,96
0,109,97
0,175,98
0,99,191
0,167,100
0,174,101
0,102,105
0,104,157
0,173,106
0,107,158
0,184,108
0,163,110
0,111,190
0,113,114
0,116,119
0,118,179
0,121,120
0,123,205
0,124,170
0,168,128
0,129,169
0,132,139
0,135,134
0,188,137
0,213,140
0,144,145
0,149,176
0,151,154
0,152,209
0,155,196
0,159,165
0,185,160
0,161,172
1,134,0
1,191,1
1,82,2
1,150,3
1,8,4
1,46,5
1,119,6
1,7,142
1,125,9
1,10,41
1,11,202
1,12,204
1,183,13
1,14,37
1,189,15
1,16,213
1,17,73
1,18,171
1,76,19
1,20,212
1,42,21
1,179,22
1,23,193
1,136,24
1,39,25
1,26,180
1,27,123
1,201,28
1,176,29
1,140,30
1,31,148
1,32,102
1,33,168
1,177,34
1,35,64
1,172,36
1,38,175
1,120,40
1,126,43
1,44,167
1,50,45
1,47,178
1,53,48
1,57,49
1,203,51
1,198,52
1,130,54
1,138,55
1,56,215
1,133,58
1,141,59
1,60,174
1,61,214
1,181,62
1,211,63
1,65,143
1,186,66
1,67,72
1,68,80
1,70,69
1,197,71
1,74,129
1,147,75
1,137,77
1,139,78
1,79,89
1,205,81
1,91,83
1,209,84
1,98,85
1,96,86
1,88,87
1,90,153
1,92,152
1,93,184
1,94,99
1,196,95
1,97,187
1,100,173
1,101,103
1,154,104
1,105,192
1,106,185
1,169,107
1,108,162
1,165,109
1,110,188
1,158,111
1,112,113
1,114,199
1,115,195
1,128,116
1,117,210
1,170,118
1,127,121
1,131,122
1,206,124
1,208,132
1,156,135
1,146,144
1,145,166
1,190,149
1,182,151
1,157,155
1,160,159
1,200,161
1,194,163
1,207,164
2,0,17
2,1,157
2,2,70
2,3,147
2,4,203
2,5,117
2,120,6
2,13,7
2,142,8
2,9,137
2,152,10
2,193,11
2,175,12
2,171,14
2,15,61
2,135,16
2,202,18
2,19,150
2,167,20
2,21,182
2,22,112
2,63,23
2,24,35
2,25,92
2,95,26
2,210,27
2,28,186
2,29,177
2,30,201
2,66,31
2,180,32
2,184,33
2,34,169
2,36,42
2,37,119
2,204,38
2,121,39
2,40,126
2,41,128
2,125,43
2,118,44
2,45,130
2,48,46
2,195,47
2,49,131
2,212,50
2,51,198
2,52,138
2,58,53
2,54,57
2,55,134
2,132,56
2,59,197
2,62,60
2,64,140
2,78,65
2,71,67
2,73,68
2,69,206
2,72,189
2,86,74
2,75,211
2,77,76
2,80,79
2,81,208
2,153,82
2,83,154
2,84,205
2,85,90
2,87,194
2,89,88
2,168,91
2,129,93
2,151,94
2,104,96
2,159,97
2,102,98
2,99,181
2,103,100
2,199,101
2,164,105
2,188,106
2,107,165
2,214,108
2,109,158
2,215,110
2,111,196
2,113,207
2,116,114
2,185,115
2,122,127
2,123,179
2,124,183
2,213,133
2,187,136
2,144,139
2,192,141
2,143,146
2,174,145
2,148,170
2,149,172
2,155,209
2,173,156
2,178,160
2,161,176
2,162,200
2,163,191
2,166,190
3,0,144
3,79,1
3,91,2
3,74,3
3,23,4
3,196,5
3,6,125
3,7,15
3,8,180
3,39,9
3,10,121
3,11,37
3,12,185
3,190,13
3,14,213
3,16,132
3,17,78
3,18,167
3,68,19
3,20,55
3,130,21
3,186,22
3,24,178
3,43,25
3,26,199
3,27,171
3,191,28
3,90,29
3,117,30
3,31,73
3,32,111
3,33,215
3,96,34
3,35,58
3,182,36
3,38,188
3,53,40
3,137,41
3,42,118
3,44,174
3,169,45
3,46,49
3,47,212
3,128,48
3,50,116
3,119,51
3,65,52
3,136,54
3,56,192
3,57,140
3,61,59
3,60,204
3,141,62
3,198,63
3,131,64
3,146,66
3,67,175
3,82,69
3,70,72
3,211,71
3,208,75
3,76,173
3,147,77
3,150,80
3,201,81
3,98,83
3,154,84
3,170,85
3,205,86
3,176,87
3,88,153
3,194,89
3,92,104
3,93,152
3,94,159
3,172,95
3,97,102
3,189,99
3,100,184
3,101,193
3,157,103
3,105,202
3,106,183
3,108,107
3,203,109
3,110,164
3,112,195
3,115,113
3,114,214
3,127,120
3,133,122
3,126,123
3,207,124
3,197,129
3,134,168
3,138,135
3,139,143
3,200,142
3,179,145
3,156,148
3,181,149
3,209,151
3,187,155
3,158,162
3,160,210
3,206,161
3,165,163
3,177,166
4,73,0
