0,FO,i03,2,100
Time,Value 
Final, 3877,3877

Round,H_team,A_team 
0,0,134
0,1,79
0,2,74
0,3,209
0,4,208
0,5,114
0,6,53
0,15,7
0,174,8
0,9,121
0,43,10
0,194,11
0,173,12
0,204,13
0,22,14
0,192,16
0,144,17
0,18,145
0,19,70
0,203,20
0,21,39
0,200,23
0,24,49
0,25,103
0,213,26
0,37,27
0,28,38
0,29,104
0,30,127
0,75,31
0,165,32
0,178,33
0,34,190
0,187,35
0,36,183
0,40,119
0,41,50
0,123,42
0,118,44
0,45,126
0,57,46
0,185,47
0,48,130
0,51,117
0,52,140
0,54,55
0,132,56
0,58,137
0,59,60
0,143,61
0,188,62
0,63,205
0,64,131
0,78,65
0,66,191
0,214,67
0,69,68
0,71,215
0,72,179
0,73,139
0,77,76
0,80,82
0,81,177
0,153,83
0,84,197
0,85,157
0,86,169
0,87,211
0,88,154
0,89,168
0,90,96
0,129,91
0,92,95
0,167,93
0,111,94
0,99,97
0,162,98
0,202,100
0,199,101
0,102,108
0,193,105
0,184,106
0,107,201
0,109,170
0,159,110
0,116,112
0,113,176
0,171,115
0,125,120
0,122,128
0,124,181
0,195,133
0,135,156
0,138,136
0,180,141
0,142,172
0,146,186
0,150,147
0,148,207
0,149,196
0,151,182
0,152,189
0,155,210
0,164,158
0,175,160
0,161,198
0,163,206
0,212,166
1,0,73
1,201,1
1,96,2
1,76,3
1,172,4
1,206,5
1,39,6
1,7,13
1,8,183
1,10,9
1,11,188
1,12,178
1,14,185
1,62,15
1,16,173
1,61,17
1,189,18
1,176,19
1,20,129
1,50,21
1,197,22
1,23,180
1,60,24
1,93,25
1,26,167
1,27,124
1,169,28
1,103,29
1,140,30
1,68,31
1,32,163
1,33,184
1,53,34
1,35,64
1,210,36
1,42,37
1,38,199
1,168,40
1,126,41
1,125,43
1,44,171
1,119,45
1,46,116
1,47,212
1,128,48
1,49,59
1,51,214
1,139,52
1,137,54
1,55,156
1,56,77
1,130,57
1,133,58
1,186,63
1,65,143
1,67,66
1,208,69
1,70,148
1,203,71
1,190,72
1,74,153
1,205,75
1,166,78
1,79,84
1,147,80
1,196,81
1,82,150
1,104,83
1,191,85
1,91,86
1,98,87
1,88,155
1,182,89
1,154,90
1,100,92
1,94,162
1,95,195
1,97,111
1,198,99
1,101,177
1,158,102
1,105,202
1,106,193
1,110,107
1,108,165
1,209,109
1,112,123
1,114,113
1,115,175
1,117,174
1,192,118
1,120,121
1,131,122
1,127,194
1,144,132
1,134,138
1,135,213
1,136,200
1,141,204
1,207,142
1,179,145
1,181,146
1,170,149
1,211,151
1,157,152
1,187,159
1,160,164
1,215,161
2,148,0
2,1,88
2,2,186
2,3,96
2,4,60
2,5,189
2,6,130
2,63,7
2,13,8
2,9,91
2,25,10
2,206,11
2,213,12
2,174,14
2,15,205
2,86,16
2,17,139
2,142,18
2,19,170
2,54,20
2,21,128
2,167,22
2,171,23
2,24,46
2,178,26
2,199,27
2,28,191
2,29,97
2,30,50
2,31,76
2,107,32
2,185,33
2,34,39
2,180,35
2,36,181
2,37,115
2,202,38
2,40,120
2,41,93
2,43,42
2,188,44
2,45,131
2,211,47
2,48,127
2,57,49
2,116,51
2,52,65
2,138,53
2,132,55
2,204,56
2,58,136
2,59,140
2,61,141
2,62,212
2,64,133
2,66,208
2,71,67
2,184,68
2,69,80
2,150,70
2,72,200
2,73,147
2,173,74
2,75,190
2,77,135
2,78,196
2,155,79
2,81,168
2,83,82
2,84,187
2,85,98
2,87,198
2,89,154
2,152,90
2,92,101
2,94,164
2,95,100
2,99,102
2,104,103
2,105,176
2,183,106
2,193,108
2,109,179
2,165,110
2,111,160
2,177,112
2,207,113
2,114,119
2,175,117
2,118,194
2,121,125
2,122,126
2,123,182
2,195,124
2,129,137
2,156,134
2,143,144
2,145,201
2,146,172
2,149,209
2,151,215
2,153,157
2,210,158
2,159,203
2,161,192
2,162,197
2,163,169
2,214,166
3,0,143
3,170,1
3,16,2
3,82,3
3,7,4
3,112,5
3,50,6
3,8,203
3,103,9
3,10,92
3,11,183
3,12,177
3,13,202
3,14,213
3,181,15
3,17,132
3,18,66
3,80,19
3,20,34
3,130,21
3,22,188
3,23,59
3,24,48
3,121,25
3,26,210
3,27,214
3,200,28
3,215,29
3,51,30
3,31,73
3,32,159
3,33,37
3,35,195
3,194,36
3,38,204
3,39,41
3,42,40
3,44,43
3,120,45
3,46,140
3,47,193
3,49,64
3,134,52
3,53,54
3,138,55
3,56,175
3,131,57
3,126,58
3,60,171
3,179,61
3,191,62
3,198,63
3,65,144
3,67,180
3,68,211
3,168,69
3,70,75
3,197,71
3,209,72
3,74,86
3,76,150
3,156,77
3,139,78
3,79,89
3,189,81
3,83,85
3,205,84
3,212,87
3,96,88
3,90,153
3,91,152
3,93,192
3,102,94
3,101,95
3,97,174
3,98,184
3,196,99
3,100,109
3,154,104
3,108,105
3,106,206
3,158,107
3,110,207
3,190,111
3,113,199
3,117,114
3,115,173
3,128,116
3,176,118
3,119,122
3,124,123
3,127,125
3,172,129
3,133,185
3,137,135
3,136,167
3,141,178
3,146,142
3,145,166
3,147,148
3,169,149
3,186,151
3,157,155
3,160,187
3,182,161
3,201,162
3,208,163
3,164,165
4,78,0
4,1,186
4,2,82
4,3,70
4,4,46
4,5,116
4,6,119
4,142,7
4,15,8
4,9,93
4,152,10
4,195,11
4,187,12
4,177,13
4,114,14
4,188,16
4,73,17
4,144,18
4,19,31
4,135,20
4,21,206
4,215,22
4,30,23
4,57,24
4,25,126
4,193,26
4,204,27
4,28,179
4,29,197
4,180,32
4,168,33
4,34,198
4,58,35
4,36,42
4,37,38
4,40,39
4,41,127
4,43,121
4,178,44
4,45,50
4,202,47
4,48,131
4,54,49
4,183,51
4,52,156
4,55,53
4,199,56
4,59,65
4,184,60
4,61,139
4,62,190
4,63,141
4,64,136
4,66,145
4,171,67
4,75,68
4,69,196
4,71,172
4,72,189
4,174,74
4,173,76
4,77,147
4,87,79
4,80,212
4,81,176
4,155,83
4,84,154
4,85,200
4,86,96
4,88,91
4,89,150
4,92,90
4,99,94
4,95,103
4,102,97
4,203,98
4,210,100
4,213,101
4,104,157
4,105,164
4,175,106
4,107,211
4,167,108
4,109,169
4,111,110
4,113,112
4,207,115
4,191,117
4,118,201
4,122,120
4,123,194
4,214,124
4,125,130
4,192,128
4,129,181
4,132,138
4,140,133
4,148,134
4,185,137
4,143,146
4,149,208
4,151,160
4,153,205
4,159,158
4,161,170
4,162,182
4,163,165
4,166,209
5,0,77
5,176,1
5,150,2
5,74,3
5,47,4
5,179,5
5,120,6
5,7,191
5,8,142
5,39,9
5,10,95
5,11,37
5,12,204
5,200,13
5,14,168
5,60,15
5,16,202
5,166,17
5,18,180
5,82,19
5,20,171
5,116,21
5,22,207
5,23,63
5,136,24
5,137,25
5,26,192
5,27,184
5,42,28
5,154,29
5,49,30
5,31,69
5,32,213
5,33,195
5,91,34
5,35,45
5,53,36
5,38,174
5,127,40
5,121,41
5,126,43
5,44,125
5,46,51
5,140,48
5,50,212
5,135,52
5,131,54
5,134,55
5,56,214
5,65,57
5,130,58
5,61,59
5,170,62
5,139,64
5,196,66
5,67,199
5,68,185
5,70,80
5,205,71
5,169,72
5,209,73
5,208,75
5,76,148
5,144,78
5,79,153
5,203,81
5,157,83
5,147,84
5,90,85
5,190,86
5,88,87
5,206,89
5,92,103
5,93,129
5,94,151
5,96,104
5,97,173
5,98,183
5,201,99
5,100,167
5,101,178
5,164,102
5,110,105
5,106,111
5,108,107
5,158,109
5,112,215
5,186,113
5,115,114
5,117,187
5,211,118
5,119,123
5,133,122
5,124,210
5,128,188
5,189,132
5,138,156
5,141,175
5,145,143
5,194,146
5,177,149
5,172,152
5,198,155
5,182,159
5,160,193
5,181,161
5,165,162
5,197,163
6,17,0
6,1,157
6,2,91
6,3,150
6,4,170
6,5,115
6,40,6
6,174,7
6,62,8
6,9,20
6,168,10
6,214,11
6,175,12
6,13,187
6,210,14
6,15,182
6,77,16
6,146,18
6,19,147
6,21,35
6,193,22
6,213,23
6,24,65
6,25,92
6,118,26
6,180,27
6,28,203
6,29,101
6,30,128
6,148,31
6,164,32
6,207,33
6,34,206
6,36,198
6,37,119
