11,Heuristic,i03,0,3,1
Time,Value 
Final, 3204,7231

Round,H_team,A_team 
0,0,77
0,79,1
0,86,2
0,84,3
0,47,4
0,5,115
0,122,6
0,7,170
0,8,141
0,121,9
0,10,103
0,11,112
0,196,12
0,13,204
0,184,14
0,60,15
0,93,16
0,17,78
0,18,168
0,191,19
0,55,20
0,21,128
0,206,22
0,211,23
0,182,24
0,181,25
0,26,207
0,37,27
0,199,28
0,174,29
0,49,30
0,173,31
0,32,102
0,33,169
0,91,34
0,35,54
0,200,36
0,38,186
0,126,39
0,40,45
0,120,41
0,119,42
0,43,125
0,44,187
0,51,46
0,48,57
0,50,116
0,52,136
0,53,133
0,134,56
0,127,58
0,59,189
0,180,61
0,63,62
0,64,140
0,65,203
0,66,146
0,176,67
0,148,68
0,185,69
0,82,70
0,71,190
0,72,205
0,73,75
0,209,74
0,76,150
0,147,80
0,212,81
0,83,155
0,154,85
0,194,87
0,153,88
0,172,89
0,175,90
0,92,104
0,94,97
0,101,95
0,96,157
0,213,98
0,99,100
0,165,105
0,106,208
0,107,158
0,108,177
0,109,111
0,193,110
0,215,113
0,117,114
0,118,183
0,123,197
0,124,178
0,192,129
0,131,130
0,132,135
0,137,201
0,156,138
0,214,139
0,188,142
0,143,144
0,145,195
0,149,179
0,151,159
0,171,152
0,160,202
0,167,161
0,163,162
0,164,198
0,166,210
1,134,0
1,1,154
1,2,3
1,4,200
1,169,5
1,45,6
1,15,7
1,171,8
1,9,129
1,10,101
1,115,11
1,12,37
1,141,13
1,14,172
1,16,91
1,139,17
1,195,18
1,19,197
1,20,156
1,125,21
1,112,22
1,23,117
1,24,49
1,25,121
1,205,26
1,27,123
1,179,28
1,29,184
1,46,30
1,31,72
1,111,32
1,33,199
1,34,208
1,58,35
1,36,167
1,201,38
1,39,53
1,42,40
1,41,43
1,118,44
1,185,47
1,130,48
1,126,50
1,168,51
1,54,52
1,55,137
1,136,56
1,57,131
1,59,60
1,61,202
1,62,196
1,63,215
1,64,65
1,191,66
1,67,212
1,68,180
1,80,69
1,70,147
1,203,71
1,144,73
1,74,76
1,75,192
1,77,148
1,78,175
1,82,79
1,81,84
1,87,83
1,155,85
1,88,86
1,89,153
1,90,92
1,93,96
1,210,94
1,95,194
1,97,151
1,98,176
1,207,99
1,100,173
1,102,213
1,103,181
1,152,104
1,105,108
1,183,106
1,110,107
1,204,109
1,198,113
1,114,116
1,193,119
1,120,122
1,206,124
1,133,127
1,128,214
1,178,132
1,135,138
1,140,188
1,142,209
1,177,143
1,189,145
1,146,166
1,187,149
1,150,182
1,157,186
1,158,165
1,159,211
1,170,160
1,161,174
1,162,164
1,190,163
2,17,0
2,1,153
2,83,2
2,3,82
2,4,23
2,5,188
2,6,130
2,7,141
2,8,63
2,9,41
2,129,10
2,11,14
2,213,12
2,13,62
2,211,15
2,74,16
2,18,144
2,19,189
2,53,20
2,21,120
2,22,168
2,183,24
2,43,25
2,26,193
2,196,27
2,28,204
2,202,29
2,30,47
2,31,169
2,32,158
2,115,33
2,34,190
2,35,57
2,197,36
2,37,171
2,38,177
2,40,39
2,186,42
2,44,178
2,121,45
2,50,46
2,131,48
2,49,59
2,51,207
2,56,52
2,127,54
2,138,55
2,133,58
2,60,174
2,175,61
2,215,64
2,65,140
2,66,205
2,181,67
2,199,68
2,69,70
2,71,187
2,72,192
2,73,210
2,75,77
2,76,206
2,212,78
2,79,80
2,89,81
2,84,195
2,85,98
2,86,150
2,155,87
2,154,88
2,96,90
2,91,93
2,92,101
2,94,159
2,182,95
2,172,97
2,173,99
2,100,103
2,176,102
2,104,157
2,180,105
2,200,106
2,164,107
2,108,184
2,109,110
2,162,111
2,114,112
2,113,170
2,116,128
2,117,191
2,214,118
2,119,123
2,122,126
2,124,179
2,209,125
2,132,136
2,135,134
2,137,156
2,139,185
2,208,142
2,143,198
2,145,146
2,147,148
2,149,201
2,160,151
2,167,152
2,194,161
2,165,163
2,166,203
3,0,143
3,88,1
3,2,19
3,150,3
3,63,4
3,201,5
3,21,6
3,7,8
3,177,9
3,29,10
3,33,11
3,12,187
3,61,13
3,14,115
3,15,202
3,185,16
3,203,17
3,146,18
3,20,127
3,22,191
3,23,30
3,24,59
3,25,152
3,197,26
3,179,27
3,28,36
3,148,31
3,107,32
3,41,34
3,48,35
3,123,37
3,170,38
3,125,39
3,40,121
3,42,45
3,126,43
3,205,44
3,64,46
3,47,211
3,130,49
3,206,50
3,188,51
3,52,65
3,55,53
3,54,133
3,56,132
3,57,173
3,58,131
3,140,60
3,62,213
3,210,66
3,67,175
3,68,73
3,147,69
3,204,70
3,71,149
3,176,72
3,184,74
3,171,75
3,76,96
3,77,135
3,78,209
3,190,79
3,80,189
3,81,155
3,82,84
3,153,83
3,169,85
3,157,86
3,87,89
3,90,91
3,95,92
3,93,138
3,158,94
3,97,200
3,98,214
3,99,167
3,192,100
3,101,182
3,102,162
3,103,104
3,105,208
3,106,194
3,164,108
3,193,109
3,110,165
3,163,111
3,112,183
3,199,113
3,168,114
3,116,122
3,117,215
3,174,118
3,120,119
3,195,124
3,128,212
3,178,129
3,134,137
3,136,172
3,142,139
3,198,141
3,144,180
3,145,181
3,151,154
3,156,196
3,159,160
3,161,186
3,207,166
4,148,0
4,1,81
4,150,2
4,3,193
4,4,215
4,184,5
4,6,126
4,61,7
4,60,8
4,9,34
4,10,44
4,186,11
4,115,12
4,13,212
4,14,33
4,214,15
4,16,169
4,209,17
4,18,142
4,19,76
4,20,137
4,187,21
4,208,22
4,47,23
4,46,24
4,129,25
4,118,26
4,27,171
4,175,28
4,85,29
4,30,51
4,31,75
4,32,159
4,35,64
4,36,42
4,38,37
4,39,41
4,43,40
4,45,190
4,211,48
4,49,131
4,50,196
4,201,52
4,53,127
4,54,58
4,135,55
4,138,56
4,180,57
4,59,63
4,62,199
4,173,65
4,66,145
4,172,67
4,68,147
4,69,197
4,70,80
4,72,71
4,73,78
4,74,156
4,77,134
4,79,207
4,86,82
4,83,88
4,84,153
4,188,87
4,155,89
4,154,90
4,91,96
4,100,92
4,157,93
4,160,94
4,103,95
4,97,98
4,178,99
4,104,101
4,102,168
4,105,192
4,177,106
4,163,107
4,108,158
4,109,203
4,111,110
4,113,112
4,191,114
4,167,116
4,181,117
4,119,122
4,130,120
4,121,206
4,123,210
4,124,185
4,202,125
4,189,128
4,132,139
4,133,136
4,140,205
4,141,200
4,143,195
4,144,170
4,182,146
4,149,174
4,183,151
4,152,176
4,198,161
4,162,204
4,194,164
4,165,179
4,213,166
5,0,135
5,210,1
5,2,76
5,3,86
5,30,4
5,5,113
5,119,6
5,212,7
5,8,13
5,125,9
5,92,10
5,11,180
5,12,202
5,168,14
5,15,61
5,55,16
5,17,73
5,203,18
5,80,19
5,136,20
5,21,123
5,22,117
5,23,176
5,57,24
5,25,90
5,26,208
5,27,209
5,28,38
5,29,154
5,147,31
5,106,32
5,33,183
5,34,93
5,131,35
5,36,194
5,37,188
5,39,43
5,122,40
5,41,53
5,42,175
5,44,172
5,120,45
5,46,167
5,207,47
5,48,140
5,64,49
5,128,50
5,51,193
5,52,134
5,137,54
5,56,133
5,58,130
5,65,59
5,60,141
5,204,62
5,186,63
5,66,149
5,67,195
5,70,68
5,72,69
5,71,198
5,206,74
5,75,191
5,156,77
5,78,201
5,189,79
5,81,173
5,82,150
5,151,83
5,89,84
5,87,85
5,88,155
5,169,91
5,94,162
5,95,184
5,96,129
5,190,97
5,98,178
5,99,214
5,100,199
5,101,181
5,205,102
5,152,103
5,179,104
5,164,105
5,107,165
5,174,108
5,192,109
5,158,110
5,159,111
5,112,213
5,114,182
5,115,211
5,116,177
5,196,118
5,126,121
5,170,124
5,127,138
5,132,143
5,139,144
5,142,171
5,166,145
5,200,146
5,215,148
5,153,157
5,187,160
5,197,161
5,185,163
6,0,52
6,1,82
6,157,2
6,83,3
6,4,206
6,5,112
6,6,120
6,7,62
6,8,196
6,9,25
6,10,205
6,202,11
6,172,12
6,13,60
6,14,189
6,59,15
6,16,203
6,17,144
6,18,166
6,19,147
6,20,56
6,42,21
6,200,22
6,63,23
6,24,64
6,198,26
6,176,27
6,40,28
6,104,29
6,201,30
6,31,183
6,110,32
6,184,33
6,171,34
6,35,39
6,175,36
6,124,37
6,38,204
6,129,41
6,43,127
6,179,44
6,45,122
6,117,46
6,47,190
6,133,48
6,49,58
6,50,131
6,182,51
6,138,53
6,54,136
6,134,55
6,140,57
6,61,139
6,195,65
6,167,66
6,69,67
6,77,68
6,150,70
6,194,71
6,149,72
6,76,73
6,74,96
6,168,75
6,78,132
6,79,84
6,180,80
6,87,81
6,85,151
6,86,89
6,98,88
6,90,152
6,91,170
6,169,92
6,93,137
6,211,94
6,188,95
6,159,97
6,102,99
6,208,100
6,103,101
6,105,107
6,191,106
6,108,186
6,109,173
6,111,158
6,113,115
6,199,114
6,213,116
6,118,187
6,177,119
6,121,125
6,178,123
6,130,126
6,209,128
6,135,212
6,141,142
6,181,143
6,145,215
6,146,192
6,148,207
6,155,153
6,154,197
6,193,156
