588,Heuristic,i01,2,3,1
Time,Value 
Final, 6392,7231

Round,H_team,A_team 
0,0,18
0,1,10
0,2,4
0,3,42
0,5,20
0,6,30
0,7,24
0,8,32
0,9,46
0,31,11
0,35,12
0,33,13
0,14,19
0,15,39
0,41,16
0,17,34
0,21,28
0,36,22
0,25,23
0,38,26
0,27,47
0,29,48
0,37,49
0,45,40
0,43,44
1,13,0
1,19,1
1,18,2
1,23,3
1,4,38
1,26,5
1,24,6
1,30,7
1,34,8
1,44,9
1,10,14
1,11,17
1,12,36
1,16,15
1,20,33
1,39,21
1,22,41
1,42,25
1,28,27
1,29,31
1,32,35
1,40,37
1,49,43
1,48,45
1,46,47
2,0,4
2,1,13
2,2,42
2,3,10
2,5,30
2,6,26
2,7,28
2,8,29
2,9,34
2,45,11
2,17,12
2,14,18
2,15,19
2,36,16
2,41,20
2,21,40
2,38,22
2,43,23
2,25,24
2,27,48
2,31,46
2,47,32
2,33,49
2,35,44
2,37,39
3,19,0
3,11,1
3,23,2
3,4,3
3,28,5
3,29,6
3,26,7
3,10,8
3,30,9
3,12,41
3,13,17
3,20,14
3,22,15
3,16,33
3,18,35
3,42,21
3,24,45
3,39,25
3,40,27
3,44,31
3,32,36
3,34,43
3,46,37
3,48,38
3,49,47
4,0,20
4,1,16
4,2,39
4,3,30
4,41,4
4,5,29
4,6,40
4,7,13
4,8,18
4,9,12
4,43,10
4,35,11
4,14,32
4,15,23
4,17,48
4,36,19
4,21,24
4,37,22
4,25,44
4,27,26
4,47,28
4,31,49
4,33,34
4,38,42
4,45,46
5,16,0
5,12,1
5,2,41
5,39,3
5,4,7
5,24,5
5,10,6
5,48,8
5,20,9
5,11,43
5,13,36
5,23,14
5,18,15
5,49,17
5,19,35
5,26,21
5,34,22
5,40,25
5,32,27
5,28,31
5,29,45
5,30,47
5,44,33
5,42,37
5,46,38
6,3,0
6,1,29
6,7,2
6,17,4
6,5,13
6,45,6
6,8,40
6,9,11
6,31,10
6,43,12
6,14,46
6,15,24
6,38,16
6,33,18
6,19,32
6,21,20
6,22,39
6,36,23
6,25,30
6,47,26
6,27,42
6,28,48
6,41,34
6,35,49
6,37,44
7,0,9
7,23,1
7,2,17
7,26,3
7,4,8
7,40,5
7,6,31
7,16,7
7,10,21
7,11,15
7,12,37
7,13,19
7,34,14
7,18,22
7,20,36
7,24,27
7,48,25
7,30,28
7,29,43
7,32,33
7,46,35
7,49,38
7,39,41
7,42,45
7,44,47
8,0,12
8,1,20
8,3,2
8,21,4
8,5,23
8,27,6
8,7,10
8,8,46
8,9,24
8,33,11
8,15,13
8,14,49
8,35,16
8,17,19
8,41,18
8,22,48
8,25,29
8,28,26
8,45,30
8,31,32
8,47,34
8,36,44
8,38,37
8,39,42
8,43,40
9,23,0
9,26,1
9,16,2
9,11,3
9,4,39
9,42,5
9,6,7
9,20,8
9,48,9
9,10,33
9,12,15
9,13,31
9,44,14
9,18,17
9,19,43
9,22,21
9,24,28
9,32,25
9,49,27
9,30,29
9,34,38
9,40,35
9,37,36
9,46,41
9,47,45
10,33,0
10,1,24
10,2,12
10,3,22
10,14,4
10,5,10
10,21,6
10,7,23
10,8,44
10,9,40
10,27,11
10,41,13
10,15,42
10,19,16
10,17,20
10,37,18
10,25,26
10,28,32
10,29,46
10,35,30
10,31,47
10,36,34
10,38,39
10,43,48
10,45,49
11,0,17
11,42,1
11,20,2
11,16,3
11,4,5
11,11,6
11,39,7
11,24,8
11,18,9
11,10,35
11,12,33
11,13,21
11,22,14
11,40,15
11,48,19
11,23,41
11,47,25
11,26,29
11,34,27
11,28,45
11,30,31
11,32,37
11,49,36
11,44,38
11,46,43
12,14,0
12,1,30
12,2,22
12,3,40
12,25,4
12,5,11
12,6,28
12,7,42
12,8,13
12,9,32
12,15,10
12,21,12
12,17,16
12,36,18
12,19,49
12,31,20
12,37,23
12,38,24
12,43,26
12,27,46
12,47,29
12,33,48
12,45,34
12,35,39
12,41,44
13,0,5
13,18,1
13,13,2
13,6,3
13,4,33
13,22,7
13,11,8
13,49,9
13,10,17
13,12,14
13,20,15
13,16,37
13,34,19
13,30,21
13,23,45
13,24,35
13,46,25
13,26,31
13,44,27
13,29,28
13,32,41
13,39,36
13,40,38
13,42,43
13,48,47
14,15,0
14,1,40
14,36,2
14,3,24
14,9,4
14,5,6
14,7,11
14,8,49
14,47,10
14,19,12
14,14,13
14,39,16
14,17,44
14,43,18
14,22,20
14,21,23
14,25,37
14,45,26
14,27,29
14,28,46
14,33,30
14,31,48
14,38,32
14,35,34
14,41,42
15,0,7
15,4,1
15,2,38
15,29,3
15,12,5
15,6,25
15,30,8
15,13,9
15,10,27
15,11,21
15,16,14
15,26,15
15,37,17
15,18,47
15,44,19
15,20,39
15,23,22
15,24,43
15,40,28
15,34,31
15,32,45
15,46,33
15,48,35
15,42,36
15,49,41
16,36,0
16,1,6
16,15,2
16,3,13
16,45,4
16,5,18
16,7,40
16,8,12
16,9,10
16,47,11
16,14,48
16,21,16
16,17,46
16,19,20
16,22,42
16,38,23
16,31,24
16,25,49
16,35,26
16,27,30
16,28,34
16,33,29
16,43,32
16,41,37
16,39,44
17,0,1
17,2,21
17,20,3
17,4,15
17,16,5
17,6,38
17,29,7
17,23,8
17,42,9
17,10,45
17,11,14
17,12,31
17,13,27
17,32,17
17,18,19
17,44,22
17,24,47
17,34,25
17,26,33
17,49,28
17,30,43
17,37,35
17,48,36
17,46,39
17,40,41
