2486,Heuristic,i03,2,100,1
Time,Value 
Final, 3926,7231

Round,H_team,A_team 
0,0,134
0,1,172
0,2,157
0,3,147
0,4,23
0,5,209
0,6,120
0,173,7
0,15,8
0,9,196
0,152,10
0,213,11
0,185,12
0,63,13
0,187,14
0,202,16
0,144,17
0,18,145
0,19,82
0,174,20
0,21,186
0,22,114
0,24,49
0,25,206
0,118,26
0,37,27
0,28,38
0,29,210
0,30,46
0,75,31
0,165,32
0,178,33
0,34,208
0,167,35
0,36,205
0,43,39
0,40,179
0,41,53
0,123,42
0,192,44
0,45,197
0,212,47
0,48,131
0,214,50
0,51,117
0,52,56
0,54,133
0,138,55
0,57,140
0,58,127
0,59,60
0,142,61
0,62,181
0,64,65
0,66,189
0,149,67
0,148,68
0,69,70
0,71,190
0,72,176
0,73,168
0,86,74
0,150,76
0,77,201
0,78,215
0,80,79
0,81,191
0,83,88
0,84,198
0,85,98
0,87,200
0,89,170
0,104,90
0,188,91
0,103,92
0,129,93
0,159,94
0,194,95
0,199,96
0,99,97
0,193,100
0,175,101
0,102,183
0,164,105
0,109,106
0,107,108
0,163,110
0,111,158
0,113,112
0,171,115
0,116,119
0,125,121
0,122,126
0,124,211
0,203,128
0,180,130
0,132,139
0,135,156
0,184,136
0,204,137
0,195,141
0,143,182
0,146,166
0,151,169
0,153,154
0,155,177
0,162,160
0,161,207
1,0,73
1,82,1
1,74,2
1,179,3
1,60,4
1,117,5
1,126,6
1,7,15
1,8,63
1,10,9
1,11,214
1,12,37
1,13,202
1,14,200
1,16,188
1,139,17
1,197,18
1,79,19
1,20,193
1,120,21
1,22,211
1,23,30
1,187,24
1,190,25
1,26,167
1,27,124
1,168,28
1,103,29
1,70,31
1,32,163
1,33,204
1,93,34
1,35,178
1,42,36
1,38,213
1,39,125
1,170,40
1,127,41
1,121,43
1,44,185
1,196,45
1,46,184
1,47,195
1,130,48
1,49,57
1,50,199
1,51,116
1,136,52
1,53,175
1,55,54
1,56,132
1,133,58
1,141,59
1,61,212
1,62,183
1,140,64
1,65,180
1,201,66
1,67,72
1,68,75
1,80,69
1,192,71
1,76,148
1,135,77
1,198,78
1,182,81
1,206,83
1,176,84
1,154,85
1,169,86
1,209,87
1,88,153
1,215,89
1,90,152
1,91,171
1,101,92
1,102,94
1,95,203
1,96,129
1,97,159
1,98,174
1,100,99
1,157,104
1,105,177
1,106,111
1,110,107
1,108,162
1,186,109
1,112,114
1,115,113
1,172,118
1,119,122
1,210,123
1,128,173
1,131,194
1,134,156
1,137,138
1,207,142
1,144,143
1,166,145
1,189,146
1,147,150
1,191,149
1,208,151
1,205,155
1,158,165
1,160,164
1,181,161
2,77,0
2,1,79
2,2,16
2,3,168
2,4,47
2,5,113
2,6,39
2,142,7
2,59,8
2,9,169
2,25,10
2,200,11
2,178,12
2,195,13
2,211,14
2,15,190
2,17,192
2,146,18
2,19,80
2,138,20
2,21,119
2,183,22
2,203,23
2,24,46
2,204,26
2,123,27
2,28,194
2,29,170
2,30,140
2,31,147
2,111,32
2,210,33
2,34,96
2,48,35
2,36,198
2,37,124
2,173,38
2,40,42
2,41,121
2,43,127
2,188,44
2,45,120
2,64,49
2,116,50
2,174,51
2,52,65
2,185,53
2,54,137
2,156,55
2,199,56
2,57,131
2,58,130
2,63,60
2,61,141
2,177,62
2,66,182
2,71,67
2,73,68
2,69,196
2,150,70
2,72,181
2,180,74
2,75,76
2,78,144
2,81,197
2,84,82
2,153,83
2,85,172
2,86,189
2,87,212
2,88,154
2,89,179
2,90,157
2,129,91
2,92,104
2,171,93
2,94,98
2,95,101
2,161,97
2,99,102
2,214,100
2,152,103
2,105,108
2,206,106
2,107,164
2,109,191
2,165,110
2,184,112
2,114,176
2,213,115
2,193,117
2,118,187
2,122,128
2,125,126
2,132,134
2,202,133
2,175,135
2,207,136
2,143,139
2,145,205
2,148,186
2,149,208
2,151,209
2,155,201
2,162,158
2,159,160
2,163,215
2,167,166
3,0,75
3,83,1
3,76,2
3,74,3
3,46,4
3,114,5
3,130,6
3,7,61
3,8,180
3,215,9
3,10,129
3,11,203
3,12,199
3,13,185
3,14,183
3,60,15
3,16,86
3,17,143
3,18,166
3,70,19
3,20,34
3,42,21
3,112,22
3,23,202
3,24,64
3,182,25
3,26,193
3,27,173
3,169,28
3,101,29
3,117,30
3,31,148
3,32,107
3,33,174
3,35,57
3,197,36
3,38,37
3,39,121
3,194,40
3,126,41
3,125,43
3,44,167
3,119,45
3,47,171
3,133,48
3,49,140
3,50,184
3,51,175
3,134,52
3,53,192
3,127,54
3,137,55
3,56,213
3,131,58
3,65,59
3,62,63
3,145,66
3,67,187
3,68,77
3,147,69
3,198,71
3,196,72
3,189,73
3,139,78
3,79,84
3,179,80
3,209,81
3,82,150
3,212,85
3,170,87
3,98,88
3,186,89
3,96,90
3,91,207
3,176,92
3,93,204
3,94,111
3,103,95
3,97,102
3,208,99
3,100,206
3,104,152
3,191,105
3,106,178
3,108,165
3,205,109
3,110,162
3,113,195
3,115,188
3,128,116
3,190,118
3,120,122
3,201,123
3,124,210
3,136,132
3,138,135
3,141,142
3,181,144
3,146,214
3,168,149
3,160,151
3,157,153
3,154,155
3,156,200
3,158,163
3,172,159
3,211,161
3,164,177
4,148,0
4,1,186
4,2,96
4,3,150
4,4,197
4,5,112
4,6,131
4,59,7
4,61,8
4,9,91
4,92,10
4,37,11
4,184,12
4,210,13
4,191,14
4,15,62
4,180,16
4,78,17
4,142,18
4,19,147
4,55,20
4,21,126
4,22,196
4,195,23
4,57,24
4,25,104
4,192,26
4,204,27
4,28,179
4,29,97
4,30,47
4,66,31
4,162,32
4,215,33
4,34,53
4,58,35
4,36,39
4,185,38
4,40,120
4,41,125
4,45,42
4,43,44
4,199,46
4,48,49
4,167,50
4,178,51
4,52,138
4,54,56
4,171,60
4,63,141
4,64,136
4,132,65
4,173,67
4,200,68
4,69,79
4,80,70
4,71,212
4,72,194
4,73,172
4,187,74
4,75,182
4,86,76
4,77,156
4,81,205
4,89,82
4,155,83
4,84,206
4,85,169
4,87,201
4,88,157
4,90,103
4,175,93
4,99,94
4,95,100
4,102,98
4,152,101
4,105,198
4,203,106
4,107,158
4,202,108
4,109,110
4,111,165
4,113,114
4,214,115
4,122,116
4,183,117
4,118,208
4,123,119
4,121,127
4,193,124
4,188,128
4,129,176
4,174,130
4,140,133
4,135,134
4,207,137
4,144,139
4,143,209
4,168,145
4,213,146
4,149,181
4,151,154
4,153,189
4,159,164
4,177,160
4,161,170
4,163,190
4,166,211
5,0,143
5,209,1
5,82,2
5,68,3
5,208,4
5,115,5
5,119,6
5,7,63
5,8,199
5,93,9
5,10,95
5,11,204
5,12,215
5,13,183
5,14,184
5,61,15
5,16,34
5,201,17
5,18,202
5,150,19
5,20,54
5,128,21
5,22,180
5,23,173
5,60,24
5,125,25
5,26,40
5,27,167
5,181,28
5,104,29
5,131,30
5,31,149
5,32,109
5,33,185
5,35,193
5,200,36
5,112,37
5,38,175
5,39,41
5,42,203
5,120,43
5,44,121
5,126,45
5,46,51
5,47,213
5,127,48
5,49,171
5,50,122
5,170,52
5,53,58
5,134,55
5,56,214
5,130,57
5,140,59
5,141,62
5,133,64
5,65,139
5,166,66
5,67,174
5,205,69
5,70,148
5,211,71
5,179,72
5,144,73
5,74,168
5,206,75
5,76,77
5,169,78
5,79,89
5,147,80
5,189,81
5,154,83
5,186,84
5,197,85
5,157,86
5,172,87
5,88,155
5,91,90
5,92,152
5,94,151
5,96,153
5,97,212
5,98,191
5,194,99
5,100,178
5,101,103
5,182,102
5,158,105
5,106,210
5,165,107
5,108,207
5,110,111
5,177,113
5,116,114
5,117,192
5,198,118
5,124,123
5,137,129
5,135,132
5,136,187
5,138,156
5,190,142
5,145,146
5,176,159
5,160,195
5,196,161
5,164,162
5,188,163
6,78,0
6,1,154
6,2,208
6,3,79
6,4,176
6,5,116
6,6,53
6,62,7
6,13,8
6,9,20
6,103,10
6,175,11
6,196,12
6,185,14
6,15,182
6,191,16
6,17,166
6,18,179
6,19,76
6,21,50
6,192,22
6,63,23
6,24,65
6,25,205
6,183,26
6,193,27
6,28,177
6,29,90
6,30,130
6,69,31
6,159,32
6,173,33
6,34,91
6,168,35
6,36,187
6,37,119
6,180,38
6,40,39
6,41,43
6,121,42
6,118,44
6,45,128
6,212,46
6,207,47
6,48,140
6,59,49
6,51,200
6,52,135
6,54,138
6,55,136
6,64,56
6,57,133
6,58,126
6,167,60
6,139,61
6,66,67
6,199,68
6,75,70
6,71,186
6,72,201
6,73,147
6,129,74
6,148,77
6,80,82
6,81,210
6,83,98
6,84,190
6,85,88
6,86,150
6,87,169
6,89,181
6,95,92
6,214,93
6,94,97
6,104,96
6,99,206
6,184,100
6,202,101
6,111,102
6,107,105
6,163,106
6,164,108
6,109,158
6,215,110
6,204,112
6,113,198
6,114,117
6,174,115
6,123,120
6,122,131
6,195,124
6,125,127
6,132,144
6,213,134
6,156,137
6,171,141
6,142,197
6,143,203
6,145,189
6,146,209
6,149,188
6,151,170
6,152,157
6,153,172
6,155,211
6,178,160
6,161,194
6,162,165
7,56,0
7,198,1
7,150,2
7,70,3
7,192,4
7,190,5
7,6,21
7,7,215
7,8,62
7,137,9
7,10,167
7,11,207
7,12,204
7,141,13
7,14,195
7,65,15
7,16,135
7,205,17
7,208,18
7,189,19
7,20,129
7,117,22
7,23,175
7,35,24
7,43,25
7,26,173
7,27,211
7,209,28
7,92,29
7,127,30
7,68,31
7,32,94
7,33,37
7,179,34
7,188,36
7,38,178
7,39,45
7,187,40
7,138,41
7,42,122
7,44,125
7,46,116
7,47,51
7,57,48
7,131,49
7,50,206
7,140,52
7,53,55
7,136,54
7,128,58
7,212,59
7,60,180
7,144,61
7,177,63
7,130,64
7,146,66
