0,Heuristic,i01,0,100,1
Time,Value 
Final, 4924,7231

Round,H_team,A_team 
0,14,0
0,1,10
0,22,2
0,3,38
0,4,8
0,42,5
0,6,40
0,7,23
0,9,12
0,11,33
0,13,20
0,15,17
0,16,18
0,36,19
0,21,26
0,24,45
0,47,25
0,27,28
0,48,29
0,31,30
0,32,43
0,34,49
0,35,41
0,37,46
0,44,39
1,33,0
1,13,1
1,2,4
1,45,3
1,5,6
1,40,7
1,8,43
1,9,44
1,34,10
1,11,49
1,12,16
1,15,14
1,17,32
1,20,18
1,35,19
1,21,42
1,23,22
1,27,24
1,25,38
1,26,28
1,29,47
1,48,30
1,31,46
1,41,36
1,39,37
2,0,12
2,1,9
2,20,2
2,3,40
2,4,15
2,5,31
2,24,6
2,7,25
2,44,8
2,10,11
2,18,13
2,14,16
2,19,17
2,45,21
2,22,34
2,38,23
2,30,26
2,47,27
2,28,29
2,49,32
2,43,33
2,36,35
2,37,42
2,39,41
2,46,48
3,16,0
3,8,1
3,2,39
3,41,3
3,21,4
3,26,5
3,6,27
3,7,38
3,9,43
3,10,49
3,28,11
3,12,18
3,17,13
3,33,14
3,15,22
3,19,20
3,23,44
3,46,24
3,40,25
3,29,30
3,31,34
3,32,47
3,35,37
3,42,36
3,48,45
4,0,39
4,1,4
4,36,2
4,3,28
4,5,45
4,11,6
4,31,7
4,8,33
4,9,15
4,32,10
4,12,19
4,13,14
4,16,41
4,20,17
4,18,35
4,23,21
4,22,42
4,38,24
4,25,29
4,26,46
4,27,30
4,34,43
4,37,40
4,44,49
4,47,48
5,0,19
5,18,1
5,2,23
5,24,3
5,4,36
5,30,5
5,6,28
5,7,8
5,49,9
5,33,10
5,34,11
5,17,12
5,15,13
5,14,20
5,39,16
5,40,21
5,41,22
5,42,25
5,29,26
5,46,27
5,48,31
5,35,32
5,38,37
5,43,44
5,45,47
6,20,0
6,1,11
6,21,2
6,3,39
6,41,4
6,28,5
6,30,6
6,24,7
6,8,34
6,14,9
6,10,35
6,12,32
6,13,33
6,23,15
6,36,16
6,22,17
6,19,18
6,25,48
6,47,26
6,27,38
6,31,29
6,37,44
6,40,42
6,43,49
6,45,46
7,0,22
7,1,33
7,2,18
7,6,3
7,4,23
7,5,7
7,32,8
7,9,34
7,10,43
7,11,15
7,12,13
7,17,14
7,16,20
7,44,19
7,39,21
7,48,24
7,25,45
7,26,31
7,29,27
7,28,30
7,35,49
7,36,37
7,38,40
7,42,41
7,46,47
8,0,2
8,15,1
8,42,3
8,22,4
8,5,24
8,6,31
8,7,45
8,8,35
8,13,9
8,44,10
8,43,11
8,20,12
8,14,19
8,16,37
8,33,17
8,18,36
8,21,41
8,23,25
8,26,48
8,40,27
8,47,28
8,49,29
8,30,46
8,34,32
8,39,38
9,1,0
9,2,16
9,3,22
9,4,39
9,38,5
9,29,6
9,7,21
9,9,8
9,10,13
9,31,11
9,12,36
9,18,14
9,27,15
9,17,35
9,19,43
9,41,20
9,37,23
9,24,47
9,30,25
9,40,26
9,45,28
9,48,32
9,49,33
9,34,44
9,46,42
10,13,0
10,16,1
10,41,2
10,21,3
10,4,7
10,5,8
10,6,38
10,11,9
10,47,10
10,35,12
10,14,44
10,15,19
10,17,18
10,36,20
10,22,37
10,42,23
10,24,26
10,25,46
10,27,48
10,28,49
10,45,29
10,32,30
10,43,31
10,33,34
10,39,40
11,0,41
11,1,17
11,15,2
11,3,27
11,38,4
11,5,40
11,7,6
11,8,10
11,9,35
11,11,32
11,49,12
11,22,13
11,14,43
11,19,16
11,37,18
11,20,33
11,28,21
11,23,36
11,29,24
11,26,25
11,30,47
11,31,45
11,46,34
11,39,42
11,44,48
12,18,0
12,29,1
12,2,13
12,3,26
12,25,4
12,27,5
12,6,21
12,42,7
12,8,49
12,10,9
12,48,11
12,12,37
12,32,14
12,16,15
12,43,17
12,19,41
12,20,22
12,23,39
12,24,31
12,38,28
12,30,45
12,33,35
12,34,47
12,44,36
12,40,46
13,15,0
13,1,30
13,2,14
13,7,3
13,4,19
13,11,5
13,26,6
13,47,8
13,9,33
13,10,20
13,34,12
13,13,23
13,16,42
13,17,37
13,18,39
13,21,25
13,36,22
13,40,24
13,45,27
13,28,31
13,46,29
13,32,44
13,35,43
13,41,38
13,49,48
14,0,36
14,12,1
14,42,2
14,3,4
14,5,9
14,25,6
14,29,7
14,8,20
14,48,10
14,30,11
14,19,13
14,14,35
14,39,15
14,22,16
14,44,17
14,43,18
14,38,21
14,23,46
14,24,28
14,45,26
14,49,27
14,31,47
14,33,32
14,37,34
14,41,40
15,0,17
15,1,14
15,2,19
15,3,23
15,4,42
15,10,5
15,6,8
15,7,30
15,20,9
15,11,29
15,43,12
15,36,13
15,15,18
15,16,35
15,24,21
15,39,22
15,31,25
15,38,26
15,27,32
15,46,28
15,44,33
15,34,48
15,37,41
15,40,45
15,47,49
16,9,0
16,20,1
16,2,3
16,4,40
16,5,29
16,10,6
16,28,7
16,8,15
16,47,11
16,33,12
16,13,39
16,14,34
16,17,16
16,18,22
16,19,37
16,21,36
16,41,23
16,25,24
16,26,27
16,49,30
16,32,31
16,35,44
16,46,38
16,45,42
16,48,43
17,0,4
17,19,1
17,17,2
17,25,3
17,21,5
17,6,45
17,26,7
17,37,8
17,32,9
17,29,10
17,11,20
17,12,14
17,13,16
17,33,15
17,18,41
17,22,44
17,23,40
17,30,24
17,27,31
17,28,48
17,35,34
17,36,39
17,42,38
17,43,47
17,49,46
