396,Heuristic,i01,2,100,1
Time,Value 
Final, 6344,7231

Round,H_team,A_team 
0,0,10
0,1,19
0,5,2
0,3,42
0,7,4
0,45,6
0,8,24
0,9,48
0,47,11
0,17,12
0,14,13
0,15,23
0,21,16
0,22,18
0,33,20
0,25,32
0,43,26
0,27,49
0,28,30
0,31,29
0,41,34
0,35,46
0,36,44
0,38,37
0,39,40
1,16,0
1,26,1
1,23,2
1,11,3
1,4,21
1,20,5
1,6,38
1,29,7
1,46,8
1,44,9
1,10,17
1,12,35
1,13,31
1,49,14
1,22,15
1,18,36
1,19,33
1,24,25
1,30,27
1,48,28
1,32,47
1,34,43
1,42,37
1,39,41
1,40,45
2,14,0
2,1,40
2,2,39
2,3,22
2,9,4
2,5,11
2,21,6
2,7,20
2,8,49
2,33,10
2,43,12
2,15,13
2,19,16
2,17,44
2,37,18
2,45,23
2,28,24
2,25,42
2,38,26
2,27,48
2,47,29
2,35,30
2,31,34
2,36,32
2,41,46
3,0,33
3,16,1
3,2,41
3,24,3
3,4,38
3,6,5
3,13,7
3,10,8
3,11,9
3,12,31
3,20,14
3,26,15
3,46,17
3,18,43
3,32,19
3,42,21
3,34,22
3,23,37
3,39,25
3,44,27
3,47,28
3,48,29
3,30,45
3,40,35
3,49,36
4,5,0
4,1,13
4,14,2
4,3,30
4,15,4
4,6,26
4,7,28
4,8,47
4,9,12
4,35,10
4,27,11
4,37,16
4,17,49
4,33,18
4,19,44
4,41,20
4,21,39
4,22,48
4,36,23
4,31,24
4,25,40
4,29,46
4,43,32
4,38,34
4,45,42
5,0,1
5,2,36
5,4,3
5,28,5
5,11,6
5,10,7
5,13,8
5,24,9
5,12,41
5,32,14
5,18,15
5,16,17
5,20,19
5,40,21
5,42,22
5,23,43
5,47,25
5,26,29
5,34,27
5,30,31
5,46,33
5,48,35
5,44,37
5,39,38
5,49,45
6,36,0
6,1,12
6,22,2
6,3,23
6,8,4
6,5,40
6,6,29
6,7,24
6,9,30
6,38,10
6,15,11
6,41,13
6,14,16
6,17,20
6,39,18
6,19,49
6,21,28
6,25,37
6,27,26
6,31,46
6,35,32
6,33,34
6,43,42
6,45,44
6,47,48
7,0,15
7,23,1
7,2,21
7,16,3
7,4,41
7,29,5
7,24,6
7,40,7
7,11,8
7,49,9
7,10,14
7,12,19
7,13,22
7,37,17
7,18,35
7,20,39
7,44,25
7,26,45
7,42,27
7,28,31
7,30,47
7,32,33
7,34,36
7,46,38
7,48,43
8,9,0
8,1,11
8,2,13
8,3,20
8,14,4
8,5,26
8,6,40
8,7,22
8,8,44
8,31,10
8,37,12
8,15,42
8,36,16
8,17,18
8,19,34
8,21,23
8,38,24
8,25,46
8,27,28
8,29,30
8,45,32
8,33,49
8,35,39
8,41,48
8,43,47
9,42,0
9,24,1
9,20,2
9,39,3
9,4,36
9,13,5
9,30,6
9,26,7
9,40,8
9,10,9
9,11,35
9,12,33
9,18,14
9,16,15
9,34,17
9,19,43
9,22,21
9,23,25
9,46,27
9,28,45
9,49,29
9,47,31
9,32,38
9,48,37
9,44,41
10,0,20
10,1,42
10,2,18
10,3,10
10,25,4
10,5,12
10,7,6
10,8,34
10,9,16
10,21,11
10,36,13
10,14,19
10,15,39
10,17,22
10,41,23
10,47,24
10,35,26
10,27,32
10,28,46
10,45,29
10,33,30
10,31,48
10,37,40
10,38,49
10,43,44
11,22,0
11,4,1
11,42,2
11,40,3
11,18,5
11,6,25
11,39,7
11,20,8
11,13,9
11,10,15
11,11,33
11,12,36
11,46,14
11,16,41
11,23,17
11,19,35
11,24,21
11,26,28
11,29,27
11,30,43
11,32,31
11,34,47
11,49,37
11,44,38
11,48,45
12,17,0
12,1,29
12,2,4
12,3,26
12,5,42
12,27,6
12,7,16
12,8,23
12,9,32
12,43,10
12,28,11
12,15,12
12,21,13
12,14,48
12,19,18
12,31,20
12,41,22
12,33,24
12,25,30
12,45,34
12,35,44
12,36,39
12,37,46
12,38,40
12,47,49
13,0,19
13,30,1
13,12,2
13,6,3
13,4,27
13,10,5
13,11,7
13,18,8
13,40,9
13,13,33
13,23,14
13,20,15
13,16,43
13,48,17
13,26,21
13,22,36
13,24,45
13,49,25
13,29,28
13,44,31
13,32,41
13,34,35
13,37,39
13,42,38
13,46,47
14,0,18
14,1,6
14,7,2
14,3,13
14,17,4
14,5,30
14,8,12
14,9,20
14,21,10
14,14,11
14,15,19
14,38,16
14,22,23
14,29,24
14,25,34
14,31,26
14,27,47
14,28,32
14,33,48
14,35,49
14,36,42
14,41,37
14,39,44
14,43,40
14,45,46
15,12,0
15,20,1
15,2,38
15,28,3
15,4,45
15,23,5
15,10,6
15,42,7
15,32,8
15,46,9
15,11,31
15,13,17
15,44,14
15,40,15
15,16,39
15,18,41
15,19,36
15,30,21
15,37,22
15,24,27
15,48,25
15,26,33
15,34,29
15,47,35
15,49,43
16,0,13
16,1,10
16,3,2
16,5,4
16,6,28
16,7,30
16,8,48
16,9,18
16,43,11
16,21,12
16,14,34
16,15,24
16,33,16
16,17,19
16,36,20
16,22,44
16,38,23
16,25,26
16,27,40
16,29,32
16,31,49
16,35,37
16,39,46
16,41,42
16,45,47
17,0,3
17,18,1
17,2,15
17,4,22
17,24,5
17,6,31
17,23,7
17,30,8
17,34,9
17,10,27
17,11,45
17,12,14
17,13,19
17,16,35
17,32,17
17,20,21
17,29,25
17,26,47
17,49,28
17,44,33
17,37,36
17,48,38
17,42,39
17,40,41
17,46,43
