0,IP,i02,2,3
Time,Value 
630,7404
600,7422
570,7835
540,7884
510,8462
480,9339
450,10655
420,10702
390,11030
0,18494
30,17592
60,16152
90,15947
120,14460
150,14397
180,13019
210,12921
240,12548
270,12284
300,12278
330,11878
360,11675
Final, 7404,5757

Round,H_team,A_team 
0,2,0
0,1,103
0,3,33
0,4,62
0,59,5
0,175,6
0,45,7
0,48,8
0,9,15
0,66,10
0,165,11
0,68,12
0,123,13
0,129,14
0,75,16
0,92,17
0,18,180
0,19,172
0,169,20
0,21,90
0,139,22
0,23,97
0,81,24
0,25,50
0,29,26
0,107,27
0,36,28
0,30,105
0,34,31
0,168,32
0,40,35
0,37,112
0,182,38
0,181,39
0,41,138
0,58,42
0,43,47
0,44,135
0,164,46
0,49,55
0,51,64
0,52,109
0,63,53
0,166,54
0,56,61
0,57,176
0,174,60
0,77,65
0,67,117
0,69,76
0,121,70
0,71,145
0,72,127
0,73,134
0,144,74
0,78,82
0,85,79
0,159,80
0,83,141
0,84,158
0,86,142
0,104,87
0,146,88
0,89,102
0,149,91
0,93,150
0,94,131
0,95,170
0,152,96
0,99,98
0,100,160
0,161,101
0,167,106
0,113,108
0,110,111
0,162,114
0,183,115
0,116,125
0,118,126
0,119,177
0,120,163
0,122,171
0,124,128
0,143,130
0,132,136
0,137,133
0,140,153
0,156,147
0,148,178
0,151,157
0,154,173
0,155,179
1,0,29
1,112,1
1,178,2
1,35,3
1,108,4
1,64,5
1,6,182
1,7,94
1,8,52
1,65,9
1,10,75
1,11,119
1,12,69
1,13,72
1,14,77
1,15,167
1,16,21
1,17,93
1,22,18
1,88,19
1,20,85
1,98,23
1,24,139
1,28,25
1,26,166
1,27,40
1,32,30
1,31,113
1,33,104
1,39,34
1,90,36
1,106,37
1,38,89
1,46,41
1,42,44
1,54,43
1,109,45
1,47,165
1,111,48
1,115,49
1,50,110
1,53,51
1,55,183
1,136,56
1,70,57
1,60,58
1,61,59
1,62,116
1,63,118
1,135,66
1,125,67
1,130,68
1,71,79
1,76,73
1,74,164
1,134,78
1,80,84
1,127,81
1,82,86
1,160,83
1,87,149
1,91,148
1,147,92
1,101,95
1,96,99
1,97,169
1,179,100
1,102,151
1,103,168
1,105,181
1,131,107
1,114,137
1,117,129
1,173,120
1,126,121
1,163,122
1,128,123
1,177,124
1,138,132
1,133,146
1,172,140
1,141,144
1,142,162
1,145,143
1,150,161
1,153,152
1,176,154
1,170,155
1,171,156
1,157,174
1,158,175
1,180,159
2,0,138
2,1,42
2,166,2
2,3,12
2,4,7
2,5,53
2,51,6
2,21,8
2,9,14
2,59,10
2,66,11
2,67,13
2,168,15
2,110,16
2,86,17
2,18,176
2,19,90
2,89,20
2,92,22
2,23,101
2,79,24
2,25,115
2,30,26
2,164,27
2,37,28
2,29,103
2,104,31
2,167,32
2,132,33
2,34,38
2,183,35
2,36,91
2,182,39
