0,IP,i04,0,100
Time,Value 
300,6685
270,7189
240,7758
210,7871
180,9628
150,10738
120,13830
90,13952
60,14110
30,14233
0,14244
Final, 6685,4322

Round,H_team,A_team 
0,0,42
0,1,29
0,2,85
0,128,3
0,4,19
0,104,5
0,78,6
0,89,7
0,8,83
0,9,140
0,90,10
0,11,38
0,132,12
0,88,13
0,80,14
0,59,15
0,16,95
0,32,17
0,18,138
0,20,37
0,21,48
0,22,58
0,49,23
0,24,141
0,25,46
0,26,91
0,143,27
0,28,35
0,45,30
0,31,103
0,72,33
0,34,36
0,41,39
0,100,40
0,43,108
0,44,47
0,107,50
0,51,60
0,54,52
0,57,53
0,55,136
0,110,56
0,61,106
0,62,112
0,63,134
0,64,70
0,114,65
0,131,66
0,67,68
0,69,73
0,71,117
0,74,84
0,113,75
0,119,76
0,77,111
0,81,79
0,118,82
0,86,116
0,120,87
0,92,123
0,93,97
0,94,133
0,96,130
0,98,127
0,101,99
0,105,102
0,142,109
0,135,115
0,121,139
0,125,122
0,126,124
0,129,137
1,29,0
1,25,1
1,2,28
1,3,121
1,48,4
1,56,5
1,6,104
1,14,7
1,141,8
1,139,9
1,10,46
1,103,11
1,12,54
1,13,49
1,15,63
1,16,132
1,17,31
1,19,18
1,24,20
1,87,21
1,79,22
1,23,44
1,136,26
1,27,30
1,62,32
1,33,86
1,82,34
1,35,129
1,50,36
1,37,102
1,38,105
1,39,101
1,40,107
1,99,41
1,42,112
1,43,80
1,100,45
1,47,78
1,133,51
1,52,55
1,53,61
1,60,57
1,58,74
1,115,59
1,111,64
1,110,65
1,66,67
1,68,73
1,137,69
1,70,109
1,127,71
1,84,72
1,75,119
1,76,77
1,116,81
1,120,83
1,85,118
1,135,88
1,128,89
1,138,90
1,106,91
1,134,92
1,108,93
1,142,94
1,95,98
1,96,97
1,117,113
1,130,114
1,122,143
1,124,123
1,125,131
1,140,126
2,0,99
2,1,138
2,4,2
2,85,3
2,5,84
2,83,6
2,7,82
2,8,19
2,9,136
2,10,134
2,11,32
2,12,63
2,13,90
2,39,14
2,61,15
2,133,16
2,59,17
2,18,33
2,20,49
2,21,120
2,22,62
2,112,23
2,30,24
2,41,25
2,88,26
2,108,27
2,28,129
2,29,50
2,65,31
2,34,131
2,36,35
2,37,100
2,38,93
2,45,40
2,42,43
2,97,44
2,46,79
2,47,103
2,86,48
2,80,51
2,52,58
2,106,53
2,57,54
2,132,55
2,56,140
2,60,110
2,64,72
2,113,66
2,67,130
2,68,111
2,77,69
2,71,70
2,73,75
2,119,74
2,76,118
2,78,135
2,104,81
2,87,94
2,89,122
2,91,141
2,126,92
2,95,96
2,123,98
2,101,137
2,102,139
2,107,105
2,109,117
2,114,142
2,115,116
2,143,121
2,124,128
2,127,125
3,0,37
3,100,1
3,2,34
3,118,3
3,33,4
3,131,5
3,6,79
3,19,7
3,129,8
3,134,9
3,139,10
3,23,11
3,55,12
3,92,13
3,14,47
3,15,71
3,16,73
3,17,43
3,18,120
3,30,20
3,50,21
3,74,22
3,24,40
3,44,25
3,26,123
3,27,53
3,82,28
3,46,29
3,31,61
3,32,106
3,35,86
3,36,95
3,126,38
3,102,39
3,41,130
3,103,42
3,45,101
3,48,80
3,49,107
3,51,108
3,110,52
3,54,133
3,141,56
3,59,57
3,105,58
3,66,60
3,62,78
3,63,124
3,117,64
3,112,65
3,135,67
3,72,68
3,69,76
3,70,113
3,138,75
3,94,77
3,81,115
3,83,104
3,84,111
3,121,85
3,90,87
3,128,88
3,96,89
3,140,91
3,93,142
3,97,143
3,98,125
3,99,136
3,109,114
3,119,116
3,122,132
3,137,127
4,120,0
4,1,39
4,75,2
4,3,7
4,4,28
4,5,48
4,99,6
4,8,82
4,9,143
4,10,19
4,11,36
4,12,60
4,13,80
4,14,108
4,15,27
4,93,16
4,25,17
4,76,18
4,20,106
4,21,46
4,64,22
4,81,23
4,42,24
4,128,26
4,29,97
4,53,30
4,31,62
4,32,61
4,134,33
4,34,35
4,37,105
4,38,45
4,40,102
4,104,41
4,43,74
4,44,103
4,47,49
4,73,50
4,132,51
4,130,52
4,54,56
4,55,100
4,57,112
4,58,59
4,63,110
4,65,72
4,116,66
4,117,67
4,68,109
4,69,119
4,111,70
4,71,113
4,85,77
4,78,83
4,79,115
4,142,84
4,89,86
4,88,87
4,90,92
4,91,122
4,137,94
4,95,133
4,141,96
4,129,98
4,101,131
4,107,139
4,114,121
4,136,118
4,123,126
4,124,135
4,125,138
4,127,140
5,24,0
5,40,1
5,2,134
5,3,120
5,103,4
5,6,5
5,7,110
5,77,8
5,138,9
5,48,10
5,78,11
5,52,12
5,50,13
5,79,14
5,108,15
5,98,16
5,61,17
5,18,47
5,19,119
5,136,20
5,140,21
5,22,44
5,23,89
5,139,25
5,26,124
5,60,27
5,28,34
5,29,100
5,30,104
5,106,31
5,97,32
5,45,33
5,83,35
5,36,90
5,49,37
5,39,38
5,41,105
5,135,42
5,43,99
5,46,88
5,51,54
5,53,55
5,56,137
5,62,57
5,58,114
5,111,59
5,80,63
5,66,64
5,65,109
5,67,141
5,143,68
5,75,69
5,70,73
5,84,71
5,72,112
5,74,116
5,76,117
5,118,81
5,82,127
5,113,85
5,86,107
5,87,129
5,123,91
5,121,92
5,94,93
5,132,95
5,131,96
5,130,101
5,125,102
5,115,142
5,122,128
5,133,126
6,0,45
6,1,23
6,83,2
6,82,3
6,74,4
6,5,70
6,6,94
6,85,7
6,8,72
6,35,9
6,10,140
6,11,43
6,12,135
6,13,21
6,44,14
6,15,136
6,16,129
6,17,106
6,84,18
6,19,76
6,20,54
6,81,22
6,134,24
6,25,133
6,26,139
6,27,42
6,36,28
6,107,29
6,30,103
6,31,40
6,32,108
6,33,48
6,34,87
6,98,37
6,38,97
6,90,39
6,101,41
6,105,46
6,104,47
6,102,49
6,138,50
6,141,51
