154,Heuristic,i01,1
Time,Value 
Final, 2835,7231

Round,H_team,A_team 
0,0,8
0,1,2
0,18,3
0,7,4
0,9,5
0,6,11
0,10,19
0,12,13
0,16,14
0,20,15
0,21,17
0,22,26
0,23,30
0,31,24
0,27,25
0,28,33
0,29,32
1,2,0
1,4,1
1,3,8
1,5,18
1,6,12
1,7,21
1,19,9
1,10,20
1,11,15
1,14,13
1,17,16
1,27,22
1,24,23
1,25,29
1,26,28
1,30,31
1,32,33
2,0,7
2,8,1
2,3,2
2,4,18
2,13,5
2,16,6
2,9,14
2,12,10
2,20,11
2,15,17
2,19,21
2,22,29
2,23,26
2,33,24
2,30,25
2,28,27
2,32,31
3,21,0
3,1,3
3,2,4
3,5,10
3,15,6
3,7,8
3,13,9
3,11,16
3,14,12
3,20,17
3,18,19
3,25,22
3,31,23
3,24,32
3,27,26
3,29,28
3,33,30
4,4,0
4,1,7
4,8,2
4,19,3
4,12,5
4,6,13
4,10,9
4,17,11
4,14,15
4,16,20
4,21,18
4,22,31
4,23,33
4,26,24
4,25,28
4,29,27
4,30,32
5,0,1
5,2,7
5,3,4
5,5,19
5,17,6
5,8,21
5,9,12
5,13,10
5,11,14
5,15,16
5,18,20
5,28,22
5,32,23
5,24,30
5,26,25
5,31,27
5,33,29
