10000,Heuristic,i06,1
Time,Value 
7230,184974
7200,184974
7170,184982
7140,184982
7110,184982
7080,184994
7050,185018
7020,185019
6990,185019
6960,185019
6930,185019
6900,185026
6870,185026
6840,185053
6810,185063
6780,185063
6750,185063
6720,185063
6690,185073
6660,185097
6630,185118
6600,185118
6570,185118
6540,185125
6510,185127
6480,185127
6450,185163
6420,185179
6390,185179
6360,185190
6330,185190
6300,185214
6270,185223
6240,185223
6210,185223
6180,185224
6150,185224
6120,185224
6090,185302
6060,185302
6030,185358
6000,185368
5970,185368
5940,185368
5910,185372
5880,185372
5850,185372
5820,185372
5790,185380
5760,185389
5730,185392
5700,185404
5670,185404
5640,185408
5610,185408
5580,185470
5550,185470
5520,185470
5490,185478
5460,185479
5430,185486
5400,185492
5370,185492
5340,185492
5310,185496
5280,185496
5250,185536
5220,185536
5190,185585
5160,185586
5130,185595
5100,185613
5070,185625
5040,185625
5010,185625
4980,185647
4950,185647
4920,185656
4890,185656
4860,185657
4830,185657
4800,185658
4770,185658
4740,185677
4710,185677
4680,185722
4650,185742
4620,185749
4590,185754
4560,185784
4530,185784
4500,185791
4470,185796
4440,185796
4410,185821
4380,185821
4350,185830
4320,185870
4290,185897
4260,185912
4230,185912
4200,185992
4170,185995
4140,186020
4110,186020
4080,186026
4050,186026
4020,186079
3990,186079
3960,186109
3930,186121
3900,186143
3870,186144
3840,186154
3810,186154
1740,186736
1710,186736
1680,186760
1650,186760
1620,186763
1590,186779
1560,186815
1530,186815
1500,186815
1470,186816
1440,186816
1410,186822
1380,186822
1350,186822
1320,186830
1290,186830
1260,186833
1230,186865
1200,186865
1170,186865
1140,186865
1110,186893
1080,186893
1050,186893
1020,186910
990,186914
960,186914
930,186914
900,186945
870,186945
360,187158
330,187158
300,187162
270,187162
240,187179
210,187198
180,187198
150,187198
120,187198
90,187200
60,187200
30,187200
0,187216
390,187158
420,187157
450,187102
480,187102
510,187102
540,187101
570,187043
600,187019
630,187019
660,187019
690,187008
720,186980
750,186978
780,186978
810,186964
840,186945
1770,186732
1800,186732
1830,186720
1860,186714
1890,186695
1920,186695
1950,186664
1980,186664
2010,186652
2040,186652
2070,186651
2100,186651
2130,186644
2160,186643
2190,186643
2220,186643
2250,186575
2280,186575
2310,186558
2340,186549
2370,186549
2400,186540
2430,186540
2460,186534
2490,186529
2520,186529
2550,186529
2580,186499
2610,186499
2640,186490
2670,186490
2700,186475
2730,186465
2760,186454
2790,186425
2820,186425
2850,186422
2880,186418
2910,186418
2940,186418
2970,186418
3000,186349
3030,186349
3060,186349
3090,186339
3120,186339
3150,186339
3180,186319
3210,186319
3240,186315
3270,186315
3300,186315
3330,186305
3360,186267
3390,186237
3420,186237
3450,186227
3480,186227
3510,186220
3540,186216
3570,186216
3600,186216
3630,186216
3660,186191
3690,186191
3720,186179
3750,186179
3780,186156
Final, 184974,7231

Round,H_team,A_team 
0,0,25
0,24,1
0,2,11
0,10,3
0,4,5
0,23,6
0,7,15
0,8,33
0,9,12
0,22,13
0,14,17
0,16,28
0,31,18
0,20,19
0,21,32
0,26,27
0,30,29
0,34,63
0,44,35
0,43,36
0,37,39
0,38,51
0,41,40
0,42,57
0,56,45
0,47,46
0,48,62
0,65,49
0,59,50
0,54,52
0,58,53
0,55,64
0,61,60
0,137,66
0,78,67
0,68,80
0,70,69
0,71,73
0,88,72
0,117,74
0,76,75
0,77,79
0,84,81
0,82,83
0,150,85
0,119,86
0,87,140
0,89,94
0,131,90
0,91,129
0,92,100
0,93,95
0,106,96
0,105,97
0,98,99
0,135,101
0,144,102
0,104,103
0,123,107
0,108,128
0,109,110
0,111,112
0,113,126
0,114,115
0,151,116
0,120,118
0,122,121
0,127,124
0,125,138
0,132,130
0,134,133
0,139,136
0,141,142
0,147,143
0,145,148
0,149,146
0,152,213
0,153,175
0,166,154
0,158,155
0,156,192
0,157,218
0,159,210
0,160,162
0,215,161
0,163,172
0,202,164
0,169,165
0,168,167
0,177,170
0,171,191
0,173,183
0,200,174
0,187,176
0,186,178
0,179,211
0,180,219
0,181,199
0,182,184
0,220,185
0,190,188
0,221,189
0,194,193
0,196,195
0,198,197
0,201,212
0,203,204
0,206,205
0,209,207
0,214,208
0,217,216
0,227,222
0,223,237
0,224,232
0,225,229
0,226,231
0,230,228
0,233,240
0,234,239
0,236,235
0,241,238
0,242,248
0,243,244
0,249,245
0,246,252
0,253,247
0,251,250
0,276,254
