11,MiaoAlgo,i01
NrSuccesfullMatchings,2466,NrInfeasibleMatchings,0
Time,Value 
Final, 2918,0

Round,H_team,A_team 
0,2,0
0,1,4
0,18,3
0,9,5
0,17,6
0,7,8
0,10,14
0,20,11
0,12,13
0,15,16
0,21,19
0,22,26
0,24,23
0,29,25
0,28,27
0,31,30
0,33,32
1,0,7
1,1,2
1,3,4
1,5,12
1,6,13
1,8,21
1,10,9
1,14,11
1,20,15
1,16,17
1,19,18
1,30,22
1,32,23
1,24,31
1,25,28
1,27,26
1,33,29
2,0,1
2,2,7
2,8,3
2,4,18
2,13,5
2,12,6
2,9,14
2,19,10
2,11,15
2,16,20
2,17,21
2,22,27
2,23,33
2,30,24
2,26,25
2,28,29
2,32,31
3,21,0
3,1,8
3,4,2
3,7,3
3,5,19
3,15,6
3,13,9
3,18,10
3,11,16
3,14,12
3,20,17
3,25,22
3,31,23
3,24,32
3,26,28
3,27,33
3,29,30
4,0,4
4,3,1
4,8,2
4,10,5
4,6,11
4,21,7
4,12,9
4,14,13
4,17,15
4,16,18
4,19,20
4,22,28
4,23,26
4,33,24
4,25,31
4,27,29
4,30,32
5,18,0
5,7,1
5,2,21
5,3,19
5,4,8
5,5,14
5,6,16
5,9,20
5,13,10
5,11,17
5,15,12
5,29,22
5,23,30
5,26,24
5,32,25
5,31,27
5,28,33
