2,MiaoAlgo,i01,0,3
Time,Value 
120,4958
90,4958
60,4958
30,4958
0,5124
Final, 4958,143

Round,H_team,A_team 
0,0,36
0,33,1
0,22,2
0,45,3
0,4,23
0,5,31
0,6,40
0,25,7
0,8,44
0,9,43
0,10,49
0,27,11
0,12,20
0,17,13
0,14,15
0,19,16
0,35,18
0,38,21
0,24,26
0,28,46
0,47,29
0,48,30
0,34,32
0,39,37
0,42,41
1,16,0
1,10,1
1,23,2
1,3,38
1,22,4
1,11,5
1,31,6
1,7,24
1,9,8
1,13,12
1,32,14
1,15,17
1,18,20
1,36,19
1,21,27
1,40,25
1,26,28
1,29,48
1,30,47
1,33,35
1,49,34
1,37,42
1,41,39
1,44,43
1,46,45
2,0,23
2,1,9
2,2,15
2,21,3
2,4,25
2,27,5
2,6,29
2,7,40
2,8,11
2,35,10
2,12,18
2,13,36
2,14,44
2,20,16
2,19,17
2,39,22
2,24,46
2,45,26
2,48,28
2,32,30
2,47,31
2,34,33
2,41,37
2,42,38
2,43,49
3,18,0
3,11,1
3,2,41
3,3,42
3,38,4
3,5,8
3,30,6
3,26,7
3,9,34
3,44,10
3,16,12
3,15,13
3,17,14
3,19,35
3,36,20
3,40,21
3,37,22
3,23,39
3,25,24
3,46,27
3,28,47
3,29,45
3,31,48
3,49,32
3,33,43
4,0,19
4,1,2
4,7,3
4,41,4
4,6,5
4,8,49
4,44,9
4,10,33
4,43,11
4,12,17
4,20,13
4,35,14
4,22,15
4,18,16
4,21,25
4,23,40
4,24,38
4,48,26
4,34,27
4,28,29
4,45,30
4,32,31
4,37,36
4,42,39
4,47,46
5,12,0
5,13,1
5,2,42
5,40,3
5,4,7
5,5,28
5,27,6
5,43,8
5,49,9
5,11,10
5,14,20
5,15,23
5,16,36
5,17,44
5,19,18
5,39,21
5,41,22
5,24,47
5,25,45
5,29,26
5,30,31
5,33,32
5,35,34
5,38,37
5,46,48
6,0,2
6,1,14
6,3,25
6,21,4
6,45,5
6,6,11
6,7,38
6,8,15
6,9,33
6,10,43
6,34,12
6,18,13
6,37,16
6,22,17
6,20,19
6,23,41
6,48,24
6,26,46
6,47,27
6,28,30
6,31,29
6,32,35
6,36,39
6,42,40
6,44,49
7,13,0
7,8,1
7,2,18
7,39,3
7,4,42
7,5,10
7,24,6
7,29,7
7,15,9
7,11,32
7,12,36
7,14,22
7,35,16
7,17,20
7,19,37
7,41,21
7,38,23
7,25,47
7,30,26
7,27,28
7,46,31
7,33,44
7,43,34
7,40,45
7,49,48
8,0,14
8,1,15
8,20,2
8,3,4
8,26,5
8,28,6
8,7,30
8,10,8
8,9,35
8,34,11
8,37,12
8,16,13
8,18,17
8,22,19
8,42,21
8,23,25
8,45,24
8,31,27
8,46,29
8,32,43
8,48,33
8,36,41
8,38,40
8,44,39
8,47,49
9,17,0
9,1,20
9,2,36
9,3,23
9,4,9
9,5,24
9,6,42
9,21,7
9,8,33
9,15,10
9,11,49
9,14,12
9,13,19
9,16,22
9,41,18
9,25,46
9,26,47
9,27,32
9,31,28
9,29,30
9,44,34
9,43,35
9,40,37
9,39,38
9,45,48
10,0,1
10,19,2
10,22,3
10,36,4
10,30,5
10,10,6
10,28,7
10,32,8
10,9,11
10,12,43
10,33,13
10,49,14
10,18,15
10,17,16
10,20,41
10,23,21
10,24,29
10,25,42
10,38,26
10,48,27
10,34,31
10,35,39
10,37,44
10,46,40
10,47,45
11,20,0
11,1,17
11,2,12
11,3,28
11,4,40
11,5,9
11,6,45
11,7,23
11,29,8
11,34,10
11,11,35
11,13,22
11,14,18
11,15,19
11,16,39
11,21,36
11,31,24
11,26,25
11,27,30
11,44,32
11,49,33
11,43,37
11,41,38
11,42,46
11,48,47
12,0,15
12,1,16
12,2,4
12,3,41
12,5,29
12,38,6
12,39,7
12,8,34
12,9,20
12,10,32
12,47,11
12,12,33
12,14,13
12,17,43
12,37,18
12,19,44
12,26,21
12,23,22
12,28,24
12,25,48
12,40,27
12,30,46
12,45,31
12,35,49
12,36,42
13,22,0
13,18,1
13,13,2
13,6,3
13,4,15
13,21,5
13,7,45
13,48,8
13,32,9
13,20,10
13,11,28
13,49,12
13,16,14
13,33,17
13,41,19
13,42,23
13,24,30
13,29,25
13,31,26
13,44,27
13,34,37
13,36,35
13,46,38
13,40,39
13,43,47
14,0,41
14,1,5
14,2,16
14,3,24
14,4,13
14,26,6
14,7,42
14,8,31
14,10,9
14,11,44
14,12,35
14,14,19
14,15,33
14,17,36
14,39,18
14,20,22
14,45,21
14,37,23
14,38,25
14,27,29
14,28,40
14,30,34
14,47,32
14,43,48
14,46,49
15,9,0
15,29,1
15,39,2
15,5,3
15,24,4
15,6,8
15,31,7
15,13,10
15,48,11
15,19,12
15,34,14
15,36,15
15,16,41
15,32,17
15,18,43
15,33,20
15,21,28
15,22,38
15,23,46
15,25,30
15,40,26
15,49,27
15,35,37
15,42,45
15,44,47
16,0,33
16,1,19
16,2,21
16,3,29
16,26,4
16,38,5
16,7,6
16,46,8
16,13,9
16,10,48
16,30,11
16,12,32
16,43,14
16,15,16
16,17,35
16,36,18
16,20,39
16,42,22
16,23,44
16,27,24
16,37,25
16,28,45
16,49,31
16,47,34
16,41,40
17,21,0
17,6,1
17,40,2
17,16,3
17,4,17
17,5,7
17,8,20
17,9,12
17,30,10
17,11,46
17,39,13
17,14,37
17,15,41
17,18,49
17,19,23
17,22,36
17,24,42
17,25,28
17,27,26
17,29,34
17,31,43
17,32,48
17,33,47
17,35,44
17,45,38
