2,MiaoAlgo,i01,2,3
Time,Value 
0,6614
Final, 6445,12

Round,H_team,A_team 
0,0,18
0,1,10
0,2,22
0,3,40
0,41,4
0,5,30
0,6,28
0,7,26
0,8,32
0,9,49
0,27,11
0,35,12
0,17,13
0,14,20
0,15,19
0,36,16
0,21,23
0,25,24
0,29,48
0,31,47
0,33,34
0,39,37
0,38,42
0,43,44
0,45,46
1,19,0
1,11,1
1,23,2
1,4,3
1,28,5
1,29,6
1,24,7
1,10,8
1,34,9
1,12,36
1,13,14
1,22,15
1,16,39
1,20,17
1,18,35
1,42,21
1,46,25
1,26,45
1,44,27
1,30,31
1,32,33
1,37,41
1,40,38
1,49,43
1,48,47
2,17,0
2,1,13
2,39,2
2,3,42
2,7,4
2,5,6
2,8,11
2,9,32
2,43,10
2,14,12
2,15,23
2,41,16
2,19,18
2,36,20
2,21,40
2,22,44
2,45,24
2,25,26
2,27,46
2,28,48
2,31,29
2,47,30
2,33,49
2,35,34
2,38,37
3,0,1
3,2,41
3,23,3
3,4,25
3,11,5
3,6,27
3,40,7
3,49,8
3,44,9
3,10,33
3,12,17
3,13,15
3,32,14
3,16,35
3,18,36
3,20,19
3,26,21
3,37,22
3,24,38
3,46,28
3,29,47
3,30,45
3,48,31
3,34,43
3,42,39
4,36,0
4,1,20
4,15,2
4,3,24
4,21,4
4,5,29
4,31,6
4,7,42
4,8,44
4,9,10
4,43,11
4,19,12
4,33,13
4,14,34
4,37,16
4,17,18
4,22,23
4,25,40
4,38,26
4,27,32
4,28,30
4,35,49
4,41,39
4,45,48
4,47,46
5,0,15
5,12,1
5,2,21
5,39,3
5,4,22
5,26,5
5,6,45
5,30,7
5,34,8
5,11,9
5,10,35
5,13,36
5,18,14
5,16,19
5,49,17
5,20,41
5,23,38
5,24,47
5,42,25
5,48,27
5,29,28
5,46,31
5,32,43
5,44,33
5,40,37
6,14,0
6,1,18
6,3,2
6,15,4
6,5,10
6,21,6
6,7,23
6,8,48
6,9,20
6,33,11
6,43,12
6,19,13
6,22,16
6,17,34
6,28,24
6,25,30
6,47,26
6,27,49
6,45,29
6,31,32
6,35,44
6,36,39
6,37,42
6,38,46
6,41,40
7,20,0
7,16,1
7,2,17
7,6,3
7,4,38
7,24,5
7,29,7
7,46,8
7,13,9
7,10,15
7,11,28
7,12,33
7,44,14
7,18,43
7,19,36
7,39,21
7,34,22
7,23,37
7,48,25
7,26,31
7,30,27
7,32,35
7,40,45
7,42,41
7,49,47
8,0,12
8,1,30
8,36,2
8,3,10
8,8,4
8,5,40
8,7,6
8,9,48
8,15,11
8,22,13
8,14,49
8,17,16
8,41,18
8,35,19
8,33,20
8,21,24
8,25,23
8,28,26
8,27,29
8,31,34
8,47,32
8,37,44
8,38,39
8,45,42
8,43,46
9,13,0
9,19,1
9,2,7
9,26,3
9,4,45
9,42,5
9,6,25
9,20,8
9,12,9
9,10,14
9,11,35
9,40,15
9,16,21
9,32,17
9,18,37
9,39,22
9,23,41
9,24,31
9,34,27
9,47,28
9,30,29
9,46,33
9,44,36
9,49,38
9,48,43
10,0,16
10,1,24
10,9,2
10,3,30
10,36,4
10,5,20
10,38,6
10,7,11
10,8,40
10,21,10
10,37,12
10,41,13
10,14,19
10,15,18
10,17,44
10,22,42
10,43,23
10,25,34
10,27,26
10,28,32
10,29,46
10,31,49
10,33,48
10,35,39
10,45,47
11,4,0
11,6,1
11,2,14
11,16,3
11,12,5
11,10,7
11,13,8
11,46,9
11,11,31
11,39,15
11,19,17
11,18,33
11,20,22
11,30,21
11,23,45
11,24,27
11,47,25
11,26,29
11,49,28
11,32,37
11,34,38
11,48,35
11,42,36
11,40,43
11,44,41
12,0,2
12,1,4
12,3,11
12,5,13
12,6,30
12,7,39
12,8,24
12,9,18
12,17,10
12,41,12
12,14,48
12,15,16
12,33,19
12,21,20
12,22,32
12,36,23
12,25,29
12,37,26
12,27,40
12,31,28
12,47,34
12,35,46
12,38,44
12,43,42
12,45,49
13,0,33
13,39,1
13,2,38
13,29,3
13,4,9
13,18,5
13,26,6
13,20,7
13,23,8
13,10,31
13,11,47
13,12,22
13,13,21
13,16,14
13,24,15
13,48,17
13,32,19
13,44,25
13,42,27
13,28,45
13,30,43
13,34,41
13,40,35
13,49,36
13,46,37
14,9,0
14,1,26
14,5,2
14,3,13
14,14,4
14,6,24
14,7,28
14,8,12
14,27,10
14,21,11
14,15,42
14,33,16
14,17,23
14,22,18
14,19,34
14,31,20
14,25,49
14,43,29
14,35,30
14,45,32
14,36,37
14,38,48
14,39,40
14,41,46
14,47,44
15,0,5
15,29,1
15,2,25
15,12,3
15,4,17
15,11,6
15,13,7
15,30,8
15,42,9
15,10,47
15,46,14
15,20,15
15,16,43
15,18,39
15,49,19
15,28,21
15,48,22
15,23,27
15,24,41
15,26,33
15,44,31
15,32,38
15,34,45
15,37,35
15,40,36
16,21,0
16,1,2
16,3,20
16,5,4
16,6,40
16,7,16
16,8,18
16,9,30
16,38,10
16,45,11
16,15,12
16,31,13
16,14,23
16,17,37
16,19,44
16,22,49
16,35,24
16,25,32
16,43,26
16,27,28
16,33,29
16,36,34
16,39,46
16,41,48
16,47,42
17,0,7
17,40,1
17,2,8
17,28,3
17,4,27
17,23,5
17,20,6
17,16,9
17,10,22
17,11,14
17,12,47
17,13,38
17,26,15
17,46,17
17,18,31
17,48,19
17,29,21
17,24,43
17,37,25
17,30,33
17,32,36
17,34,39
17,42,35
17,49,41
17,44,45
