42,MiaoAlgo,i02,0,100
NrSuccesfullMatchings,4578,NrInfeasibleMatchings,0
Time,Value 
120,4965
90,4965
60,4977
30,4991
0,5076
Final, 4965,146

Round,H_team,A_team 
0,2,0
0,25,1
0,26,3
0,51,4
0,63,5
0,31,6
0,7,45
0,108,8
0,9,12
0,21,10
0,66,11
0,13,72
0,14,67
0,15,68
0,70,16
0,174,17
0,18,22
0,19,86
0,88,20
0,23,102
0,24,73
0,34,27
0,28,112
0,29,177
0,30,32
0,37,33
0,107,35
0,36,91
0,38,94
0,39,183
0,104,40
0,41,138
0,42,132
0,43,135
0,114,44
0,164,46
0,48,47
0,64,49
0,52,50
0,58,53
0,54,113
0,115,55
0,57,56
0,59,182
0,60,181
0,122,61
0,62,176
0,65,75
0,165,69
0,79,71
0,74,143
0,127,76
0,145,77
0,123,78
0,80,140
0,81,85
0,179,82
0,148,83
0,84,141
0,87,149
0,106,89
0,162,90
0,159,92
0,151,93
0,154,95
0,178,96
0,173,97
0,167,98
0,161,99
0,147,100
0,169,101
0,103,180
0,105,170
0,110,109
0,131,111
0,116,171
0,118,117
0,119,163
0,120,168
0,121,125
0,130,124
0,126,129
0,128,144
0,133,136
0,134,142
0,137,146
0,175,139
0,150,156
0,153,152
0,155,158
0,166,157
0,172,160
1,30,0
1,1,113
1,2,29
1,3,6
1,4,53
1,5,58
1,91,7
1,8,52
1,171,9
1,10,70
1,11,165
1,12,14
1,13,65
1,182,15
1,16,66
1,17,94
1,18,172
1,90,19
1,20,86
1,21,41
1,22,174
1,98,23
1,78,24
1,32,25
1,26,103
1,27,37
1,33,28
1,31,107
1,35,34
1,104,36
1,181,38
1,39,105
1,40,47
1,42,57
1,162,43
1,132,44
1,45,48
1,46,111
1,49,115
1,50,54
1,114,51
1,55,64
1,56,61
1,59,116
1,176,60
1,62,63
1,67,129
1,68,130
1,69,128
1,71,77
1,143,72
1,73,75
1,144,74
1,145,76
1,85,79
1,80,175
1,140,81
1,139,82
1,141,83
1,84,148
1,89,87
1,149,88
1,92,153
1,93,173
1,95,183
1,97,96
1,99,159
1,100,158
1,101,166
1,102,150
1,177,106
1,108,110
1,112,109
1,117,121
1,119,118
1,170,120
1,178,122
1,124,123
1,125,126
1,169,127
1,131,164
1,180,133
1,168,134
1,136,135
1,137,138
1,142,146
1,155,147
1,156,151
1,152,161
1,160,154
1,157,167
1,179,163
2,0,169
2,175,1
2,174,2
2,3,31
2,110,4
2,5,59
2,6,25
2,7,48
2,46,8
2,9,130
2,16,10
2,183,11
2,15,12
2,75,13
2,14,69
2,88,17
2,92,18
2,45,19
2,22,20
2,182,21
2,96,23
2,72,24
2,107,26
2,27,104
2,28,131
2,29,30
2,173,32
2,35,33
2,34,38
2,40,36
2,37,180
2,103,39
2,41,43
2,109,42
2,44,56
2,47,164
2,53,49
2,113,50
2,51,52
2,55,54
2,165,57
2,58,119
2,60,120
2,61,179
2,64,62
2,122,63
2,65,123
2,163,66
2,117,67
2,126,68
2,134,70
2,76,71
2,73,145
2,74,142
2,77,85
2,78,81
2,79,140
2,181,80
2,82,141
2,83,139
2,159,84
2,86,148
2,87,91
2,149,89
2,146,90
2,102,93
2,94,106
2,95,177
2,97,156
2,161,98
2,153,99
2,100,155
2,157,101
2,105,168
2,111,108
2,112,170
2,132,114
2,115,171
2,118,116
2,121,176
2,128,124
2,129,125
2,127,167
2,135,133
2,136,137
2,138,162
2,143,144
2,147,178
2,158,150
2,151,152
2,154,172
2,160,166
3,167,0
3,1,31
3,2,30
3,25,3
3,50,4
3,170,5
3,6,26
3,36,7
3,8,35
3,68,9
3,10,177
3,11,14
3,70,12
3,13,73
3,67,15
3,69,16
3,17,182
3,171,18
3,19,21
3,20,84
3,180,22
3,23,100
3,24,76
3,33,27
3,28,107
3,172,29
3,32,176
3,37,34
3,38,39
3,164,40
3,57,41
3,42,44
3,43,137
3,87,45
3,47,46
3,48,162
3,49,55
3,51,110
3,52,108
3,61,53
3,54,64
3,56,122
3,63,58
3,59,119
3,116,60
