42,MiaoAlgo,i02,0,3
NrSuccesfullMatchings,4799,NrInfeasibleMatchings,0
Time,Value 
150,4993
120,4996
90,5017
60,5034
30,5075
0,5134
Final, 4993,152

Round,H_team,A_team 
0,2,0
0,26,1
0,3,6
0,4,51
0,5,63
0,7,45
0,108,8
0,9,14
0,10,21
0,66,11
0,65,12
0,123,13
0,15,68
0,16,69
0,17,89
0,84,18
0,19,86
0,20,91
0,92,22
0,174,23
0,73,24
0,175,25
0,27,35
0,28,33
0,103,29
0,178,30
0,107,31
0,182,32
0,37,34
0,173,36
0,106,38
0,39,171
0,131,40
0,41,135
0,42,132
0,43,48
0,114,44
0,46,164
0,138,47
0,49,64
0,172,50
0,110,52
0,58,53
0,167,54
0,169,55
0,61,56
0,57,165
0,116,59
0,60,177
0,62,115
0,125,67
0,134,70
0,71,79
0,72,180
0,74,148
0,75,78
0,76,81
0,145,77
0,181,80
0,144,82
0,141,83
0,85,139
0,88,87
0,90,162
0,93,156
0,94,104
0,154,95
0,96,97
0,159,98
0,161,99
0,100,158
0,101,157
0,151,102
0,105,179
0,109,111
0,183,112
0,176,113
0,129,117
0,122,118
0,119,163
0,120,170
0,126,121
0,124,130
0,128,127
0,133,136
0,137,146
0,166,140
0,143,142
0,147,150
0,168,149
0,152,153
0,160,155
1,29,0
1,1,176
1,2,167
1,31,3
1,50,4
1,177,5
1,6,26
1,7,169
1,8,42
1,170,9
1,11,10
1,14,12
1,13,72
1,174,15
1,70,16
1,87,17
1,18,181
1,45,19
1,89,20
1,21,41
1,22,84
1,23,183
1,24,75
1,25,178
1,40,27
1,112,28
1,30,103
1,32,173
1,33,37
1,34,106
1,35,107
1,36,94
1,38,39
1,164,43
1,44,57
1,111,46
1,48,47
1,55,49
1,51,110
1,52,108
1,53,61
1,54,168
1,56,114
1,163,58
1,59,119
1,171,60
1,64,62
1,63,122
1,65,123
1,165,66
1,67,129
1,68,124
1,69,128
1,81,71
1,82,73
1,142,74
1,77,76
1,78,145
1,79,85
1,140,80
1,83,159
1,86,90
1,91,88
1,153,92
1,102,93
1,95,160
1,150,96
1,97,175
1,98,161
1,99,154
1,155,100
1,158,101
1,104,131
1,180,105
1,132,109
1,113,182
1,115,172
1,118,116
1,117,126
1,179,120
1,121,125
1,127,130
1,135,133
1,136,134
1,162,137
1,146,138
1,139,141
1,144,143
1,157,147
1,148,166
1,149,152
1,156,151
2,0,171
2,180,1
2,39,2
2,3,25
2,49,4
2,5,59
2,172,6
2,47,7
2,27,8
2,9,123
2,10,70
2,16,11
2,12,69
2,128,13
2,66,14
2,15,67
2,17,177
2,92,18
2,19,20
2,43,21
2,22,83
2,93,23
2,72,24
2,26,31
2,28,131
2,30,29
2,175,32
2,107,33
2,35,34
2,36,104
2,37,40
2,94,38
2,41,162
2,42,111
2,133,44
2,45,48
2,46,132
2,51,50
2,112,52
2,53,64
2,176,54
2,55,115
2,57,56
2,58,63
2,60,174
2,122,61
2,62,173
2,75,65
2,130,68
2,71,85
2,73,77
2,74,144
2,76,78
2,145,79
2,80,81
2,141,82
2,84,153
2,137,86
2,91,87
2,88,149
2,106,89
2,90,148
2,101,95
2,96,157
2,183,97
2,99,98
2,100,147
2,152,102
2,103,179
2,105,170
2,108,110
2,109,164
2,178,113
2,114,135
2,116,163
2,125,117
2,119,118
2,120,166
2,182,121
2,169,124
2,126,129
2,168,127
2,134,142
2,138,136
2,140,139
2,143,146
2,151,150
2,154,155
2,181,156
2,160,158
2,159,161
2,167,165
3,173,0
3,25,1
3,2,30
3,113,3
3,4,53
3,64,5
3,6,169
3,7,91
3,8,46
3,9,130
3,69,10
3,11,57
3,67,12
3,13,65
3,14,15
3,165,16
3,17,180
3,18,22
3,179,19
3,20,88
3,86,21
3,23,96
3,24,76
3,177,26
3,33,27
3,31,28
3,29,105
3,32,181
3,34,107
3,131,35
3,40,36
3,38,37
3,170,39
3,132,41
3,136,42
3,135,43
3,44,51
3,104,45
3,164,47
3,111,48
3,115,49
3,52,50
3,54,55
3,56,122
3,118,58
3,59,120
3,163,60
3,61,114
3,63,62
3,70,66
3,68,126
3,77,71
3,144,72
3,78,73
3,146,74
3,127,75
3,79,80
3,81,140
3,82,143
3,83,92
3,141,84
3,85,145
3,87,94
3,89,151
3,137,90
3,150,93
3,95,172
3,97,176
3,102,98
3,153,99
3,157,100
3,155,101
3,171,103
3,174,106
3,108,112
3,110,109
3,166,116
3,117,119
3,121,183
3,123,128
3,124,182
3,129,125
3,133,175
3,138,134
3,139,159
3,142,168
3,147,160
3,148,162
3,149,167
3,161,152
3,158,154
3,156,178
4,0,179
4,1,32
4,168,2
4,3,173
4,57,4
4,5,61
