2,MiaoAlgo,i02,2,3
Time,Value 
90,6305
60,6327
30,6372
0,6596
Final, 6305,92

Round,H_team,A_team 
0,0,2
0,1,26
0,3,31
0,4,53
0,5,63
0,113,6
0,45,7
0,110,8
0,9,65
0,21,10
0,66,11
0,12,14
0,123,13
0,15,68
0,173,16
0,89,17
0,18,174
0,19,179
0,86,20
0,22,92
0,93,23
0,24,73
0,25,32
0,34,27
0,107,28
0,29,103
0,30,169
0,37,33
0,36,35
0,38,106
0,168,39
0,40,131
0,41,135
0,132,42
0,43,182
0,114,44
0,46,164
0,48,47
0,64,49
0,51,50
0,52,108
0,54,181
0,55,115
0,56,61
0,57,165
0,122,58
0,59,176
0,116,60
0,120,62
0,67,117
0,69,70
0,71,76
0,72,128
0,143,74
0,75,78
0,145,77
0,85,79
0,140,80
0,81,177
0,144,82
0,84,83
0,94,87
0,149,88
0,162,90
0,104,91
0,95,147
0,183,96
0,156,97
0,150,98
0,161,99
0,100,158
0,155,101
0,151,102
0,171,105
0,111,109
0,167,112
0,118,180
0,163,119
0,125,121
0,124,130
0,129,126
0,175,127
0,133,136
0,172,134
0,137,138
0,139,141
0,146,142
0,148,166
0,152,153
0,154,160
0,170,157
0,178,159
1,177,0
1,32,1
1,2,29
1,6,3
1,61,4
1,58,5
1,7,48
1,8,52
1,130,9
1,10,57
1,11,173
1,13,12
1,14,67
1,180,15
1,16,69
1,17,93
1,83,18
1,20,19
1,165,21
1,99,22
1,23,183
1,78,24
1,174,25
1,26,107
1,27,104
1,28,36
1,176,30
1,31,170
1,33,34
1,35,40
1,181,37
1,39,38
1,136,41
1,42,114
1,47,43
1,44,56
1,91,45
1,131,46
1,49,55
1,50,54
1,53,51
1,169,59
1,60,120
1,62,64
1,63,122
1,65,123
1,70,66
1,68,124
1,79,71
1,73,72
1,74,144
1,128,75
1,76,145
1,77,85
1,80,81
1,82,139
1,153,84
1,90,86
1,87,149
1,88,89
1,92,152
1,106,94
1,160,95
1,96,150
1,97,172
1,98,151
1,147,100
1,101,154
1,102,156
1,103,178
1,105,168
1,108,110
1,109,132
1,164,111
1,112,171
1,115,113
1,179,116
1,117,163
1,119,118
1,121,129
1,126,125
1,127,167
1,135,133
1,134,137
1,138,146
1,141,140
1,142,143
1,182,148
1,158,155
1,157,175
1,159,161
1,166,162
2,29,0
2,1,31
2,2,169
2,3,26
2,4,49
2,5,62
2,25,6
2,36,7
2,51,8
2,9,68
2,69,10
2,67,11
2,12,65
2,75,13
2,125,14
2,15,130
2,66,16
2,183,17
2,18,92
2,19,90
2,22,20
2,21,179
2,173,23
2,24,76
2,37,27
2,172,28
2,30,32
2,107,33
2,34,35
2,38,105
2,178,39
2,40,112
2,41,138
2,43,42
2,57,44
2,45,174
2,46,47
2,48,164
2,52,50
2,64,53
2,113,54
2,55,176
2,56,165
2,120,58
2,59,119
2,163,60
2,122,61
2,118,63
2,133,70
2,71,141
2,72,127
2,144,73
2,86,74
2,81,77
2,145,78
2,140,79
2,85,80
2,146,82
2,139,83
2,84,159
2,89,87
2,148,88
2,162,91
2,93,182
2,94,177
2,95,101
2,151,96
2,181,97
2,156,98
2,152,99
2,100,157
2,150,102
2,170,103
2,104,131
2,168,106
2,111,108
2,110,109
2,114,135
2,167,115
2,116,180
2,129,117
2,171,121
2,123,128
2,124,166
2,175,126
2,132,136
2,143,134
2,137,142
2,154,147
2,149,153
2,155,160
2,161,158
3,0,30
3,28,1
3,177,2
3,32,3
3,44,4
3,49,5
3,6,173
3,7,19
3,8,48
3,13,9
3,10,66
3,11,129
3,16,12
3,14,15
3,17,171
3,22,18
3,20,89
3,180,21
3,23,172
3,77,24
3,31,25
3,26,183
3,27,107
3,105,29
3,33,40
3,106,34
3,35,104
3,91,36
3,103,37
3,179,38
3,39,167
3,47,41
3,42,57
3,135,43
3,87,45
3,108,46
3,50,113
3,61,51
3,109,52
3,53,56
3,54,55
3,58,118
3,60,59
3,62,122
3,63,64
3,65,72
3,68,67
3,128,69
3,70,143
3,82,71
3,73,145
3,74,146
3,127,75
3,76,140
3,78,85
3,79,81
3,80,139
3,83,148
3,141,84
3,88,86
3,90,137
3,159,92
3,102,93
3,174,94
3,158,95
3,96,156
3,97,150
3,98,152
3,99,154
3,101,100
3,112,110
3,131,111
3,136,114
3,115,178
3,119,116
3,117,125
3,176,120
3,121,163
3,130,123
3,169,124
3,126,170
3,164,132
3,134,133
3,138,162
3,142,144
3,147,155
3,182,149
3,166,151
3,153,161
3,157,181
3,160,175
3,165,168
4,181,0
4,1,177
4,2,179
4,3,28
4,4,50
4,120,5
4,170,6
4,40,7
4,46,8
4,9,14
4,173,10
4,69,11
4,12,130
4,72,13
4,15,182
4,183,16
4,94,17
4,18,20
4,19,88
4,21,174
4,84,22
4,168,23
4,24,128
4,25,26
4,36,27
4,29,39
4,30,103
4,107,31
4,113,32
4,104,33
4,34,131
4,37,35
4,38,176
4,41,42
4,43,136
4,110,44
4,45,47
4,48,90
4,122,49
4,51,109
4,52,164
4,63,53
4,64,54
4,55,62
4,56,135
4,57,70
4,116,58
4,59,117
4,118,60
4,114,61
4,75,65
4,66,165
4,67,180
4,129,68
4,71,80
4,143,73
4,137,74
4,81,76
4,144,77
4,123,78
4,145,79
4,85,82
4,140,83
4,86,142
4,162,87
4,89,106
4,149,91
4,92,153
4,93,96
4,95,99
4,175,97
4,161,98
4,100,160
4,172,101
4,152,102
4,178,105
4,132,108
4,111,112
4,171,115
4,125,119
4,167,121
4,124,127
4,163,126
4,133,138
4,146,134
4,139,159
4,148,141
4,150,147
4,151,169
4,154,158
4,155,157
4,156,166
5,103,0
5,169,1
5,2,30
5,33,3
5,8,4
5,5,59
5,6,168
5,7,46
5,177,9
5,10,41
5,11,125
5,68,12
5,13,15
5,14,69
5,16,57
5,17,86
5,80,18
5,91,19
5,20,84
5,47,21
5,83,22
5,23,89
5,65,24
5,112,25
5,26,29
5,27,40
5,28,34
5,31,183
5,32,170
5,35,107
5,131,36
5,105,37
5,174,38
5,39,171
5,42,111
5,138,43
5,44,133
5,90,45
5,108,48
5,49,56
5,50,110
5,54,51
5,115,52
5,53,55
5,58,163
5,60,122
5,61,64
5,62,63
5,134,66
5,130,67
5,70,146
5,77,71
5,74,72
5,73,75
5,76,144
5,78,81
5,79,139
5,82,145
5,141,85
5,87,148
5,88,152
5,92,149
5,98,93
5,182,94
5,176,95
5,96,100
5,97,173
5,99,155
5,101,181
5,102,161
5,164,104
5,106,172
5,109,114
5,180,113
5,117,116
5,121,118
5,119,129
5,166,120
5,127,123
5,179,124
5,126,178
5,128,143
5,135,132
5,136,137
