1,MiaoAlgo,i03,0,100
Time,Value 
450,3228
420,3228
390,3228
0,3289
30,3257
60,3257
90,3252
120,3249
150,3242
180,3240
210,3240
240,3240
270,3234
300,3228
330,3228
360,3228
Final, 3228,475

Round,H_team,A_team 
0,0,134
0,1,84
0,2,86
0,3,150
0,4,60
0,5,192
0,6,120
0,7,198
0,141,8
0,9,34
0,10,152
0,33,11
0,12,178
0,13,181
0,115,14
0,15,182
0,16,74
0,17,78
0,18,187
0,82,19
0,20,137
0,21,45
0,22,114
0,23,47
0,46,24
0,25,190
0,26,118
0,123,27
0,28,193
0,29,92
0,30,140
0,31,197
0,32,165
0,48,35
0,36,40
0,185,37
0,186,38
0,43,39
0,191,41
0,42,203
0,44,206
0,57,49
0,50,128
0,51,211
0,52,132
0,199,53
0,54,127
0,55,138
0,136,56
0,133,58
0,59,183
0,204,61
0,205,62
0,63,210
0,207,64
0,208,65
0,212,66
0,67,149
0,77,68
0,69,196
0,147,70
0,173,71
0,215,72
0,73,189
0,75,148
0,200,76
0,79,214
0,80,194
0,81,170
0,88,83
0,85,171
0,87,89
0,154,90
0,180,91
0,93,129
0,102,94
0,95,101
0,157,96
0,97,161
0,98,169
0,99,172
0,100,174
0,213,103
0,202,104
0,108,105
0,195,106
0,107,162
0,111,109
0,167,110
0,112,209
0,113,175
0,179,116
0,117,177
0,184,119
0,121,125
0,122,126
0,201,124
0,130,131
0,135,156
0,176,139
0,168,142
0,143,144
0,145,166
0,188,146
0,151,159
0,153,155
0,158,163
0,164,160
1,0,156
1,1,153
1,3,2
1,23,4
1,114,5
1,126,6
1,8,7
1,9,10
1,11,12
1,63,13
1,14,179
1,59,15
1,16,180
1,144,17
1,191,18
1,70,19
1,20,55
1,21,122
1,194,22
1,24,64
1,25,189
1,195,26
1,27,124
1,197,28
1,199,29
1,30,48
1,31,193
1,32,158
1,115,33
1,34,196
1,131,35
1,201,36
1,37,123
1,38,205
1,125,39
1,40,42
1,41,208
1,43,121
1,44,212
1,120,45
1,46,215
1,47,171
1,49,130
1,50,183
1,117,51
1,56,52
1,53,127
1,54,133
1,140,57
1,58,184
1,60,173
1,61,142
1,214,62
1,139,65
1,66,145
1,178,67
1,68,147
1,176,69
1,182,71
1,149,72
1,75,73
1,86,74
1,76,198
1,77,148
1,78,143
1,79,82
1,202,80
1,81,87
1,83,154
1,84,88
1,203,85
1,89,155
1,90,168
1,91,206
1,92,103
1,93,169
1,94,175
1,174,95
1,96,192
1,159,97
1,200,98
1,209,99
1,101,100
1,210,102
1,104,152
1,105,164
1,106,109
1,172,107
1,162,108
1,163,110
1,165,111
1,113,112
1,213,116
1,118,185
1,177,119
1,204,128
1,129,188
1,170,132
1,135,134
1,207,136
1,138,137
1,181,141
1,146,166
1,150,190
1,186,151
1,157,167
1,187,160
1,211,161
2,17,0
2,87,1
2,2,157
2,82,3
2,173,4
2,174,5
2,45,6
2,141,7
2,177,8
2,152,9
2,180,10
2,181,11
2,33,12
2,183,13
2,184,14
2,61,15
2,171,16
2,18,172
2,19,79
2,134,20
2,119,21
2,22,112
2,193,23
2,57,24
2,197,25
2,26,44
2,37,27
2,28,186
2,29,187
2,198,30
2,148,31
2,111,32
2,206,34
2,35,194
2,42,36
2,38,195
2,39,53
2,40,118
2,121,41
2,208,43
2,47,46
2,131,48
2,140,49
2,122,50
2,196,51
2,65,52
2,56,54
2,55,135
2,127,58
2,64,59
2,188,60
2,62,63
2,66,215
2,67,176
2,68,75
2,69,199
2,150,70
2,71,149
2,72,191
2,73,77
2,74,96
2,147,76
2,179,78
2,80,204
2,169,81
2,153,83
2,155,84
2,85,151
2,190,86
2,88,89
2,104,90
2,129,91
2,95,92
2,137,93
2,98,94
2,97,99
2,209,100
2,103,101
2,102,202
2,105,185
2,106,211
2,110,107
2,203,108
2,109,214
2,189,113
2,116,114
2,182,115
2,192,117
