0,MiaoAlgo,i03,0,3
NrSuccesfullMatchings,1345,NrInfeasibleMatchings,3340
Time,Value 
60,3283
30,3284
0,3331
Final, 3275,84

Round,H_team,A_team 
0,0,77
0,155,1
0,86,2
0,3,171
0,4,60
0,5,173
0,6,120
0,7,141
0,8,15
0,9,25
0,10,175
0,168,11
0,12,33
0,63,13
0,176,14
0,16,74
0,78,17
0,186,18
0,19,80
0,137,20
0,21,45
0,22,114
0,23,47
0,189,24
0,26,118
0,123,27
0,28,183
0,29,184
0,30,185
0,195,31
0,158,32
0,34,41
0,35,131
0,36,40
0,124,37
0,38,188
0,43,39
0,42,190
0,44,191
0,46,117
0,210,48
0,49,57
0,50,128
0,211,51
0,132,52
0,53,127
0,54,133
0,138,55
0,209,56
0,58,130
0,177,59
0,61,142
0,62,200
0,64,65
0,213,66
0,67,205
0,68,73
0,192,69
0,147,70
0,71,207
0,149,72
0,148,75
0,76,212
0,79,82
0,81,215
0,83,88
0,89,84
0,154,85
0,87,174
0,152,90
0,96,91
0,95,92
0,129,93
0,94,102
0,97,99
0,196,98
0,100,202
0,101,103
0,157,104
0,105,214
0,106,179
0,162,107
0,164,108
0,109,180
0,110,165
0,111,194
0,112,197
0,113,204
0,201,115
0,116,187
0,208,119
0,125,121
0,122,126
0,203,134
0,156,135
0,169,136
0,139,193
0,140,198
0,144,143
0,145,206
0,166,146
0,150,199
0,167,151
0,153,182
0,159,181
0,160,178
0,161,170
0,163,172
1,73,0
1,1,84
1,2,203
1,3,86
1,171,4
1,5,113
1,6,21
1,7,15
1,63,8
1,173,9
1,25,10
1,33,11
1,12,181
1,13,141
1,14,187
1,135,16
1,17,144
1,146,18
1,82,19
1,20,138
1,184,22
1,185,23
1,188,24
1,190,26
1,27,124
1,28,195
1,191,29
1,117,30
1,31,196
1,32,163
1,197,34
1,198,35
1,199,36
1,37,123
1,200,38
1,39,125
1,40,42
1,41,53
1,121,43
1,204,44
1,45,122
1,47,46
1,131,48
1,130,49
1,210,50
1,51,189
1,52,168
1,136,54
1,55,137
1,56,132
1,57,140
1,133,58
1,59,209
1,60,215
1,175,61
1,174,62
1,182,64
1,65,186
1,66,193
1,72,67
1,75,68
1,80,69
1,70,201
1,206,71
