2,MiaoAlgo,i03,1,100
Time,Value 
240,3238
210,3238
180,3247
150,3251
120,3256
90,3256
60,3259
30,3259
0,3284
Final, 3238,260

Round,H_team,A_team 
0,17,0
0,84,1
0,86,2
0,3,175
0,23,4
0,5,169
0,6,120
0,141,7
0,8,15
0,9,171
0,152,10
0,11,172
0,12,173
0,180,13
0,115,14
0,74,16
0,145,18
0,191,19
0,137,20
0,21,42
0,22,176
0,24,64
0,25,181
0,26,118
0,27,123
0,193,28
0,29,186
0,46,30
0,198,31
0,163,32
0,33,187
0,41,34
0,48,35
0,202,36
0,37,188
0,204,38
0,121,39
0,211,40
0,43,192
0,182,44
0,45,194
0,47,196
0,49,133
0,128,50
0,51,205
0,52,54
0,127,53
0,156,55
0,56,136
0,57,140
0,126,58
0,59,210
0,201,60
0,61,213
0,212,62
0,197,63
0,139,65
0,66,214
0,71,67
0,179,68
0,80,69
0,147,70
0,149,72
0,73,148
0,174,75
0,150,76
0,135,77
0,144,78
0,82,79
0,81,215
0,155,83
0,154,85
0,87,177
0,153,88
0,89,190
0,104,90
0,91,199
0,92,103
0,93,129
0,94,102
0,185,95
0,96,208
0,161,97
0,189,98
0,100,99
0,207,101
0,164,105
0,106,109
0,107,158
0,162,108
0,110,165
0,200,111
0,113,112
0,114,178
0,116,183
0,117,184
0,119,122
0,124,168
0,125,203
0,131,130
0,132,209
0,134,138
0,142,170
0,143,195
0,166,146
0,151,159
0,157,206
0,167,160
1,0,77
1,1,81
1,168,2
1,86,3
1,169,4
1,171,5
1,6,182
1,7,15
1,8,141
1,9,25
1,10,192
1,11,33
1,172,12
1,13,63
1,14,198
1,55,16
1,144,17
1,18,146
1,19,79
1,138,20
1,45,21
1,112,22
1,23,60
1,24,57
1,44,26
1,179,27
1,180,28
1,29,92
1,30,117
1,181,31
1,165,32
1,184,34
1,35,131
1,40,36
1,123,37
1,187,38
1,120,39
1,53,41
1,190,42
1,194,43
1,47,46
1,130,48
1,140,49
1,122,50
1,206,51
1,136,52
1,54,133
1,134,56
1,127,58
1,214,59
1,142,61
1,62,191
1,65,64
1,66,200
1,72,67
1,68,73
1,69,149
1,70,76
1,188,71
1,196,74
1,75,148
1,78,213
1,210,80
1,82,197
1,83,88
1,84,89
1,195,85
1,155,87
1,90,209
1,96,91
1,137,93
1,159,94
1,101,95
1,97,99
1,186,98
1,100,170
1,102,199
1,103,215
1,104,152
1,105,185
1,205,106
1,107,162
1,164,108
1,109,177
1,201,110
1,111,158
1,207,113
1,183,114
1,208,115
1,116,119
1,176,118
1,178,121
1,204,124
1,173,125
1,126,128
1,129,193
1,174,132
1,156,135
1,175,139
1,143,203
1,166,145
1,150,147
1,189,151
1,153,154
1,157,202
1,160,212
1,161,211
1,167,163
2,73,0
2,1,153
2,2,3
2,4,47
2,175,5
2,119,6
2,13,7
2,63,8
2,34,9
2,185,10
2,14,11
2,12,33
2,15,59
2,16,93
2,190,17
2,192,18
2,19,82
2,20,180
2,21,120
2,114,22
2,46,23
2,198,24
2,121,25
2,26,186
2,124,27
2,28,187
2,97,29
2,140,30
2,31,188
2,32,111
2,35,193
2,36,194
2,38,37
2,39,53
2,42,40
2,41,200
2,125,43
2,214,44
2,122,45
2,48,204
2,57,49
2,50,206
2,117,51
2,52,56
2,54,136
2,55,137
2,58,130
2,60,183
2,141,61
2,209,62
2,64,207
2,65,179
2,215,66
2,67,149
2,148,68
2,69,169
2,70,150
2,71,72
2,210,74
2,77,75
2,76,147
2,78,143
2,79,208
2,80,212
2,81,197
2,196,83
2,87,84
2,85,151
2,213,86
2,88,154
2,89,155
2,90,152
2,91,157
2,172,92
2,94,173
2,95,103
2,129,96
2,98,202
2,99,201
2,181,100
2,182,101
2,170,102
2,203,104
2,108,105
2,106,189
2,165,107
2,158,109
2,110,163
2,112,178
2,115,113
2,199,116
2,118,191
2,123,174
2,131,126
2,133,127
2,128,168
2,132,171
2,135,134
2,138,156
2,139,176
2,177,142
2,205,144
2,146,145
2,159,195
2,160,164
2,184,161
2,162,167
2,211,166
3,0,178
3,3,1
3,74,2
3,4,170
3,5,114
3,39,6
3,7,173
3,8,13
3,152,9
3,25,10
3,11,115
3,37,12
3,33,14
3,61,15
3,16,135
3,17,78
3,18,166
3,147,19
3,134,20
3,119,21
3,22,180
3,47,23
3,24,181
3,199,26
3,27,184
3,28,38
3,29,103
3,30,194
3,31,195
3,32,158
3,200,34
3,49,35
3,203,36
3,206,40
3,41,125
3,208,42
3,43,121
3,44,207
3,120,45
3,117,46
3,48,57
3,116,50
3,51,213
3,132,52
3,53,214
3,56,54
3,136,55
3,133,58
3,59,64
3,60,63
3,187,62
3,212,65
3,66,209
3,67,179
3,68,76
3,72,69
3,80,70
3,149,71
3,77,73
3,75,175
3,79,204
3,174,81
3,150,82
3,83,153
3,84,88
3,98,85
3,86,205
3,183,87
3,193,89
3,186,90
3,93,91
3,92,95
3,94,97
3,157,96
3,99,182
3,100,101
3,188,102
3,189,104
3,105,162
3,191,106
3,107,110
3,108,198
3,109,111
3,202,112
3,113,196
3,118,211
3,126,122
3,215,123
3,124,185
3,127,130
3,131,128
3,197,129
3,137,138
3,139,190
3,201,140
3,192,141
3,142,171
3,143,144
3,145,172
3,168,146
3,148,169
3,151,160
3,154,155
3,156,210
3,176,159
3,161,177
3,163,165
3,167,164
4,0,156
4,1,175
4,2,150
4,155,3
4,63,4
4,170,5
4,6,21
4,7,182
4,8,186
4,9,125
4,10,129
4,169,11
4,115,12
4,141,13
4,14,112
4,15,201
4,173,16
4,176,17
4,142,18
4,19,80
4,55,20
4,184,22
4,23,30
4,24,49
4,152,25
4,26,214
4,185,27
4,188,28
4,101,29
4,149,31
4,162,32
4,33,37
4,93,34
4,195,35
4,196,36
4,38,202
4,40,39
4,204,41
4,42,123
4,44,43
4,45,119
4,206,46
4,172,47
4,208,48
4,50,58
4,210,51
4,52,134
4,138,53
4,54,137
4,56,132
4,57,131
4,59,60
4,61,205
4,62,192
4,140,64
4,65,136
4,145,66
4,212,67
4,209,68
4,69,70
4,179,71
4,72,199
4,73,75
4,96,74
4,76,148
4,178,77
4,174,78
4,89,79
4,81,87
4,82,147
4,83,154
4,84,189
4,85,94
4,153,86
4,88,151
4,90,91
4,92,183
4,95,100
4,102,97
4,198,98
4,187,99
4,103,203
4,104,157
4,200,105
4,106,181
4,164,107
4,165,108
4,163,109
4,158,110
4,111,159
4,211,113
4,114,116
4,207,117
4,177,118
4,126,120
4,194,121
4,171,122
4,191,124
4,213,127
4,190,128
4,130,133
4,193,135
4,144,139
4,180,143
4,146,215
4,168,160
4,197,161
4,166,167
5,148,0
5,79,1
5,16,2
5,3,88
5,60,4
5,51,5
5,45,6
5,62,7
5,182,8
5,43,9
5,10,103
5,12,11
5,13,170
5,195,14
5,196,15
5,17,177
5,18,176
5,70,19
5,20,179
5,21,40
5,22,185
5,201,23
5,46,24
5,129,25
5,205,26
5,27,187
5,28,184
5,159,29
5,48,30
5,31,66
5,32,102
5,115,33
5,34,190
5,35,191
5,36,192
5,37,124
5,214,38
5,39,127
5,121,41
5,42,198
5,125,44
5,47,117
