3,MiaoAlgo,i03,1,100
Time,Value 
270,3236
240,3242
210,3245
180,3245
150,3250
120,3254
90,3262
60,3262
30,3262
0,3287
Final, 3235,286

Round,H_team,A_team 
0,17,0
0,1,84
0,86,2
0,3,175
0,23,4
0,5,113
0,6,120
0,141,7
0,8,15
0,9,152
0,25,10
0,11,172
0,12,173
0,182,13
0,14,115
0,74,16
0,145,18
0,191,19
0,20,137
0,21,42
0,22,112
0,24,178
0,26,118
0,27,123
0,193,28
0,197,29
0,46,30
0,199,31
0,163,32
0,33,186
0,41,34
0,35,131
0,207,36
0,37,187
0,211,38
0,43,39
0,214,40
0,198,44
0,45,192
0,47,195
0,48,130
0,49,140
0,50,128
0,51,202
0,52,54
0,53,204
0,156,55
0,56,136
0,57,208
0,126,58
0,59,209
0,201,60
0,61,210
0,62,213
0,212,63
0,64,65
0,66,170
0,71,67
0,184,68
0,80,69
0,147,70
0,149,72
0,73,148
0,206,75
0,150,76
0,135,77
0,144,78
0,82,79
0,81,200
0,155,83
0,154,85
0,87,89
0,153,88
0,104,90
0,91,177
0,92,103
0,93,188
0,94,102
0,189,95
0,96,181
0,161,97
0,174,98
0,100,99
0,180,101
0,164,105
0,185,106
0,107,158
0,162,108
0,109,111
0,110,165
0,114,183
0,116,190
0,117,215
0,119,122
0,121,169
0,124,168
0,125,196
0,127,133
0,129,179
0,132,176
0,134,138
0,139,205
0,142,171
0,143,194
0,146,166
0,151,159
0,157,203
0,167,160
1,0,77
1,1,81
1,168,2
1,86,3
1,169,4
1,171,5
1,6,42
1,7,15
1,8,141
1,25,9
1,10,152
1,11,33
1,172,12
1,13,63
1,173,14
1,55,16
1,17,176
1,18,166
1,19,79
1,20,93
1,45,21
1,178,22
1,23,60
1,24,64
1,44,26
1,180,27
1,181,28
1,29,199
1,30,202
1,183,31
1,165,32
1,186,34
1,188,35
1,40,36
1,123,37
1,195,38
1,39,125
1,53,41
1,201,43
1,47,46
1,131,48
1,130,49
1,122,50
1,117,51
1,136,52
1,54,133
1,134,56
1,140,57
1,127,58
1,205,59
1,142,61
1,190,62
1,65,139
1,66,184
1,72,67
1,68,73
1,69,149
1,70,76
1,214,71
1,210,74
1,75,148
1,78,193
1,207,80
1,82,203
1,83,88
1,84,212
1,196,85
1,155,87
1,89,189
1,90,209
1,157,91
1,101,92
1,159,94
1,95,182
1,96,129
1,97,99
1,175,98
1,100,191
1,102,177
1,103,192
1,104,215
1,105,198
1,106,213
1,107,162
1,164,108
1,109,185
1,208,110
1,111,158
1,112,114
1,113,197
1,115,206
1,116,211
1,174,118
1,120,119
1,187,121
1,179,124
1,126,128
1,204,132
1,156,135
1,138,137
1,143,144
1,146,145
1,150,147
1,200,151
1,153,154
1,160,194
1,161,170
1,167,163
2,73,0
2,89,1
2,2,3
2,4,47
2,175,5
2,205,6
2,13,7
2,63,8
2,34,9
2,185,10
2,115,11
2,12,33
2,14,174
2,15,59
2,16,178
2,192,17
2,190,18
2,19,82
2,55,20
2,21,120
2,22,114
2,194,23
2,196,24
2,43,25
2,26,183
2,124,27
2,28,186
2,29,92
2,48,30
2,31,188
2,32,111
2,35,195
2,36,197
2,209,37
2,38,199
2,41,39
2,42,40
2,213,44
2,122,45
2,46,117
2,57,49
2,50,126
2,177,51
2,52,56
2,137,53
2,54,127
2,58,214
2,60,191
2,141,61
2,184,62
2,140,64
2,65,179
2,202,66
2,67,149
2,148,68
2,69,171
2,70,150
2,71,72
2,211,74
2,77,75
2,76,147
2,78,143
2,79,204
2,80,212
2,81,201
2,203,83
2,84,155
2,85,151
2,215,86
2,87,153
2,88,154
2,90,157
2,91,96
2,129,93
2,94,187
2,181,95
2,97,102
2,98,169
2,99,200
2,170,100
2,182,101
2,210,103
2,152,104
2,108,105
2,106,109
2,165,107
2,110,163
2,112,113
2,119,116
2,118,207
2,125,121
2,123,208
2,128,193
2,130,131
2,132,136
2,133,206
2,135,134
2,138,156
2,139,168
2,189,142
2,172,144
2,166,145
2,176,146
2,158,173
2,159,180
2,160,164
2,198,161
2,162,167
3,0,78
3,1,87
3,74,2
3,3,88
3,4,46
3,5,112
3,39,6
3,7,175
3,8,13
3,9,10
3,11,14
3,37,12
3,61,15
3,16,135
3,144,17
3,18,146
3,147,19
3,20,138
3,119,21
3,188,22
3,47,23
3,24,57
3,191,25
3,192,26
3,27,194
3,28,38
3,193,29
3,117,30
3,31,70
3,32,158
3,33,200
3,197,34
3,35,202
3,199,36
3,203,40
3,41,125
3,204,42
3,121,43
3,44,210
3,120,45
3,48,140
3,49,131
3,211,50
3,51,209
3,132,52
3,127,53
3,56,54
3,136,55
3,133,58
3,59,141
3,60,63
3,62,170
3,64,181
3,212,65
3,66,72
3,67,190
3,68,76
3,214,69
3,149,71
3,77,73
3,75,178
3,79,80
3,187,81
3,150,82
3,83,153
3,168,84
3,98,85
3,86,173
3,186,89
3,171,90
3,93,91
3,92,95
3,94,97
3,157,96
3,99,184
3,100,101
3,189,102
3,152,103
3,195,104
3,105,162
3,206,106
3,107,110
3,108,185
3,174,109
3,176,111
3,113,115
3,114,198
3,116,122
3,118,172
3,201,123
3,124,182
3,126,130
3,215,128
3,208,129
3,134,137
3,139,196
3,142,207
3,143,169
3,145,213
3,148,205
3,151,160
3,154,155
3,156,180
3,179,159
3,161,177
3,163,165
3,183,164
3,167,166
4,0,156
4,1,79
4,2,150
4,155,3
4,170,4
4,198,5
4,6,122
4,7,179
4,8,60
4,172,9
4,10,41
4,173,11
4,14,12
4,141,13
4,15,186
4,93,16
4,17,143
4,142,18
4,19,70
4,53,20
4,40,21
4,22,192
4,23,46
4,24,49
4,25,125
4,26,189
4,187,27
4,188,28
4,103,29
4,30,47
4,193,31
4,109,32
4,33,206
4,194,34
4,196,35
4,195,36
4,38,37
4,39,127
4,42,123
4,199,43
4,44,121
4,45,119
4,57,48
4,210,50
4,212,51
4,52,134
4,54,136
4,55,137
4,56,132
4,131,58
4,59,64
4,61,139
4,62,181
4,63,202
4,65,175
4,145,66
4,213,67
4,177,68
4,69,147
4,180,71
4,72,205
4,73,75
4,96,74
4,76,148
4,184,77
4,200,78
4,80,211
4,81,87
4,82,214
4,83,154
4,84,183
4,85,176
4,153,86
4,88,151
4,89,215
4,90,201
4,129,91
4,92,152
4,209,94
4,95,100
4,185,97
4,102,98
4,191,99
4,101,204
4,104,157
4,169,105
4,111,106
4,164,107
4,165,108
4,158,110
4,115,112
4,113,114
4,207,116
4,174,117
4,197,118
4,126,120
4,208,124
4,128,130
4,140,133
4,138,135
4,190,144
4,146,182
4,149,167
4,178,159
4,162,160
4,168,161
4,163,171
4,166,203
5,148,0
5,82,1
5,157,2
5,3,153
5,60,4
5,114,5
5,21,6
5,181,7
5,182,8
5,125,9
5,10,129
5,12,11
5,13,62
5,14,33
5,194,15
5,16,20
5,17,177
5,18,180
5,196,19
5,22,185
5,30,23
5,48,24
5,121,25
5,204,26
5,27,188
5,28,187
5,29,154
5,31,66
5,32,102
5,34,193
5,35,197
5,36,198
5,37,124
5,209,38
5,120,39
5,45,40
5,43,41
5,42,199
5,178,44
5,46,208
5,47,117
5,49,214
5,50,192
5,51,116
5,52,65
5,130,53
5,58,54
5,135,55
5,133,56
5,57,64
5,140,59
5,179,61
5,183,63
5,67,210
5,68,75
5,72,69
5,70,80
5,71,206
5,147,73
5,74,76
5,77,190
5,78,212
5,79,89
5,81,155
5,98,83
5,87,84
5,211,85
5,150,86
5,202,88
5,152,90
5,91,104
5,213,92
5,96,93
5,107,94
5,95,184
5,97,100
5,99,169
5,101,103
5,105,170
5,106,171
5,108,174
5,109,163
5,110,162
5,159,111
5,112,189
5,205,113
5,172,115
5,118,191
5,123,119
5,122,128
5,131,126
5,137,127
5,139,132
5,156,134
5,136,138
5,203,141
5,176,142
5,143,207
5,144,195
5,173,145
5,175,146
5,201,149
5,186,151
5,165,158
5,160,168
5,200,161
5,164,167
5,215,166
6,144,0
6,1,155
6,169,2
6,3,74
6,4,175
6,5,51
6,119,6
6,7,8
6,9,43
6,44,10
6,11,112
6,174,12
6,177,13
6,180,14
6,15,63
6,181,16
6,73,17
6,186,18
6,19,150
6,20,156
6,21,36
6,117,22
6,23,196
6,24,197
6,25,152
6,188,26
6,37,27
6,189,28
6,191,29
6,49,30
6,31,200
6,107,32
6,115,33
6,34,93
6,35,57
6,38,205
6,39,53
6,40,118
6,41,129
6,198,42
6,123,45
6,48,46
6,47,178
6,116,50
6,64,52
6,137,54
6,138,55
6,171,56
6,130,58
6,59,60
6,193,61
6,62,176
6,132,65
6,66,71
6,67,201
6,147,68
6,69,70
6,210,72
6,75,76
6,77,148
6,211,78
6,79,184
6,80,82
6,206,81
6,83,84
6,85,88
6,86,157
6,182,87
6,153,89
6,208,90
6,214,91
6,203,92
6,94,160
6,103,95
6,192,96
6,159,97
6,98,179
6,99,183
6,100,209
6,212,101
6,102,215
6,154,104
6,202,105
6,168,106
6,108,110
6,170,109
6,111,165
6,187,113
6,114,207
6,128,120
6,121,173
6,122,126
6,124,190
6,127,125
6,133,131
6,134,136
6,195,135
6,139,143
6,167,140
6,142,141
6,145,172
6,146,213
6,149,185
6,151,204
6,158,163
6,161,199
6,162,164
6,166,194
7,0,75
7,88,1
7,2,82
7,150,3
7,4,171
7,5,117
7,6,123
7,61,7
7,8,174
7,9,178
7,103,10
7,11,37
7,12,115
7,13,181
7,112,14
7,60,15
7,16,182
7,17,132
7,18,187
7,19,69
7,54,20
7,39,21
7,190,22
7,23,189
7,46,24
7,129,25
7,26,191
7,27,193
7,28,195
7,97,29
7,140,30
7,148,31
7,110,32
7,33,196
7,43,34
7,58,35
7,36,202
7,215,38
7,40,205
7,41,121
7,42,119
7,125,44
7,45,209
7,213,47
7,50,48
7,64,49
7,51,211
7,175,52
7,53,133
7,55,134
7,56,138
7,57,130
7,59,198
7,141,62
7,63,172
7,65,136
7,149,66
7,176,67
7,68,77
7,70,79
7,71,145
7,72,180
7,143,73
7,74,86
7,76,214
7,78,139
7,80,147
7,84,81
7,89,83
7,204,85
7,188,87
7,90,154
7,91,183
7,92,206
7,93,157
7,94,151
7,104,95
7,96,169
7,185,98
7,199,99
7,207,100
7,152,101
7,184,102
7,105,107
7,106,170
7,192,108
7,201,109
7,163,111
7,113,208
7,200,114
7,128,116
7,118,210
7,131,120
7,194,122
7,177,124
7,126,127
7,135,203
7,156,137
7,197,142
7,173,144
7,146,168
7,155,153
7,162,158
7,165,159
7,160,186
7,167,161
7,164,179
7,166,212
8,0,56
8,83,1
8,16,2
8,3,79
8,30,4
8,173,5
8,43,6
8,62,7
8,61,8
8,129,9
8,10,92
8,183,11
8,185,12
8,13,59
8,14,175
8,196,15
8,78,17
8,18,181
8,76,19
8,135,20
8,122,21
8,22,180
8,117,23
8,203,24
8,205,25
8,26,184
8,27,186
8,28,40
8,29,90
8,75,31
8,32,162
8,209,33
8,34,191
8,54,35
8,36,42
8,37,193
8,212,38
8,121,39
8,120,41
8,44,195
8,199,45
8,51,46
8,182,47
8,49,48
8,50,58
8,52,207
8,138,53
8,55,127
8,57,131
8,198,60
8,63,141
8,136,64
8,65,140
8,66,166
8,67,204
8,70,68
8,71,69
8,72,211
8,73,213
8,74,156
8,77,194
8,150,80
8,81,89
8,82,86
8,88,84
8,85,155
8,87,208
8,91,189
8,93,137
8,99,94
8,95,197
8,96,104
8,151,97
8,98,177
8,100,215
8,101,201
8,102,165
8,206,103
8,178,105
8,106,214
8,108,107
8,109,190
8,110,111
8,112,188
8,113,170
8,116,114
8,171,115
8,118,192
8,119,187
8,123,124
8,125,126
8,179,128
8,133,130
8,132,134
8,144,139
8,169,142
8,143,174
8,176,145
8,172,146
8,148,147
8,210,149
8,152,167
8,157,153
8,154,168
8,158,164
8,159,160
8,202,161
8,200,163
9,134,0
9,1,157
9,2,76
9,89,3
9,4,63
9,5,116
9,45,6
9,7,59
9,171,8
9,121,9
9,177,10
9,11,175
9,12,179
9,60,13
9,181,14
9,15,62
9,86,16
9,139,17
9,184,18
9,80,19
9,20,136
9,21,123
9,187,22
9,188,23
9,24,65
9,25,200
9,190,26
9,189,27
9,191,28
9,29,152
9,30,51
9,31,68
9,32,108
9,33,210
9,34,91
9,35,49
9,194,36
9,37,119
9,38,198
9,126,39
9,195,40
9,41,122
9,42,125
9,196,43
9,197,44
9,46,140
9,47,212
9,48,192
9,131,50
9,208,52
9,58,53
9,64,54
9,56,55
9,133,57
9,170,61
9,69,66
9,174,67
9,75,70
9,211,71
9,213,72
9,73,144
9,214,74
9,147,77
9,169,78
9,79,150
9,153,81
9,84,82
9,85,83
9,154,87
9,155,88
9,90,96
9,92,100
9,156,93
9,183,94
9,101,95
9,207,97
9,215,98
9,102,99
9,104,103
9,105,158
9,205,106
9,107,163
9,109,110
9,111,162
9,180,112
9,206,113
9,114,199
9,115,204
9,117,209
9,178,118
9,130,120
9,124,176
9,127,138
9,128,182
9,186,129
9,132,143
9,137,135
9,141,173
9,142,185
9,145,201
9,193,146
9,202,148
9,168,149
9,151,167
9,159,164
9,160,165
9,161,203
9,166,172
10,0,143
10,19,1
10,2,155
10,82,3
10,8,4
10,115,5
10,6,126
10,7,142
10,9,41
10,10,101
10,176,11
10,204,12
10,13,61
10,14,37
10,15,189
10,16,96
10,17,193
10,18,194
10,134,20
10,116,21
10,22,196
10,23,198
10,59,24
10,182,25
10,26,199
10,27,177
10,28,205
10,95,29
10,186,30
10,31,147
10,94,32
10,191,33
10,192,34
10,39,35
10,36,45
10,38,207
10,40,121
10,120,42
10,43,125
10,44,215
10,209,46
10,208,47
10,58,48
10,49,54
10,214,50
10,51,171
10,173,52
10,53,55
10,137,56
10,65,57
10,141,60
10,63,62
10,64,139
10,146,66
10,67,202
10,68,150
10,69,79
10,70,148
10,185,71
10,172,72
10,78,73
10,135,74
10,167,75
10,76,86
10,77,156
10,179,80
10,175,81
10,83,151
10,84,89
10,87,85
10,88,98
10,90,91
10,104,92
10,93,138
10,97,183
10,99,174
10,100,206
10,162,102
10,103,211
10,105,180
10,106,178
10,111,107
10,108,213
10,158,109
10,110,159
10,119,112
10,201,113
10,114,117
10,118,212
10,123,122
10,203,124
10,131,127
10,200,128
10,129,190
10,140,130
10,144,132
10,136,133
10,181,145
10,149,197
10,152,157
10,187,153
10,210,154
10,170,160
10,195,161
10,163,188
10,164,184
10,165,169
10,168,166
11,52,0
11,1,153
11,70,2
11,3,68
11,4,172
11,174,5
11,125,6
11,63,7
11,62,8
11,180,9
11,182,10
11,11,170
11,12,176
11,183,13
11,14,178
11,190,15
11,16,77
11,189,17
11,18,144
11,86,19
11,20,127
11,50,21
11,197,22
11,23,184
11,198,24
11,25,41
11,196,26
11,119,27
11,201,28
11,29,101
11,57,30
11,149,31
11,32,106
11,33,192
11,55,34
11,48,35
11,213,36
11,37,42
11,175,38
11,130,39
11,212,40
11,44,43
11,179,45
11,46,116
11,215,47
11,133,49
11,203,51
11,53,134
11,54,131
11,56,156
11,128,58
11,59,65
11,140,60
11,61,205
11,132,64
11,66,67
11,150,69
11,71,204
11,72,206
11,73,181
11,74,93
11,75,207
11,96,76
11,78,166
11,79,200
11,80,173
11,81,188
11,147,82
11,83,87
11,154,84
11,85,104
11,157,88
11,89,155
11,92,90
11,91,135
11,98,94
11,95,152
11,97,111
11,202,99
11,103,100
11,102,107
11,177,105
11,158,108
11,194,109
11,164,110
11,112,195
11,113,186
11,193,114
11,211,115
11,117,208
11,199,118
11,122,120
11,126,121
11,123,214
11,124,209
11,138,129
11,136,137
11,142,139
11,169,141
11,143,145
11,171,146
11,148,168
11,151,185
11,159,167
11,160,210
11,161,187
11,162,165
11,163,191
12,0,132
12,85,1
12,2,96
12,3,70
12,4,173
12,5,177
12,6,116
12,7,182
12,64,8
12,9,179
12,10,95
12,178,11
12,12,181
12,170,13
12,176,14
12,15,65
12,91,16
12,17,191
12,185,18
12,19,31
12,20,183
12,21,125
12,22,198
12,186,23
12,24,201
12,39,25
12,40,26
12,27,197
12,28,44
12,29,159
12,30,131
12,188,32
12,112,33
12,34,53
12,35,213
12,36,214
12,115,37
12,38,203
12,41,133
12,42,118
12,122,43
12,45,126
12,128,46
12,47,51
12,127,48
12,49,59
12,130,50
12,139,52
12,138,54
12,55,93
12,56,135
12,58,57
12,60,208
12,61,212
12,209,62
12,169,63
12,206,66
12,69,67
12,68,175
12,71,215
12,72,80
12,192,73
12,134,74
12,75,194
12,76,77
12,145,78
12,79,147
12,81,196
12,87,82
12,157,83
12,153,84
12,155,86
12,88,89
12,90,103
12,200,92
12,94,162
12,98,97
12,99,211
12,100,171
12,101,104
12,102,158
12,105,110
12,204,106
12,107,172
12,180,108
12,109,165
12,111,161
12,202,113
12,189,114
12,210,117
12,199,119
12,120,123
12,121,174
12,195,124
12,152,129
12,156,136
12,137,193
12,184,140
12,141,167
12,168,142
12,166,143
12,144,146
12,148,150
12,190,149
12,151,154
12,207,160
12,187,163
12,205,164
13,135,0
13,154,1
13,2,83
13,87,3
13,177,4
13,5,176
13,6,128
13,60,7
13,8,59
13,9,182
13,10,180
13,179,11
13,175,12
13,13,185
13,114,14
13,15,64
13,76,16
13,166,17
13,191,18
13,68,19
13,34,20
13,21,126
13,51,22
13,63,23
13,194,24
13,25,188
13,26,195
13,198,27
13,36,28
13,104,29
13,30,130
13,31,69
13,32,159
13,33,37
13,50,35
13,38,202
13,40,39
13,127,41
13,42,45
13,43,211
13,118,44
13,46,57
13,214,47
13,213,48
13,58,49
13,52,138
13,53,156
13,54,55
13,65,56
13,207,61
13,62,196
13,66,148
13,67,168
13,82,70
13,184,71
13,204,72
13,197,73
13,74,91
13,147,75
13,77,134
13,205,78
13,84,79
13,215,80
13,88,81
13,153,85
13,86,96
13,89,150
13,95,90
13,92,99
13,93,152
13,158,94
13,97,203
13,170,98
13,172,100
13,101,190
13,111,102
13,103,174
13,171,105
13,106,189
13,209,107
13,108,187
13,181,109
13,110,199
13,192,112
13,113,200
13,208,115
13,116,186
13,206,117
13,212,119
13,120,121
13,125,122
13,183,123
13,124,201
13,129,157
13,131,140
13,167,132
13,137,133
13,136,139
13,178,141
13,146,142
13,173,143
13,145,144
13,193,149
13,155,151
13,160,169
13,161,210
13,163,162
13,165,164
