2,MiaoAlgo,i03,1,3
Time,Value 
210,3258
180,3258
150,3258
120,3268
90,3275
60,3277
30,3277
0,3295
Final, 3258,230

Round,H_team,A_team 
0,0,77
0,1,84
0,2,204
0,86,3
0,4,60
0,5,172
0,6,120
0,141,7
0,8,13
0,9,174
0,10,152
0,11,115
0,33,12
0,181,14
0,15,59
0,74,16
0,170,17
0,145,18
0,185,19
0,20,137
0,21,36
0,22,180
0,23,183
0,64,24
0,25,187
0,26,118
0,27,123
0,188,28
0,29,195
0,46,30
0,191,31
0,163,32
0,41,34
0,35,131
0,37,38
0,43,39
0,200,40
0,45,42
0,206,44
0,47,209
0,48,130
0,57,49
0,128,50
0,51,214
0,52,215
0,53,208
0,136,54
0,156,55
0,56,134
0,58,133
0,189,61
0,182,62
0,192,63
0,65,177
0,199,66
0,71,67
0,207,68
0,80,69
0,147,70
0,186,72
0,73,148
0,176,75
0,150,76
0,78,144
0,82,79
0,81,173
0,157,83
0,154,85
0,87,89
0,203,88
0,104,90
0,91,178
0,103,92
0,93,190
0,94,102
0,213,95
0,96,194
0,161,97
0,198,98
0,184,99
0,212,100
0,196,101
0,105,164
0,106,109
0,107,158
0,108,179
0,110,165
0,211,111
0,112,113
0,114,197
0,119,116
0,117,205
0,121,171
0,126,122
0,124,202
0,125,210
0,127,175
0,129,169
0,132,201
0,135,138
0,139,142
0,140,168
0,193,143
0,166,146
0,167,149
0,151,159
0,155,153
0,162,160
1,148,0
1,89,1
1,3,2
1,4,23
1,113,5
1,122,6
1,7,8
1,9,25
1,92,10
1,11,33
1,12,181
1,13,141
1,14,115
1,177,15
1,16,91
1,17,193
1,18,166
1,19,82
1,138,20
1,45,21
1,179,22
1,24,57
1,183,26
1,184,27
1,186,28
1,29,103
1,30,140
1,75,31
1,32,158
1,34,198
1,49,35
1,40,36
1,123,37
1,38,199
1,39,125
1,197,41
1,201,42
1,204,43
1,44,202
1,47,46
1,131,48
1,209,50
1,116,51
1,214,52
1,137,53
1,54,56
1,55,211
1,130,58
1,59,212
1,60,63
1,142,61
1,62,172
1,65,64
1,66,191
1,67,200
1,68,147
1,69,205
1,70,150
1,149,71
1,72,182
1,77,73
1,178,74
1,207,76
1,143,78
1,79,192
1,80,206
1,195,81
1,83,88
1,84,155
1,98,85
1,215,86
1,168,87
1,90,190
1,93,129
1,159,94
1,101,95
1,157,96
1,97,99
1,100,203
1,102,196
1,152,104
1,105,108
1,111,106
1,174,107
1,109,169
1,180,110
1,194,112
1,189,114
1,175,117
1,187,118
1,119,185
1,120,188
1,208,121
1,173,124
1,126,128
1,133,127
1,210,132
1,134,136
1,156,135
1,171,139
1,144,170
1,146,145
1,176,151
1,153,154
1,164,160
1,161,213
1,165,162
1,167,163
2,52,0
2,1,82
2,2,171
2,155,3
2,170,4
2,114,5
2,6,45
2,15,7
2,8,59
2,129,9
2,174,10
2,14,11
2,12,178
2,63,13
2,135,16
2,78,17
2,18,146
2,19,70
2,20,134
2,21,120
2,22,189
2,23,47
2,24,49
2,41,25
2,26,44
2,27,195
2,28,38
2,190,29
2,48,30
2,31,148
2,162,32
2,33,201
2,199,34
2,35,57
2,36,206
2,37,207
2,121,39
2,203,40
2,42,123
2,43,125
2,117,46
2,50,212
2,51,215
2,53,133
2,127,54
2,55,137
2,136,56
2,58,126
2,181,60
2,61,187
2,173,62
2,140,64
2,139,65
2,145,66
2,185,67
2,76,68
2,69,149
2,71,72
2,73,75
2,74,184
2,211,77
2,79,80
2,81,191
2,83,154
2,84,89
2,85,209
2,86,186
2,87,193
2,88,153
2,168,90
2,91,157
2,95,92
2,96,93
2,94,176
2,97,159
2,213,98
2,99,100
2,103,101
2,175,102
2,104,179
2,202,105
2,106,177
2,107,165
2,108,183
2,196,109
2,110,163
2,158,111
2,112,200
2,115,113
2,169,116
2,118,214
2,182,119
2,128,122
2,124,210
2,130,131
2,132,180
2,138,156
2,141,194
2,172,142
2,205,143
2,198,144
2,150,147
2,151,197
2,188,152
2,160,208
2,192,161
2,164,204
2,166,167
3,0,73
3,3,1
3,150,2
3,4,172
3,5,112
3,119,6
3,7,61
3,60,8
3,10,9
3,11,12
3,13,178
3,183,14
3,184,15
3,16,96
3,17,182
3,186,18
3,80,19
3,54,20
3,122,21
3,22,114
3,46,23
3,59,24
3,25,129
3,193,26
3,200,27
3,28,194
3,29,188
3,47,30
3,68,31
3,32,107
3,33,115
3,34,202
3,48,35
3,45,36
3,206,37
3,38,198
3,39,53
3,118,40
3,41,43
3,209,42
3,44,205
3,131,49
3,126,50
3,117,51
3,56,52
3,134,55
3,57,140
3,127,58
3,210,62
3,189,63
3,64,213
3,65,199
3,66,169
3,67,197
3,70,69
3,187,71
3,72,203
3,156,74
3,75,185
3,147,76
3,77,135
3,171,78
3,176,79
3,177,81
3,82,84
3,153,83
3,151,85
3,212,86
3,191,87
3,154,88
3,89,155
3,92,90
3,93,91
3,98,94
3,100,95
3,102,97
3,99,175
3,101,211
3,152,103
3,157,104
3,105,162
3,215,106
3,180,108
3,195,109
3,204,110
3,165,111
3,113,173
3,116,128
3,120,130
3,125,121
3,123,174
3,179,124
3,132,139
3,133,136
3,137,138
3,208,141
3,190,142
3,143,196
3,144,181
3,192,145
3,201,146
3,148,170
3,149,168
3,163,158
3,159,160
3,207,161
3,167,164
3,214,166
4,211,0
4,1,153
4,2,82
4,84,3
4,173,4
4,170,5
4,6,126
4,7,13
4,8,177
4,9,125
4,129,10
4,174,11
4,115,12
4,14,33
4,15,182
4,178,16
4,185,17
4,18,184
4,19,147
4,55,20
4,21,123
4,188,22
4,23,60
4,24,65
4,193,25
4,26,192
4,27,37
4,36,28
4,92,29
4,30,117
4,31,70
4,165,32
4,197,34
4,35,204
4,200,38
4,39,41
4,40,45
4,42,119
4,199,43
4,44,121
4,140,46
4,206,47
4,49,48
4,50,120
4,212,51
4,52,132
4,53,127
4,54,133
4,213,56
4,130,57
4,58,131
4,59,64
4,61,208
4,62,189
4,63,215
4,166,66
4,194,67
4,73,68
4,69,72
4,71,201
4,74,135
4,196,75
4,76,148
4,202,77
4,169,78
4,79,179
4,198,80
4,81,87
4,83,98
4,85,180
4,86,150
4,88,89
4,90,157
4,96,91
4,205,93
4,94,97
4,95,152
4,102,99
4,101,100
4,103,176
4,104,190
4,158,105
4,187,106
4,107,164
4,162,108
4,109,175
4,110,191
4,111,159
4,114,112
