42,MiaoAlgo,i04,1,100
NrSuccesfullMatchings,4684,NrInfeasibleMatchings,0
Time,Value 
90,4491
60,4491
30,4493
0,4538
Final, 4491,98

Round,H_team,A_team 
0,0,99
0,1,100
0,2,85
0,3,121
0,33,4
0,116,5
0,6,80
0,7,19
0,77,8
0,9,132
0,10,25
0,37,11
0,140,12
0,104,13
0,14,115
0,31,15
0,95,16
0,17,30
0,82,18
0,40,20
0,88,21
0,74,22
0,23,45
0,24,42
0,90,26
0,136,27
0,28,34
0,29,47
0,32,53
0,35,129
0,36,131
0,105,38
0,39,102
0,41,101
0,103,43
0,44,62
0,46,137
0,48,83
0,49,78
0,107,50
0,142,51
0,114,52
0,60,54
0,143,55
0,56,63
0,61,57
0,110,58
0,141,59
0,64,113
0,72,65
0,66,133
0,67,109
0,117,68
0,75,69
0,70,138
0,71,112
0,111,73
0,76,130
0,79,81
0,84,119
0,120,86
0,87,92
0,89,123
0,135,91
0,139,93
0,94,97
0,127,96
0,124,98
0,108,106
0,118,128
0,134,122
0,126,125
1,0,24
1,29,1
1,132,2
1,92,3
1,4,18
1,5,74
1,81,6
1,85,7
1,84,8
1,141,9
1,46,10
1,43,11
1,60,12
1,13,107
1,14,44
1,15,142
1,16,143
1,17,31
1,19,119
1,100,20
1,21,87
1,79,22
1,137,23
1,39,25
1,26,88
1,53,27
1,138,28
1,30,108
1,32,103
1,80,33
1,140,34
1,86,35
1,90,36
1,105,37
1,38,40
1,102,41
1,42,45
1,78,47
1,48,50
1,104,49
1,51,106
1,52,139
1,54,55
1,56,133
1,115,57
1,58,71
1,112,59
1,61,62
1,63,134
1,64,69
1,65,70
1,109,66
1,111,67
1,113,68
1,72,117
1,73,75
1,135,76
1,131,77
1,116,82
1,83,120
1,89,128
1,91,123
1,93,97
1,129,94
1,98,95
1,125,96
1,99,136
1,101,130
1,114,110
1,121,118
1,122,127
1,124,126
2,45,0
2,1,39
2,19,2
2,3,7
2,4,6
2,22,5
2,8,136
2,142,9
2,138,10
2,11,32
2,12,17
2,50,13
2,62,14
2,15,60
2,16,140
2,18,116
2,20,29
2,120,21
2,23,44
2,24,99
2,25,46
2,26,92
2,27,135
2,85,28
2,30,31
2,33,48
2,34,35
2,87,36
2,37,40
2,38,100
2,133,41
2,42,51
2,57,43
2,47,105
2,107,49
2,52,56
2,106,53
2,54,141
2,55,134
2,58,114
2,59,61
2,63,143
2,65,64
2,66,110
2,67,139
2,68,84
2,69,73
2,70,109
2,71,74
2,113,72
2,75,111
2,76,77
2,80,78
2,112,79
2,115,81
2,82,86
2,83,104
2,88,90
2,91,89
2,131,93
2,137,94
2,129,95
2,96,126
2,97,98
2,102,101
2,103,108
2,119,117
2,118,132
2,128,121
2,130,122
2,123,124
2,125,127
3,23,0
3,105,1
3,2,34
3,3,120
3,50,4
3,49,5
3,6,78
3,7,121
3,76,8
3,9,138
3,10,142
3,11,38
3,12,15
3,21,13
3,47,14
3,133,16
3,17,62
3,18,33
3,28,19
3,20,24
3,114,22
3,41,25
3,143,26
3,27,137
3,29,37
3,106,30
3,31,103
3,43,32
3,35,83
3,36,86
3,39,132
3,40,100
3,53,42
3,44,81
3,51,45
3,46,88
3,104,48
3,60,52
3,56,54
3,55,63
3,57,59
3,140,58
3,61,115
3,109,64
3,74,65
3,67,66
3,73,68
3,111,69
3,110,70
3,72,71
3,77,75
3,139,79
3,108,80
3,119,82
3,84,116
3,118,85
3,90,87
3,89,122
3,92,91
3,93,129
3,94,131
3,95,96
3,136,97
3,98,125
3,99,101
3,134,102
3,107,135
3,141,112
3,117,113
3,126,123
3,127,124
3,130,128
4,0,42
4,1,102
4,77,2
4,19,3
4,4,22
4,5,84
4,104,6
4,7,118
4,8,73
4,135,9
4,10,39
4,40,11
4,138,12
4,13,47
4,14,61
4,132,15
4,96,16
4,44,17
4,120,18
4,37,20
4,21,90
4,79,23
4,101,24
4,134,25
4,26,46
4,142,27
4,82,28
4,38,29
4,30,51
4,43,31
4,32,108
4,86,33
4,34,129
4,87,35
4,83,36
4,131,41
4,45,53
4,48,107
4,49,50
4,58,52
4,63,54
4,137,55
4,56,60
4,62,57
4,115,59
4,64,67
4,65,71
4,66,70
4,68,75
4,69,113
4,74,72
4,85,76
4,78,105
4,81,80
4,92,88
4,89,143
4,91,140
4,94,93
4,97,95
4,127,98
4,100,99
4,103,106
4,110,109
4,117,111
4,112,114
4,116,119
4,121,133
4,122,139
4,123,128
4,124,136
4,125,141
4,126,130
5,0,101
5,1,40
5,2,76
5,118,3
5,138,4
5,5,79
5,6,48
5,128,7
5,75,8
5,9,41
5,136,10
5,11,78
5,12,135
5,13,49
5,80,14
5,15,61
5,16,98
5,42,17
5,18,85
5,19,116
5,106,20
5,46,21
5,22,115
5,50,23
5,24,100
5,25,140
5,91,26
5,27,143
5,28,77
5,29,105
5,53,30
5,32,31
5,33,84
5,36,34
5,35,82
5,39,37
5,102,38
5,47,43
5,103,44
5,99,45
5,51,108
5,52,110
5,54,57
5,55,56
5,59,58
5,63,60
5,62,81
5,64,72
5,66,65
5,70,67
5,111,68
5,119,69
5,71,117
5,113,73
5,141,74
5,83,86
5,88,87
5,121,89
5,90,92
5,93,142
5,95,94
5,97,96
5,107,104
5,114,109
5,132,112
5,133,120
5,137,122
5,123,127
5,139,124
5,130,125
5,131,126
5,129,134
6,20,0
6,25,1
6,2,28
6,3,18
6,4,83
6,81,5
6,6,13
6,76,7
6,8,19
6,140,9
6,10,90
6,23,11
6,12,55
6,108,14
6,17,15
6,139,16
6,21,92
6,112,22
6,24,38
6,87,26
6,60,27
6,40,29
6,30,45
6,31,62
6,44,32
6,74,33
6,95,34
6,134,35
6,133,36
6,43,37
6,105,39
6,41,99
6,106,42
6,50,46
6,47,107
6,49,48
6,53,51
6,52,63
6,54,135
6,59,56
6,57,136
6,65,58
6,61,103
6,110,64
6,143,66
6,67,114
6,68,119
6,69,117
6,72,70
6,115,71
6,73,77
6,113,75
6,78,104
6,79,80
6,118,82
6,84,120
6,85,121
6,86,116
6,130,88
6,127,89
6,128,91
6,93,132
6,94,138
6,96,131
6,129,97
6,98,123
6,100,102
6,101,141
6,109,111
6,122,142
6,125,124
6,126,137
7,100,0
7,1,41
7,35,2
7,119,3
7,4,80
7,83,5
7,62,6
7,7,18
7,69,8
7,136,9
7,36,10
7,11,44
7,51,12
7,48,13
7,14,78
7,15,52
7,16,129
7,103,17
7,75,19
7,20,23
7,107,21
7,22,81
7,45,24
7,102,25
7,26,125
7,27,106
7,28,86
7,46,29
7,42,30
7,135,31
7,32,61
7,82,33
7,34,94
7,37,47
7,38,39
7,40,105
7,43,108
7,120,49
7,104,50
7,142,53
7,137,54
7,55,60
7,56,110
7,58,57
7,71,59
7,114,63
7,70,64
7,117,65
7,66,139
7,73,67
7,72,68
7,84,74
7,76,118
7,77,85
7,116,79
7,87,128
7,88,140
7,89,98
7,90,132
7,91,143
7,92,121
7,134,93
7,131,95
7,124,96
7,97,133
7,99,141
7,101,138
7,109,130
7,111,113
7,112,115
7,123,122
7,126,127
8,0,133
8,1,101
8,18,2
8,85,3
8,74,4
8,5,86
8,6,116
8,138,7
8,68,8
8,9,137
8,37,10
8,29,11
8,54,12
8,13,88
8,14,81
8,63,15
8,16,97
8,17,32
8,19,118
8,38,20
8,49,21
8,22,58
8,23,40
8,24,142
8,25,131
8,123,26
8,42,27
8,28,35
8,30,103
8,31,61
8,33,72
8,34,87
8,143,36
8,39,46
8,41,100
8,44,43
8,106,45
8,47,50
8,78,48
8,51,55
8,59,52
8,108,53
8,140,56
8,57,60
8,62,112
8,64,75
8,113,65
8,66,73
8,67,69
8,71,70
8,119,76
8,111,77
8,115,79
8,80,104
8,83,82
8,117,84
8,92,89
8,94,90
8,125,91
8,98,93
8,135,95
8,96,129
8,99,134
8,102,130
8,105,107
8,139,109
8,136,110
8,132,114
8,121,120
8,122,126
8,141,124
8,128,127
9,0,106
9,20,1
9,2,33
9,3,76
9,82,4
9,21,5
9,6,49
9,89,7
9,8,72
9,39,9
9,10,140
9,11,103
9,12,63
9,86,13
9,48,14
9,15,59
9,137,16
9,61,17
9,18,19
9,65,22
9,31,23
9,41,24
9,25,105
9,26,121
9,27,30
9,129,28
9,29,107
9,142,32
9,143,34
9,35,36
9,100,37
9,45,38
9,50,40
9,101,42
9,53,43
9,108,44
9,90,46
9,104,47
9,60,51
9,52,54
9,55,138
9,139,56
9,57,112
9,58,115
9,80,62
9,68,64
9,141,66
9,110,67
9,69,85
9,70,111
9,114,71
9,73,119
9,79,74
9,109,75
9,77,117
9,81,78
9,116,83
9,113,84
9,120,87
9,88,135
9,124,91
9,128,92
9,93,136
9,96,94
9,95,132
9,97,134
9,98,126
9,130,99
9,133,102
9,118,123
9,122,125
9,127,131
10,53,0
10,37,1
10,8,2
10,86,3
10,4,68
10,5,104
10,107,6
10,7,77
10,9,25
10,131,10
10,50,11
10,27,12
10,13,90
10,103,14
10,56,15
10,16,142
10,106,17
10,28,18
10,19,117
10,45,20
10,48,21
10,22,71
10,23,108
10,40,24
10,26,124
10,102,29
10,30,62
10,42,31
10,32,80
10,33,35
10,34,137
10,36,141
10,38,99
10,100,39
10,105,41
10,43,61
10,78,44
10,46,143
10,49,47
10,51,57
10,136,52
10,54,115
10,135,55
10,112,58
10,59,60
10,63,138
10,64,66
10,109,65
10,75,67
10,76,69
10,73,70
10,72,116
10,81,74
10,79,83
10,82,120
10,84,111
10,85,128
10,87,129
10,121,88
10,126,89
10,91,127
10,92,122
10,140,93
10,94,98
10,134,95
10,123,96
10,132,97
10,101,139
10,110,113
10,130,114
10,119,118
10,125,133
11,41,0
11,1,45
11,129,2
11,128,3
11,84,4
11,6,5
11,120,7
11,67,8
11,9,134
11,143,10
11,20,11
11,12,53
11,83,13
11,14,104
11,62,15
11,94,16
11,17,27
11,118,18
11,85,19
11,21,50
11,59,22
11,42,23
11,24,135
11,138,25
11,127,26
11,76,28
11,29,39
11,61,30
11,108,31
11,32,40
11,33,36
11,34,82
11,90,35
11,38,37
11,78,43
11,44,49
11,87,46
11,47,48
11,51,54
11,52,142
11,55,136
11,114,56
11,57,106
11,58,79
11,60,131
11,63,139
11,71,64
11,65,110
11,66,137
11,68,109
11,69,77
11,70,113
11,111,72
11,117,73
11,74,116
11,75,119
11,115,80
11,112,81
11,88,86
11,124,89
11,91,126
11,123,92
11,96,93
11,95,130
11,141,97
11,98,140
11,99,102
11,105,100
11,133,101
11,103,107
11,122,121
11,132,125
12,0,38
12,24,1
12,2,75
12,3,83
12,4,48
12,5,112
12,11,6
12,7,91
12,8,66
12,10,9
12,12,52
12,13,87
12,43,14
12,15,53
12,136,16
12,17,108
12,18,76
12,19,34
12,20,102
12,104,21
12,22,57
12,106,23
12,25,143
12,89,26
12,27,141
12,95,28
12,100,29
12,30,32
12,31,44
12,71,33
12,35,135
12,36,50
12,107,37
12,39,41
12,40,47
12,99,42
12,45,133
12,46,105
12,80,49
12,140,51
12,54,59
12,142,55
12,58,56
12,60,61
12,115,62
12,110,63
12,117,64
12,65,114
12,113,67
12,69,68
12,74,70
12,72,84
12,109,73
12,77,118
12,79,78
12,81,103
12,82,85
12,86,90
12,124,88
12,127,92
12,93,138
12,139,94
12,98,96
12,97,130
12,101,132
12,119,111
12,116,120
12,121,123
12,128,122
12,131,125
12,134,126
12,137,129
13,102,0
13,132,1
13,2,69
13,3,123
13,86,4
13,5,115
13,44,6
13,7,82
13,8,71
13,9,139
13,10,29
13,11,39
13,56,12
13,13,105
13,14,20
13,15,27
13,16,141
13,53,17
13,18,119
13,33,19
13,21,83
13,22,72
13,23,107
13,37,24
13,25,101
13,26,136
13,28,90
13,57,30
13,31,106
13,78,32
13,34,85
13,35,84
13,36,46
13,41,38
13,49,40
13,108,42
13,50,43
13,45,100
13,47,103
13,48,79
13,52,51
13,61,54
13,55,140
13,133,58
13,59,63
13,62,60
13,64,111
13,67,65
13,68,66
13,70,114
13,73,76
13,80,74
13,75,117
13,77,113
13,81,104
13,121,87
13,88,91
13,96,89
13,92,124
13,93,95
13,143,94
13,97,137
13,129,98
13,135,99
13,138,109
13,142,110
13,116,112
13,120,118
13,122,131
13,125,134
13,126,128
13,130,127
