11,MiaoAlgo,i04,2,100
NrSuccesfullMatchings,2174,NrInfeasibleMatchings,0
Time,Value 
30,5763
0,5800
Final, 5747,49

Round,H_team,A_team 
0,137,0
0,1,102
0,85,2
0,3,7
0,33,4
0,5,80
0,86,6
0,73,8
0,9,134
0,10,11
0,55,12
0,21,13
0,81,14
0,15,27
0,16,142
0,143,17
0,18,82
0,19,28
0,38,20
0,71,22
0,140,23
0,100,24
0,25,39
0,124,26
0,29,105
0,30,106
0,141,31
0,32,103
0,129,34
0,36,35
0,37,40
0,41,101
0,45,42
0,136,43
0,78,44
0,46,47
0,48,104
0,83,49
0,50,107
0,51,53
0,52,59
0,54,60
0,56,63
0,57,61
0,58,112
0,115,62
0,64,70
0,113,65
0,66,109
0,111,67
0,69,68
0,72,74
0,75,117
0,77,76
0,84,79
0,89,87
0,120,88
0,92,90
0,123,91
0,93,135
0,94,97
0,95,138
0,126,96
0,127,98
0,139,99
0,132,108
0,114,110
0,119,116
0,118,131
0,121,128
0,122,130
0,125,133
1,0,45
1,39,1
1,2,77
1,76,3
1,4,18
1,79,5
1,6,33
1,7,118
1,8,69
1,135,9
1,29,10
1,11,37
1,12,54
1,13,120
1,14,80
1,61,15
1,141,16
1,17,136
1,34,19
1,20,100
1,88,21
1,22,58
1,23,105
1,24,132
1,102,25
1,26,121
1,27,139
1,28,85
1,108,30
1,31,140
1,32,78
1,35,86
1,90,36
1,40,38
1,99,41
1,42,137
1,43,103
1,44,81
1,50,46
1,47,107
1,48,83
1,49,104
1,106,51
1,63,52
1,53,143
1,60,55
1,59,56
1,62,57
1,110,64
1,65,72
1,67,66
1,68,75
1,70,114
1,74,71
1,138,73
1,82,119
1,116,84
1,87,92
1,91,89
1,97,93
1,134,94
1,98,95
1,96,125
1,101,130
1,109,111
1,112,115
1,117,113
1,133,122
1,128,123
1,142,124
1,126,127
1,131,129
2,99,0
2,1,29
2,19,2
2,3,128
2,83,4
2,116,5
2,78,6
2,121,7
2,77,8
2,9,133
2,10,39
2,38,11
2,52,12
2,104,13
2,115,14
2,15,60
2,16,143
2,30,17
2,18,33
2,45,20
2,21,50
2,72,22
2,37,23
2,140,24
2,25,101
2,92,26
2,135,27
2,129,28
2,139,31
2,137,32
2,85,34
2,35,90
2,36,87
2,100,40
2,41,102
2,51,42
2,138,43
2,80,44
2,46,88
2,105,47
2,86,48
2,107,49
2,136,53
2,54,61
2,55,63
2,56,134
2,57,106
2,58,59
2,130,62
2,64,65
2,66,110
2,73,67
2,113,68
2,69,117
2,111,70
2,71,112
2,84,74
2,75,109
2,119,76
2,81,79
2,120,82
2,123,89
2,124,91
2,93,132
2,94,98
2,95,97
2,127,96
2,103,108
2,114,141
2,118,142
2,122,131
2,125,126
3,0,41
3,40,1
3,2,18
3,121,3
3,4,86
3,5,119
3,6,81
3,7,85
3,8,75
3,39,9
3,142,10
3,11,29
3,12,15
3,13,46
3,14,78
3,132,16
3,17,139
3,82,19
3,20,37
3,107,21
3,22,114
3,23,137
3,24,38
3,105,25
3,26,123
3,27,140
3,28,34
3,53,30
3,31,135
3,32,43
3,33,84
3,87,35
3,134,36
3,42,138
3,44,130
3,106,45
3,47,50
3,49,48
3,108,51
3,56,52
3,59,54
3,143,55
3,112,57
3,110,58
3,60,63
3,61,115
3,62,136
3,74,64
3,65,71
3,70,66
3,67,113
3,68,111
3,76,69
3,117,72
3,109,73
3,141,77
3,79,116
3,103,80
3,104,83
3,88,92
3,89,124
3,90,120
3,91,122
3,133,93
3,131,94
3,96,95
3,97,129
3,126,98
3,101,99
3,102,100
3,128,118
3,127,125
4,100,0
4,1,105
4,34,2
4,3,88
4,84,4
4,5,14
4,48,6
4,18,7
4,72,8
4,9,140
4,10,134
4,36,11
4,51,12
4,83,13
4,15,17
4,16,135
4,19,33
4,137,20
4,21,90
4,115,22
4,38,23
4,99,24
4,25,142
4,125,26
4,136,27
4,35,28
4,29,40
4,30,42
4,138,31
4,139,32
4,37,47
4,41,39
4,43,108
4,57,44
4,45,53
4,46,107
4,50,49
4,52,60
4,54,56
4,55,141
4,58,61
4,71,59
4,81,62
4,63,110
4,64,109
4,66,65
4,69,67
4,73,68
4,113,70
4,119,74
4,75,76
4,77,131
4,78,103
4,80,79
4,116,82
4,85,128
4,86,104
4,120,87
4,122,89
4,92,91
4,93,143
4,94,96
4,95,132
4,98,97
4,101,102
4,130,106
4,111,117
4,114,112
4,118,121
4,123,126
4,124,127
4,129,133
5,0,101
5,20,1
5,2,69
5,91,3
5,4,72
5,6,5
5,7,19
5,8,84
5,40,9
5,135,10
5,11,50
5,12,63
5,13,92
5,14,138
5,62,15
5,97,16
5,17,52
5,116,18
5,49,21
5,22,64
5,23,45
5,24,41
5,131,25
5,26,136
5,27,130
5,28,36
5,47,29
5,31,30
5,108,32
5,74,33
5,34,35
5,105,37
5,102,38
5,39,100
5,42,99
5,43,78
5,44,137
5,90,46
5,107,48
5,60,51
5,53,57
5,112,54
5,56,55
5,65,58
5,59,115
5,61,71
5,132,66
5,67,75
5,68,77
5,70,73
5,76,85
5,79,83
5,80,81
5,82,118
5,88,86
5,87,129
5,89,121
5,134,93
5,140,94
5,142,95
5,96,98
5,103,139
5,104,120
5,106,141
5,109,113
5,110,111
5,133,114
5,117,119
5,128,122
5,127,123
5,126,124
5,143,125
6,38,0
6,1,23
6,75,2
6,3,82
6,19,4
6,5,22
6,83,6
6,77,7
6,85,8
6,9,136
6,10,90
6,46,11
6,141,12
6,48,13
6,72,14
6,15,31
6,16,140
6,45,17
6,18,28
6,139,20
6,21,87
6,101,24
6,25,29
6,98,26
6,30,27
6,32,44
6,33,80
6,36,34
6,129,35
6,37,107
6,105,39
6,41,40
6,132,42
6,81,43
6,78,47
6,120,49
6,50,104
6,51,103
6,52,61
6,137,53
6,54,63
6,55,142
6,56,60
6,57,108
6,58,62
6,59,112
6,64,67
6,84,65
6,66,135
6,119,68
6,69,109
6,71,70
6,73,117
6,111,74
6,118,76
6,115,79
6,86,116
6,123,88
6,89,127
6,121,91
6,92,128
6,93,138
6,94,143
6,95,133
6,124,96
6,130,97
6,99,102
6,100,106
6,113,110
6,114,134
6,122,126
6,125,131
7,0,139
7,24,1
7,2,73
7,90,3
7,4,85
7,112,5
7,6,36
7,7,119
7,8,18
7,138,9
7,23,10
7,11,41
7,12,56
7,13,86
7,14,48
7,63,15
7,96,16
7,17,141
7,116,19
7,20,51
7,104,21
7,22,84
7,47,25
7,26,127
7,27,137
7,28,69
7,29,37
7,32,30
7,31,103
7,82,33
7,134,34
7,35,83
7,44,38
7,39,46
7,40,45
7,42,101
7,43,50
7,49,78
7,62,52
7,53,55
7,106,54
7,60,57
7,74,58
7,61,59
7,117,64
7,65,111
7,142,66
7,67,77
7,68,72
7,70,75
7,110,71
7,76,113
7,79,120
7,80,115
7,108,81
7,87,123
7,88,124
7,128,89
7,91,126
7,121,92
7,131,93
7,136,94
7,140,95
7,97,143
7,98,125
7,99,100
7,102,132
7,107,105
7,109,114
7,133,118
7,135,122
7,130,129
8,141,0
8,1,47
8,129,2
8,3,131
8,71,4
8,5,49
8,104,6
8,120,7
8,19,8
8,9,20
8,10,136
8,25,11
8,139,12
8,107,13
8,57,14
8,15,106
8,16,138
8,137,17
8,18,79
8,21,48
8,111,22
8,51,23
8,45,24
8,89,26
8,63,27
8,77,28
8,100,29
8,30,43
8,143,31
8,37,32
8,86,33
8,34,87
8,85,35
8,36,50
8,38,99
8,101,39
8,105,40
8,41,42
8,103,44
8,46,102
8,52,110
8,54,53
8,55,61
8,114,56
8,58,60
8,59,62
8,64,68
8,75,65
8,66,140
8,119,67
8,69,70
8,72,109
8,73,76
8,115,74
8,78,108
8,116,80
8,81,112
8,113,82
8,83,88
8,84,117
8,94,90
8,127,91
8,92,133
8,93,142
8,95,135
8,122,96
8,132,97
8,124,98
8,118,130
8,123,121
8,125,134
8,126,128
9,0,1
9,2,72
9,89,3
9,4,36
9,13,5
9,6,116
9,7,123
9,8,64
9,141,9
9,40,10
9,11,78
9,12,140
9,14,104
9,56,15
9,98,16
9,17,130
9,76,18
9,35,19
9,20,99
9,47,21
9,22,69
9,23,107
9,24,138
9,88,25
9,26,46
9,27,45
9,28,75
9,29,41
9,103,30
9,31,32
9,33,83
9,34,95
9,50,37
9,39,38
9,42,57
9,43,51
9,44,115
9,48,120
9,49,81
9,112,52
9,53,139
9,62,54
9,131,55
9,70,58
9,60,59
9,61,63
9,65,119
9,143,66
9,67,114
9,68,84
9,117,71
9,110,73
9,74,113
9,109,77
9,79,86
9,108,80
9,82,85
9,87,121
9,90,124
9,91,125
9,126,92
9,136,93
9,133,94
9,96,129
9,97,137
9,101,100
9,102,105
9,106,132
9,142,111
9,135,118
9,134,122
9,128,127
10,132,0
10,1,101
10,64,2
10,3,87
10,78,4
10,5,74
10,80,6
10,75,7
10,71,8
10,9,142
10,10,50
10,32,11
10,57,12
10,18,13
10,59,14
10,15,53
10,16,136
10,63,17
10,19,79
10,41,20
10,21,26
10,113,22
10,100,23
10,139,24
10,25,40
10,138,27
10,95,28
10,29,39
10,30,62
10,52,31
10,33,35
10,94,34
10,36,48
10,37,44
10,38,105
10,54,42
10,107,43
10,45,108
10,46,49
10,104,47
10,51,61
10,55,112
10,58,56
10,115,60
10,114,65
10,66,134
10,84,67
10,85,68
10,69,110
10,72,70
10,73,133
10,111,76
10,77,117
10,81,103
10,86,82
10,83,90
10,121,88
10,92,89
10,118,91
10,93,141
10,123,96
10,140,97
10,129,98
10,99,106
10,137,102
10,119,109
10,120,116
10,122,143
10,124,128
10,125,135
10,130,126
10,127,131
11,0,51
11,103,1
11,2,35
11,116,3
11,4,80
11,5,83
11,6,115
11,7,92
11,8,66
11,11,9
11,20,10
11,12,137
11,13,25
11,14,111
11,32,15
11,131,16
11,17,78
11,68,18
11,117,19
11,91,21
11,22,119
11,23,143
11,24,136
11,26,126
11,27,52
11,28,33
11,102,29
11,61,30
11,31,43
11,90,34
11,44,36
11,39,37
11,47,38
11,40,107
11,105,41
11,42,139
11,99,45
11,87,46
11,50,48
11,49,86
11,53,100
11,108,54
11,106,55
11,110,56
11,59,57
11,67,58
11,60,71
11,62,138
11,63,114
11,76,64
11,65,73
11,82,69
11,70,77
11,112,72
11,74,75
11,79,113
11,104,81
11,109,84
11,121,85
11,88,127
11,89,118
11,96,93
11,141,94
11,134,95
11,97,135
11,98,123
11,101,140
11,128,120
11,142,122
11,133,124
11,130,125
11,132,129
12,140,0
12,1,44
12,36,2
12,3,79
12,35,4
12,84,5
12,21,6
12,69,7
12,33,8
12,9,42
12,10,87
12,43,11
12,136,12
12,50,13
12,54,14
12,15,59
12,16,134
12,138,17
12,18,128
12,19,76
12,29,20
12,81,22
12,30,23
12,51,24
12,25,99
12,118,26
12,143,27
12,86,28
12,78,31
12,41,32
12,34,82
12,37,102
12,38,49
12,137,39
12,46,40
12,45,101
12,48,47
12,52,106
12,135,53
12,55,62
12,56,61
12,57,103
12,58,63
12,114,60
12,64,112
12,77,65
12,66,68
12,72,67
12,119,70
12,71,109
12,73,74
12,75,110
12,80,104
12,83,107
12,85,117
12,125,88
12,126,89
12,129,90
12,98,91
12,92,96
12,93,130
12,94,142
12,95,141
12,139,97
12,100,105
12,115,108
12,111,133
12,113,116
12,120,121
12,122,127
12,123,132
12,124,131
13,0,30
13,108,1
13,2,84
13,13,3
13,4,64
13,44,5
13,6,120
13,7,111
13,8,86
13,106,9
13,131,10
13,11,83
13,12,115
13,14,21
13,42,15
13,133,16
13,17,32
13,34,18
13,68,19
13,20,101
13,22,75
13,23,29
13,24,137
13,26,25
13,27,56
13,28,73
13,31,45
13,33,36
13,35,95
13,49,37
13,103,38
13,39,99
13,40,50
13,53,41
13,43,57
13,105,46
13,47,100
13,48,81
13,62,51
13,70,52
13,110,54
13,138,55
13,109,58
13,63,59
13,60,132
13,61,114
13,65,69
13,117,66
13,67,71
13,76,72
13,74,116
13,82,77
13,80,78
13,79,119
13,91,85
13,87,126
13,88,118
13,96,89
13,90,121
13,127,92
13,140,93
13,135,94
13,97,141
13,128,98
13,102,139
13,107,104
13,112,113
13,136,122
13,143,123
13,130,124
13,142,125
13,134,129
