1217,MiaoAlgo,i05,2,100
NrSuccesfullMatchings,2470,NrInfeasibleMatchings,0
Time,Value 
0,4329
Final, 4329,11

Round,H_team,A_team 
0,25,0
0,1,26
0,47,2
0,3,23
0,52,4
0,5,60
0,7,6
0,8,17
0,9,44
0,62,10
0,11,13
0,12,51
0,28,14
0,15,18
0,16,24
0,19,31
0,45,20
0,21,59
0,35,22
0,27,43
0,29,32
0,30,49
0,33,34
0,36,39
0,37,48
0,38,40
0,41,42
0,46,63
0,50,61
0,54,53
0,57,55
0,56,58
1,0,9
1,10,1
1,2,16
1,22,3
1,4,35
1,63,5
1,6,8
1,31,7
1,23,11
1,55,12
1,13,27
1,14,25
1,34,15
1,17,62
1,18,37
1,32,19
1,20,21
1,24,38
1,26,61
1,42,28
1,49,29
1,30,46
1,48,33
1,60,36
1,39,56
1,40,47
1,43,41
1,44,45
1,53,50
1,51,57
1,59,52
1,58,54
2,21,0
2,1,17
2,7,2
2,3,4
2,5,39
2,29,6
2,8,16
2,9,11
2,61,10
2,57,12
2,43,13
2,27,14
2,15,48
2,33,18
2,19,30
2,62,20
2,36,22
2,38,23
2,35,24
2,25,42
2,28,26
2,47,31
2,46,32
2,37,34
2,54,40
2,41,44
2,45,63
2,58,49
2,50,60
2,51,55
2,52,53
2,56,59
3,0,62
3,14,1
3,2,8
3,24,3
3,4,21
3,12,5
3,6,19
3,49,7
3,20,9
3,10,58
3,11,27
3,13,47
3,22,15
3,16,33
3,17,28
3,18,38
3,23,35
3,44,25
3,26,41
3,31,29
3,32,30
3,34,46
3,63,36
3,53,37
3,39,57
3,40,52
3,42,43
3,60,45
3,48,54
3,55,50
3,59,51
3,61,56
4,1,0
4,38,2
4,3,18
4,54,4
4,5,22
4,30,6
4,7,32
4,8,49
4,9,14
4,28,10
4,25,11
4,12,63
4,41,13
4,15,24
4,37,16
4,29,17
4,19,34
4,59,20
4,21,23
4,62,26
4,27,42
4,46,31
4,33,53
4,36,35
4,52,39
4,43,40
4,58,44
4,45,61
4,47,48
4,50,51
4,56,55
4,57,60
5,0,27
5,11,1
5,2,33
5,35,3
5,4,38
5,34,5
5,6,28
5,40,7
5,31,8
5,60,9
5,10,41
5,39,12
5,13,25
5,14,62
5,23,15
5,18,16
5,17,19
5,20,61
5,22,21
5,24,37
5,26,59
5,30,29
5,32,47
5,58,36
5,42,45
5,44,43
5,49,46
5,48,50
5,51,54
5,55,52
5,53,57
5,63,56
6,11,0
6,1,13
6,19,2
6,3,40
6,15,4
6,5,24
6,46,6
6,7,48
6,8,32
6,9,42
6,25,10
6,50,12
6,38,14
6,16,23
6,61,17
6,35,18
6,41,20
6,21,44
6,37,22
6,27,26
6,28,43
6,29,34
6,47,30
6,33,31
6,36,59
6,51,39
6,45,58
6,62,49
6,52,60
6,56,53
6,54,55
6,57,63
7,0,28
7,44,1
7,2,54
7,55,3
7,4,16
7,59,5
7,6,47
7,42,7
7,10,8
7,43,9
7,14,11
7,12,15
7,13,45
7,17,27
7,18,46
7,29,19
7,20,56
7,24,21
7,22,38
7,23,37
7,26,25
7,31,30
7,32,33
7,34,62
7,39,35
7,61,36
7,40,41
7,48,52
7,49,60
7,63,50
7,53,51
7,58,57
8,38,0
8,1,43
8,52,2
8,3,53
8,56,4
8,5,18
8,16,6
8,7,29
8,8,14
8,9,13
8,27,10
8,11,24
8,36,12
8,15,32
8,25,17
8,19,26
8,60,20
8,21,35
8,33,22
8,28,23
8,30,34
8,54,31
8,37,55
8,50,39
8,45,40
8,41,63
8,47,42
8,62,44
8,46,48
8,59,49
8,51,58
8,57,61
9,0,36
9,42,1
9,2,37
9,39,3
9,4,47
9,58,5
9,6,41
9,30,7
9,26,8
9,24,9
9,10,29
9,17,11
9,53,12
9,13,38
9,14,21
9,35,15
9,34,16
9,18,19
9,20,25
9,22,46
9,23,27
9,40,28
9,31,50
9,32,62
9,55,33
9,43,45
9,44,59
9,48,57
9,49,61
9,51,52
9,63,54
9,60,56
10,8,0
10,1,23
10,15,2
10,3,34
10,57,4
10,5,35
10,45,6
10,7,13
10,9,63
10,43,10
10,28,11
10,12,18
10,61,14
10,16,22
10,46,17
10,19,48
10,36,20
10,21,42
10,25,24
10,29,26
10,27,44
10,33,30
10,37,31
10,54,32
10,38,53
10,62,39
10,50,40
10,41,60
10,47,49
10,56,51
10,52,58
10,59,55
11,0,16
11,49,1
11,2,3
11,4,50
11,48,5
11,6,33
11,10,7
11,18,8
11,17,9
11,11,21
11,12,52
11,13,28
11,14,19
11,31,15
11,20,35
11,22,61
11,23,25
11,24,27
11,26,43
11,29,46
11,30,54
11,32,37
11,34,36
11,42,38
11,39,60
11,40,57
11,58,41
11,44,56
11,59,45
11,53,47
11,63,51
11,55,62
12,15,0
12,1,58
12,41,2
12,3,31
12,36,4
12,5,20
12,62,6
12,7,26
12,8,42
12,9,23
12,45,10
12,11,18
12,56,12
12,54,13
12,16,14
12,60,17
12,19,22
12,21,39
12,33,24
12,25,43
12,27,40
12,28,49
12,47,29
12,37,30
12,50,32
12,35,34
12,38,55
12,61,44
12,46,53
12,51,48
12,52,63
12,57,59
13,0,19
13,24,1
13,2,57
13,14,3
13,4,45
13,61,5
13,6,27
13,43,7
13,34,8
13,40,9
13,10,46
13,26,11
13,12,54
13,13,21
13,39,15
13,16,38
13,17,30
13,18,29
13,20,52
13,22,59
13,23,36
13,63,25
13,32,28
13,31,62
13,49,33
13,35,37
13,53,41
13,42,50
13,44,47
13,48,56
13,60,51
13,55,58
