Instance,CapacitySetting,MaxNrBreaks,Vcr
i02,0,3,0
Round,H_team,A_team 
0,0,166
0,122,1
0,11,2
0,13,3
0,42,4
0,5,57
0,55,6
0,171,7
0,78,8
0,9,167
0,10,73
0,12,110
0,14,83
0,24,15
0,16,61
0,17,39
0,18,183
0,19,21
0,58,20
0,22,49
0,23,35
0,25,66
0,125,26
0,71,27
0,28,152
0,64,29
0,76,30
0,180,31
0,46,32
0,33,81
0,34,96
0,45,36
0,37,38
0,40,85
0,88,41
0,43,63
0,54,44
0,103,47
0,48,159
0,50,70
0,51,95
0,156,52
0,53,130
0,56,106
0,59,113
0,60,107
0,62,148
0,65,100
0,67,181
0,68,75
0,176,69
0,178,72
0,157,74
0,89,77
0,153,79
0,80,147
0,82,165
0,93,84
0,102,86
0,99,87
0,90,94
0,91,142
0,92,120
0,146,97
0,98,161
0,143,101
0,140,104
0,105,135
0,139,108
0,164,109
0,111,177
0,117,112
0,114,168
0,115,154
0,160,116
0,118,172
0,119,169
0,138,121
0,123,170
0,124,133
0,132,126
0,127,137
0,155,128
0,162,129
0,131,174
0,144,134
0,136,150
0,141,163
0,145,151
0,158,149
0,182,173
0,179,175
1,31,0
1,1,56
1,2,165
1,20,3
1,4,93
1,66,5
1,6,13
1,7,17
1,8,80
1,9,179
1,97,10
1,26,11
1,86,12
1,27,14
1,15,48
1,83,16
1,120,18
1,19,50
1,21,125
1,128,22
1,108,23
1,63,24
1,94,25
1,126,28
1,29,115
1,30,119
1,32,144
1,154,33
1,77,34
1,35,138
1,36,155
1,112,37
1,38,127
1,39,145
1,61,40
1,41,158
1,100,42
1,133,43
1,44,164
1,159,45
1,151,46
1,47,136
1,49,176
1,177,51
1,52,54
1,73,53
1,106,55
1,57,99
1,107,58
1,70,59
1,183,60
1,161,62
1,174,64
1,169,65
1,170,67
1,109,68
1,69,88
1,113,71
1,72,124
1,74,111
1,75,140
1,129,76
1,78,180
1,79,103
1,81,131
1,85,82
1,84,114
1,87,143
1,147,89
1,95,90
1,137,91
1,152,92
1,96,156
1,148,98
1,101,172
1,142,102
1,104,162
1,175,105
1,110,182
1,116,141
1,134,117
1,173,118
1,121,139
1,130,122
1,149,123
1,150,132
1,135,171
1,168,146
1,163,153
1,167,157
1,166,160
1,181,178
2,0,149
2,102,1
2,21,2
2,3,81
2,67,4
2,5,100
2,6,69
2,25,7
2,59,8
2,46,9
2,10,38
2,11,130
2,55,12
2,13,57
2,14,86
2,41,15
2,16,17
2,125,18
2,43,19
2,23,20
2,22,120
2,24,44
2,53,26
2,27,29
2,28,121
2,115,30
2,104,31
2,111,32
2,33,52
2,34,161
2,35,49
2,36,116
2,89,37
2,124,39
2,40,144
2,42,107
2,136,45
2,105,47
2,153,48
2,50,113
2,51,167
2,178,54
2,56,166
2,58,79
2,141,60
2,119,61
2,62,152
2,103,63
2,64,177
2,139,65
2,148,66
2,68,110
2,140,70
2,71,99
