0,Heuristic,1000000,9999999,25,100000,40,30
Time,Value 
720,850
690,851
660,851
630,851
600,852
570,852
540,853
510,853
480,854
450,856
420,856
390,858
0,973
30,889
60,880
90,875
120,873
150,868
180,866
210,863
240,863
270,862
300,861
330,860
360,859
Final, 850,736

NrViolations,0
Round,H_team,A_team 
0,0,9
0,18,1
0,16,2
0,38,3
0,28,4
0,19,5
0,29,6
0,7,33
0,8,12
0,10,15
0,11,13
0,32,14
0,17,22
0,25,20
0,24,21
0,23,36
0,39,26
0,27,37
0,30,34
0,35,31
1,0,18
1,1,11
1,32,2
1,17,3
1,38,4
1,10,5
1,6,22
1,7,15
1,8,19
1,33,9
1,16,12
1,28,13
1,39,14
1,20,37
1,30,21
1,23,26
1,24,31
1,25,36
1,27,29
1,35,34
2,0,11
2,1,7
2,2,19
2,3,21
2,13,4
2,5,14
2,6,38
2,8,34
2,22,9
2,28,10
2,12,15
2,37,16
2,17,31
2,30,18
2,20,36
2,23,33
2,24,25
2,26,35
2,27,39
2,32,29
3,22,0
3,1,27
3,2,10
3,3,20
3,4,35
3,5,7
3,6,28
3,14,8
3,9,23
3,11,39
3,12,25
3,13,38
3,15,30
3,31,16
3,36,17
3,37,18
3,19,32
3,21,29
3,26,24
3,34,33
4,12,0
4,26,1
4,39,2
4,15,3
4,4,17
4,5,6
4,37,7
4,16,8
4,9,10
4,11,27
4,31,13
4,25,14
4,18,28
4,19,33
4,34,20
4,21,22
4,38,23
4,36,24
4,29,35
4,32,30
5,10,0
5,38,1
5,2,5
5,39,3
5,4,6
5,7,14
5,21,8
5,11,9
5,30,12
5,13,26
5,15,24
5,16,19
5,34,17
5,18,31
5,20,27
5,32,22
5,23,28
5,35,25
5,29,37
5,33,36
6,0,13
6,14,1
6,2,31
6,23,3
6,16,4
6,5,12
6,33,6
6,7,22
6,8,25
6,27,9
6,10,26
6,20,11
6,17,15
6,18,34
6,28,19
6,39,21
6,24,38
6,30,29
6,32,37
6,35,36
7,0,27
7,1,13
7,35,2
7,3,25
7,4,19
7,5,39
7,6,9
7,7,21
7,8,15
7,10,18
7,12,11
7,14,34
7,22,16
7,17,23
7,20,29
7,24,37
7,28,26
7,30,31
7,33,32
7,38,36
8,0,5
8,1,15
8,2,13
8,3,33
8,9,4
8,6,32
8,12,7
8,8,27
8,31,10
8,37,11
8,14,38
8,16,34
8,17,20
8,25,18
8,19,23
8,26,21
8,22,29
8,24,39
8,28,35
8,36,30
9,20,0
9,6,1
9,2,24
9,9,3
9,21,4
9,25,5
9,29,7
9,32,8
9,16,10
9,11,28
9,36,12
9,13,14
9,15,33
9,37,17
9,38,18
9,19,35
9,22,39
9,34,23
9,26,30
9,31,27
10,39,0
10,35,1
10,29,2
10,13,3
10,18,4
10,5,33
10,26,6
10,38,7
10,11,8
10,9,24
10,32,10
10,34,12
10,14,28
10,15,31
10,16,36
10,21,17
10,27,19
