0,FO,24,18
Time,Value 
Final, 226515,192476

Round,H_team,A_team 
0,8,0
0,1,15
0,18,2
0,3,17
0,7,4
0,19,5
0,13,6
0,16,9
0,11,10
0,12,14
0,20,21
0,23,22
1,9,0
1,1,10
1,2,22
1,3,20
1,4,15
1,5,12
1,17,6
1,7,23
1,18,8
1,14,11
1,13,16
1,21,19
2,0,1
2,2,8
2,3,21
2,4,10
2,5,14
2,6,18
2,9,7
2,12,11
2,17,13
2,15,23
2,20,16
2,22,19
3,0,2
3,6,1
3,4,3
3,20,5
3,22,7
3,10,8
3,21,9
3,15,11
3,16,12
3,13,18
3,14,23
3,19,17
4,23,0
4,11,1
4,2,4
4,16,3
4,22,5
4,6,10
4,8,7
4,19,9
4,13,12
4,21,14
4,15,20
4,17,18
5,0,5
5,1,17
5,2,13
5,3,8
5,18,4
5,9,6
5,7,15
5,19,10
5,23,11
5,12,21
5,14,20
5,16,22
6,18,0
6,1,16
6,5,2
6,3,9
6,11,4
6,6,23
6,7,19
6,8,14
6,10,13
6,12,20
6,15,21
6,17,22
7,10,0
7,1,3
7,14,2
7,4,21
7,5,15
7,8,6
7,7,17
7,9,18
7,11,13
7,23,12
7,16,19
7,20,22
8,0,11
8,21,1
8,15,2
8,6,3
8,4,19
8,5,7
8,8,9
8,10,12
8,13,23
8,16,14
8,20,17
8,22,18
9,0,3
9,7,1
9,2,20
9,14,4
9,16,5
9,19,6
9,21,8
9,9,11
9,22,10
9,18,12
9,15,13
9,17,23
10,17,0
10,1,5
10,11,2
10,3,15
10,12,4
10,21,6
10,7,16
10,8,23
10,9,10
10,19,13
10,14,22
10,18,20
11,13,0
11,9,1
11,6,2
11,3,14
11,5,4
11,7,21
11,17,8
11,10,20
11,11,19
11,12,22
11,16,15
11,23,18
12,0,16
12,20,1
12,2,3
12,4,17
12,5,21
12,6,11
12,12,7
12,13,8
12,23,9
12,18,10
12,19,14
12,15,22
13,22,0
13,1,12
13,2,9
13,10,3
13,4,6
13,5,17
13,14,7
13,8,11
13,21,13
13,18,15
13,23,16
13,20,19
14,0,20
14,4,1
14,2,16
14,11,3
14,13,5
14,14,6
14,7,18
14,19,8
14,9,22
14,10,15
14,17,12
14,21,23
15,0,15
15,1,14
15,10,2
15,3,19
15,8,4
15,5,18
15,12,6
15,11,7
15,13,9
15,16,17
15,20,23
15,22,21
16,0,21
16,19,1
16,2,7
16,3,13
16,20,4
16,6,5
16,22,8
16,17,9
16,23,10
16,11,16
16,15,12
16,14,18
17,6,0
17,1,13
17,23,2
17,22,3
17,4,16
17,9,5
17,10,7
17,8,20
17,18,11
17,12,19
17,15,14
17,21,17
