4,MiaoAlgo,I_BRA24_12,1,100
NrSuccesfullMatchings,113741,NrInfeasibleMatchings,41
Time,Value 
120,133410
90,133410
60,133410
30,133410
0,145867
Final, 133410,127

Round,H_team,A_team 
0,6,0
0,1,7
0,18,2
0,3,17
0,4,16
0,5,12
0,8,11
0,9,22
0,10,23
0,21,13
0,15,14
0,19,20
1,9,0
1,1,16
1,2,23
1,20,3
1,4,7
1,5,15
1,6,11
1,8,22
1,10,18
1,12,14
1,17,13
1,19,21
2,0,2
2,14,1
2,3,19
2,17,4
2,7,5
2,22,6
2,8,9
2,11,10
2,15,12
2,16,13
2,23,18
2,21,20
3,0,18
3,15,1
3,22,2
3,21,3
3,5,4
3,9,6
3,7,12
3,20,8
3,13,10
3,23,11
3,14,16
3,17,19
4,10,0
4,5,1
4,2,9
4,3,13
4,12,4
4,6,23
4,7,14
4,8,21
4,11,19
4,16,15
4,20,17
4,18,22
5,23,0
5,1,17
5,2,10
5,12,3
5,4,15
5,14,5
5,6,21
5,16,7
5,19,8
5,18,9
5,11,22
5,13,20
6,0,21
6,4,1
6,6,2
6,5,3
6,7,15
6,8,12
6,10,9
6,11,18
6,13,19
6,20,14
6,17,16
6,23,22
7,0,11
7,19,1
7,17,2
7,15,3
7,20,4
7,16,5
7,10,6
7,7,8
7,9,23
7,22,12
7,13,18
7,21,14
8,22,0
8,1,13
8,11,2
8,3,14
8,21,4
8,5,8
8,6,18
8,7,23
8,9,12
8,10,17
8,15,19
8,20,16
9,8,0
9,1,10
9,2,20
9,3,6
9,4,13
9,11,5
9,9,7
9,12,16
9,14,19
9,15,23
9,18,17
9,21,22
10,0,17
10,12,1
10,2,8
10,3,9
10,4,10
10,18,5
10,19,6
10,22,7
10,14,11
10,13,15
10,16,21
10,23,20
11,0,7
11,1,21
11,2,5
11,22,3
11,14,4
11,13,6
11,23,8
11,19,9
11,16,10
11,12,11
11,17,15
11,18,20
