74,MiaoAlgo,I_BRA24_12,1,100
NrSuccesfullMatchings,108805,NrInfeasibleMatchings,20
Time,Value 
90,133602
60,133602
30,133602
0,144221
Final, 133602,106

Round,H_team,A_team 
0,0,11
0,15,1
0,23,2
0,19,3
0,16,4
0,12,5
0,6,8
0,14,7
0,22,9
0,10,18
0,21,13
0,20,17
1,0,6
1,1,16
1,2,18
1,3,17
1,4,19
1,14,5
1,12,7
1,9,8
1,10,23
1,13,11
1,15,22
1,21,20
2,9,0
2,1,14
2,2,10
2,3,21
2,4,12
2,5,15
2,11,6
2,7,22
2,8,20
2,17,13
2,16,19
2,18,23
3,8,0
3,5,1
3,22,2
3,20,3
3,17,4
3,23,6
3,7,15
3,19,9
3,13,10
3,18,11
3,21,12
3,16,14
4,18,0
4,4,1
4,6,2
4,13,3
4,7,5
4,22,8
4,21,9
4,17,10
4,23,11
4,12,16
4,14,15
4,20,19
5,0,2
5,1,7
5,3,22
5,4,14
5,5,16
5,6,18
5,8,19
5,9,20
5,10,21
5,11,17
5,15,12
5,23,13
6,0,23
6,1,3
6,2,13
6,15,4
6,5,8
6,9,6
6,16,7
6,11,10
6,14,12
6,19,17
6,18,21
6,20,22
7,0,10
7,1,11
7,20,2
7,12,3
7,7,4
7,19,5
7,22,6
7,14,8
7,23,9
7,13,16
7,18,15
7,21,17
8,22,0
8,12,1
8,2,9
8,14,3
8,4,11
8,20,5
8,6,10
8,7,8
8,13,18
8,23,15
8,17,16
8,21,19
9,13,0
9,1,21
9,2,15
9,3,16
9,4,5
9,6,17
9,7,19
9,8,18
9,10,9
9,11,14
9,12,20
9,22,23
10,17,0
10,19,1
10,2,14
10,3,7
10,6,4
10,5,13
10,8,23
10,9,18
10,10,22
10,11,12
10,15,20
10,16,21
11,0,4
11,17,1
11,11,2
11,3,6
11,5,21
11,9,7
11,8,12
11,10,14
11,15,13
11,16,20
11,18,22
11,19,23
