4,MiaoAlgo,I_BRA24_18,1,100
NrSuccesfullMatchings,107625,NrInfeasibleMatchings,10117
Time,Value 
180,240945
150,240945
120,240945
90,240945
60,240945
30,240945
0,256318
Final, 240945,186

Round,H_team,A_team 
0,0,6
0,1,7
0,2,23
0,10,3
0,4,16
0,14,5
0,22,8
0,9,21
0,18,11
0,12,15
0,17,13
0,19,20
1,11,0
1,1,16
1,6,2
1,23,3
1,7,4
1,5,15
1,13,8
1,9,22
1,18,10
1,14,12
1,20,17
1,21,19
2,22,0
2,4,1
2,18,2
2,3,13
2,5,12
2,6,11
2,19,7
2,9,8
2,10,23
2,16,14
2,20,15
2,21,17
3,8,0
3,1,20
3,2,10
3,21,3
3,4,19
3,5,7
3,13,6
3,11,9
3,12,16
3,15,14
3,17,22
3,23,18
4,0,2
4,15,1
4,19,3
4,4,17
4,16,5
4,22,6
4,7,12
4,23,8
4,18,9
4,11,10
4,13,21
4,14,20
5,0,18
5,12,1
5,2,8
5,3,4
5,21,5
5,6,23
5,7,14
5,10,9
5,11,22
5,20,13
5,16,15
5,17,19
6,0,23
6,1,14
6,9,2
6,6,3
6,4,12
6,5,13
6,7,15
6,10,8
6,17,11
6,19,16
6,18,22
6,20,21
7,20,0
7,5,1
7,2,11
7,3,17
7,15,4
7,8,6
7,16,7
7,23,9
7,22,10
7,12,21
7,13,18
7,14,19
8,0,10
8,1,13
8,2,22
8,3,15
8,4,5
8,9,6
8,17,7
8,8,18
8,23,11
8,12,19
8,14,21
8,16,20
9,9,0
9,1,17
9,13,2
9,5,3
9,18,4
9,6,10
9,21,7
9,8,14
9,11,16
9,20,12
9,19,15
9,22,23
10,0,21
10,11,1
10,12,2
10,14,3
10,10,4
10,5,8
10,6,20
10,7,22
10,9,19
10,13,23
10,15,17
10,18,16
11,13,0
11,18,1
11,15,2
11,7,3
11,11,4
11,6,5
11,8,12
11,20,9
11,10,16
11,14,17
11,19,22
11,21,23
12,0,5
12,10,1
12,2,20
12,3,9
12,4,14
12,19,6
12,23,7
12,8,11
12,22,12
12,16,13
12,21,15
12,17,18
13,0,19
13,1,6
13,2,7
13,3,16
13,4,13
13,11,5
13,8,21
13,9,12
13,17,10
13,14,22
13,15,18
13,23,20
14,0,7
14,1,9
14,2,19
14,3,8
14,4,6
14,5,10
14,11,20
14,12,18
14,14,13
14,15,22
14,21,16
14,17,23
15,1,0
15,21,2
15,20,3
15,8,4
15,22,5
15,6,17
15,7,11
15,16,9
15,15,10
15,13,12
15,18,14
15,19,23
16,16,0
16,3,1
16,17,2
16,23,4
16,20,5
16,6,18
16,7,9
16,8,19
16,10,14
16,12,11
16,13,15
16,22,21
17,12,0
17,19,1
17,2,4
17,3,18
17,5,17
17,16,6
17,7,8
17,9,13
17,10,21
17,15,11
17,23,14
17,22,20
