1,MiaoAlgo,I_BRA24_6,1,100
NrSuccesfullMatchings,151743,NrInfeasibleMatchings,0
Time,Value 
60,49799
30,49799
0,50550
Final, 49799,69

Round,H_team,A_team 
0,23,0
0,15,1
0,2,8
0,3,21
0,16,4
0,5,7
0,11,6
0,22,9
0,18,10
0,14,12
0,13,17
0,19,20
1,0,9
1,1,16
1,2,23
1,13,3
1,4,5
1,18,6
1,7,14
1,10,8
1,11,17
1,12,15
1,19,21
1,22,20
2,21,0
2,4,1
2,10,2
2,17,3
2,5,15
2,23,6
2,12,7
2,18,8
2,9,20
2,13,11
2,16,14
2,19,22
3,6,0
3,1,14
3,2,18
3,3,19
3,17,4
3,12,5
3,15,7
3,8,9
3,10,23
3,16,11
3,20,13
3,21,22
4,0,10
4,7,1
4,6,2
4,3,11
4,4,12
4,14,5
4,8,22
4,9,13
4,15,16
4,17,19
4,23,18
4,20,21
5,0,2
5,1,12
5,20,3
5,7,4
5,5,16
5,6,10
5,8,13
5,9,19
5,11,18
5,14,15
5,21,17
5,22,23
