27,MiaoAlgo,I_BRA24_6,1,100
NrSuccesfullMatchings,110104,NrInfeasibleMatchings,0
Time,Value 
30,44512
0,45681
Final, 44512,45

Round,H_team,A_team 
0,11,0
0,1,7
0,23,2
0,21,3
0,16,4
0,15,5
0,9,6
0,22,8
0,18,10
0,14,12
0,13,17
0,19,20
1,8,0
1,1,16
1,2,10
1,20,3
1,4,7
1,14,5
1,22,6
1,9,19
1,11,13
1,12,15
1,21,17
1,23,18
2,9,0
2,4,1
2,2,18
2,3,17
2,12,5
2,6,11
2,7,16
2,8,20
2,23,10
2,13,21
2,14,15
2,22,19
3,0,18
3,15,1
3,2,22
3,3,13
3,4,14
3,5,16
3,6,23
3,7,12
3,8,9
3,10,11
3,17,19
3,20,21
4,0,23
4,12,1
4,6,2
4,3,9
4,15,4
4,5,7
4,17,8
4,10,22
4,18,11
4,20,13
4,16,14
4,19,21
5,0,2
5,1,14
5,19,3
5,5,4
5,10,6
5,7,15
5,13,8
5,21,9
5,11,23
5,16,12
5,17,20
5,18,22
