86,MiaoAlgo,I_CIRC40_10,1,100
NrSuccesfullMatchings,130136,NrInfeasibleMatchings,0
Time,Value 
240,890
210,890
180,890
150,890
120,890
90,890
60,890
30,914
0,1040
Final, 890,252

Round,H_team,A_team 
0,0,39
0,1,2
0,3,4
0,8,5
0,7,6
0,9,10
0,14,11
0,13,12
0,16,15
0,18,17
0,19,20
0,22,21
0,23,26
0,24,25
0,27,28
0,34,29
0,31,30
0,33,32
0,35,36
0,37,38
1,0,29
1,1,39
1,2,3
1,4,6
1,5,7
1,10,8
1,12,9
1,13,11
1,14,15
1,17,16
1,19,18
1,20,22
1,21,25
1,24,23
1,26,27
1,31,28
1,32,30
1,38,33
1,36,34
1,37,35
2,38,0
2,3,1
2,7,2
2,5,4
2,8,6
2,11,9
2,12,10
2,14,13
2,15,17
2,18,16
2,19,22
2,21,20
2,25,23
2,24,27
2,28,26
2,30,29
2,35,31
2,34,32
2,33,36
2,39,37
3,0,37
3,5,1
3,6,2
3,3,39
3,7,4
3,9,8
3,13,10
3,11,12
3,17,14
3,18,15
3,20,16
3,21,19
3,25,22
3,27,23
3,26,24
3,29,28
3,30,33
3,32,31
3,34,35
3,36,38
4,0,36
4,4,1
4,2,37
4,6,3
4,9,5
4,7,8
4,10,11
4,16,12
4,13,15
4,18,14
4,17,19
4,20,26
4,23,21
4,22,24
4,27,25
4,28,33
4,29,31
4,30,34
4,32,35
4,39,38
5,1,0
5,2,4
5,8,3
5,10,5
5,39,6
5,9,7
5,11,18
5,15,12
5,17,13
5,16,14
5,19,23
5,24,20
5,21,26
5,27,22
5,28,25
5,32,29
5,36,30
5,31,33
5,37,34
5,35,38
6,0,4
6,1,6
6,38,2
6,7,3
6,11,5
6,12,8
6,14,9
6,10,18
6,16,13
6,22,15
6,21,17
6,24,19
6,23,20
6,26,25
6,31,27
6,34,28
6,33,29
6,37,30
6,36,32
6,39,35
7,3,0
7,38,1
7,5,2
7,4,39
7,6,10
7,12,7
7,8,11
7,15,9
7,13,18
7,14,21
7,22,16
7,23,17
7,27,19
7,25,20
7,29,24
7,26,31
7,32,28
7,35,30
7,34,33
7,36,37
8,2,0
8,37,1
8,5,3
8,4,10
8,6,9
8,11,7
8,8,13
8,12,14
8,15,21
8,23,16
8,20,17
8,18,22
8,28,19
8,30,24
8,25,31
8,26,32
8,29,27
8,33,35
8,38,34
8,39,36
9,35,0
9,1,36
9,2,39
9,3,38
9,4,8
9,6,5
9,10,7
9,9,13
9,15,11
9,17,12
9,19,14
9,16,21
9,20,18
9,22,23
9,28,24
9,25,32
9,29,26
9,30,27
9,31,34
9,33,37
