87,MiaoAlgo,I_CIRC40_10,1,100
NrSuccesfullMatchings,110199,NrInfeasibleMatchings,0
Time,Value 
210,930
180,930
150,930
120,930
90,930
60,930
30,930
0,1104
Final, 930,213

Round,H_team,A_team 
0,0,30
0,1,38
0,2,39
0,3,37
0,6,4
0,7,5
0,8,12
0,9,10
0,11,13
0,15,14
0,16,25
0,17,22
0,18,21
0,19,20
0,23,24
0,27,26
0,29,28
0,32,31
0,34,33
0,36,35
1,0,38
1,1,39
1,3,2
1,7,4
1,10,5
1,6,37
1,8,9
1,12,11
1,15,13
1,16,14
1,17,25
1,18,22
1,19,21
1,20,24
1,23,26
1,27,28
1,29,31
1,36,30
1,32,33
1,35,34
2,0,2
2,35,1
2,39,3
2,37,4
2,5,6
2,8,7
2,14,9
2,10,11
2,13,12
2,16,15
2,17,18
2,22,19
2,21,20
2,25,23
2,24,27
2,26,29
2,28,31
2,33,30
2,34,32
2,36,38
3,39,0
3,32,1
3,2,7
3,3,6
3,4,5
3,11,8
3,13,9
3,12,10
3,14,17
3,21,15
3,18,16
3,26,19
3,22,20
3,28,23
3,24,29
3,25,27
3,30,34
3,31,33
3,38,35
3,37,36
4,0,1
4,2,4
4,5,3
4,6,7
4,10,8
4,9,11
4,12,15
4,13,14
4,17,16
4,20,18
4,24,19
4,21,22
4,27,23
4,25,26
4,33,28
4,29,30
4,31,34
4,36,32
4,37,35
4,39,38
5,3,0
5,1,36
5,2,5
5,4,39
5,8,6
5,7,11
5,12,9
5,14,10
5,16,13
5,15,17
5,19,18
5,20,25
5,23,21
5,22,27
5,26,24
5,34,28
5,33,29
5,30,31
5,35,32
5,38,37
6,0,36
6,1,2
6,3,4
6,5,8
6,9,6
6,7,39
6,13,10
6,11,17
6,14,12
6,15,18
6,16,20
6,19,25
6,26,21
6,22,23
6,28,24
6,27,31
6,29,35
6,32,30
6,37,33
6,38,34
7,37,0
7,4,1
7,2,8
7,9,3
7,5,39
7,6,11
7,7,12
7,15,10
7,17,13
7,18,14
7,19,16
7,20,23
7,25,21
7,26,22
7,30,24
7,29,27
7,28,32
7,31,35
7,33,38
7,36,34
8,34,0
8,5,1
8,38,2
8,10,3
8,4,8
8,6,12
8,9,7
8,11,15
8,18,13
8,14,19
8,21,16
8,20,17
8,24,22
8,23,29
8,25,32
8,28,26
8,30,27
8,31,36
8,35,33
8,39,37
9,35,0
9,1,37
9,34,2
9,12,3
9,4,9
9,38,5
9,39,6
9,10,7
9,8,15
9,11,14
9,13,19
9,22,16
9,21,17
9,23,18
9,27,20
9,24,25
9,31,26
9,30,28
9,32,29
9,33,36
