91,MiaoAlgo,I_CIRC40_10,1,100
NrSuccesfullMatchings,161407,NrInfeasibleMatchings,0
Time,Value 
300,908
270,908
240,908
210,908
180,908
150,908
120,908
90,910
60,910
30,924
0,1124
Final, 908,313

Round,H_team,A_team 
0,0,1
0,8,2
0,4,3
0,6,5
0,9,7
0,10,11
0,12,13
0,25,14
0,22,15
0,17,16
0,21,18
0,20,19
0,24,23
0,26,27
0,28,29
0,30,31
0,32,33
0,35,34
0,36,37
0,38,39
1,0,39
1,2,1
1,3,6
1,5,4
1,7,8
1,9,10
1,12,11
1,17,13
1,24,14
1,20,15
1,18,16
1,21,19
1,22,23
1,30,25
1,29,26
1,28,27
1,31,32
1,34,33
1,35,36
1,38,37
2,37,0
2,1,39
2,2,4
2,3,5
2,6,8
2,7,10
2,14,9
2,13,11
2,15,12
2,16,21
2,19,17
2,18,20
2,24,22
2,25,23
2,28,26
2,29,27
2,32,30
2,31,38
2,33,35
2,34,36
3,36,0
3,4,1
3,38,2
3,39,3
3,8,5
3,10,6
3,11,7
3,15,9
3,16,12
3,14,13
3,17,20
3,19,18
3,21,22
3,23,28
3,26,24
3,27,25
3,32,29
3,35,30
3,33,31
3,37,34
4,0,2
4,1,3
4,8,4
4,10,5
4,9,6
4,12,7
4,11,15
4,13,18
4,14,17
4,19,16
4,20,21
4,22,28
4,23,26
4,24,25
4,27,31
4,33,29
4,36,30
4,32,35
4,38,34
4,39,37
5,0,38
5,1,37
5,2,3
5,7,4
5,5,9
5,6,11
5,13,8
5,10,12
5,15,14
5,20,16
5,17,18
5,22,19
5,21,24
5,23,27
5,25,26
5,28,31
5,29,35
5,30,33
5,34,32
5,39,36
6,5,0
6,1,38
6,2,37
6,3,9
6,4,10
6,6,7
6,11,8
6,12,14
6,16,13
6,15,17
6,18,22
6,19,23
6,20,24
6,26,21
6,29,25
6,27,30
6,32,28
6,31,35
6,36,33
6,34,39
7,6,0
7,34,1
7,2,36
7,3,38
7,4,9
7,5,7
7,10,8
7,11,14
7,12,17
7,13,19
7,16,15
7,23,18
7,22,20
7,25,21
7,24,27
7,26,30
7,33,28
7,31,29
7,37,32
7,35,39
8,8,0
8,33,1
8,7,2
8,3,36
8,4,6
8,39,5
8,9,12
8,16,10
8,11,17
8,15,13
8,14,19
8,18,24
8,23,20
8,27,21
8,26,22
8,28,25
8,30,29
8,31,34
8,38,32
8,37,35
9,0,4
9,1,6
9,5,2
9,7,3
9,8,12
9,9,11
9,13,10
9,14,16
9,18,15
9,17,24
9,19,26
9,25,20
9,21,23
9,27,22
9,30,28
9,29,34
9,36,31
9,39,32
9,37,33
9,35,38
