95,MiaoAlgo,I_CIRC40_10,1,100
NrSuccesfullMatchings,139595,NrInfeasibleMatchings,0
Time,Value 
270,904
240,904
210,904
180,904
150,904
120,904
90,904
60,906
30,946
0,1018
Final, 904,273

Round,H_team,A_team 
0,0,1
0,9,2
0,8,3
0,5,4
0,7,6
0,10,11
0,12,13
0,15,14
0,17,16
0,19,18
0,20,21
0,23,22
0,24,27
0,25,26
0,29,28
0,31,30
0,32,33
0,35,34
0,37,36
0,39,38
1,0,34
1,1,38
1,3,2
1,4,9
1,5,7
1,6,8
1,13,10
1,12,11
1,14,17
1,16,15
1,18,20
1,19,21
1,25,22
1,24,23
1,26,27
1,33,28
1,30,29
1,31,32
1,36,35
1,39,37
2,39,0
2,1,34
2,2,5
2,3,9
2,4,6
2,7,8
2,16,10
2,13,11
2,17,12
2,20,14
2,19,15
2,21,18
2,22,24
2,26,23
2,27,25
2,35,28
2,29,31
2,30,32
2,33,36
2,37,38
3,38,0
3,2,1
3,5,3
3,7,4
3,6,9
3,11,8
3,14,10
3,18,12
3,13,16
3,17,15
3,20,19
3,21,22
3,27,23
3,24,25
3,26,30
3,28,31
3,29,32
3,34,33
3,35,37
3,36,39
4,36,0
4,4,1
4,38,2
4,3,6
4,8,5
4,10,7
4,9,11
4,12,16
4,14,13
4,15,18
4,21,17
4,22,19
4,23,20
4,28,24
4,32,25
4,29,26
4,27,30
4,34,31
4,37,33
4,35,39
5,0,33
5,5,1
5,2,6
5,4,3
5,11,7
5,8,9
5,10,12
5,13,15
5,14,16
5,18,17
5,25,19
5,22,20
5,23,21
5,26,24
5,31,27
5,30,28
5,37,29
5,32,35
5,34,39
5,36,38
6,4,0
6,1,3
6,39,2
6,5,12
6,6,10
6,7,9
6,8,13
6,15,11
6,18,14
6,16,22
6,20,17
6,19,23
6,21,25
6,24,31
6,28,26
6,32,27
6,38,29
6,30,36
6,33,35
6,37,34
7,3,0
7,39,1
7,2,37
7,11,4
7,6,5
7,7,13
7,12,8
7,9,10
7,19,14
7,15,22
7,18,16
7,17,23
7,20,26
7,21,24
7,25,31
7,28,27
7,35,29
7,33,30
7,38,32
7,34,36
8,0,2
8,1,37
8,3,7
8,10,4
8,11,5
8,6,39
8,15,8
8,9,13
8,14,12
8,16,20
8,17,19
8,23,18
8,27,21
8,22,26
8,29,24
8,25,28
8,34,30
8,31,35
8,36,32
8,33,38
9,0,37
9,1,6
9,2,7
9,38,3
9,8,4
9,10,5
9,9,39
9,11,14
9,12,15
9,13,17
9,16,19
9,22,18
9,24,20
9,26,21
9,23,25
9,27,29
9,28,36
9,30,35
9,31,33
9,32,34
