10,MiaoAlgo,I_CIRC40_20,1,100
NrSuccesfullMatchings,156887,NrInfeasibleMatchings,29
Time,Value 
900,3290
870,3290
360,3290
330,3290
300,3316
270,3318
240,3328
210,3342
180,3342
150,3368
120,3370
90,3370
60,3378
30,3392
0,4360
390,3290
420,3290
450,3290
480,3290
510,3290
540,3290
570,3290
600,3290
630,3290
660,3290
690,3290
720,3290
750,3290
780,3290
810,3290
840,3290
Final, 3290,903

Round,H_team,A_team 
0,37,0
0,36,1
0,35,2
0,7,3
0,5,4
0,8,6
0,9,10
0,12,11
0,16,13
0,15,14
0,20,17
0,19,18
0,22,21
0,23,24
0,26,25
0,28,27
0,29,30
0,31,32
0,33,34
0,38,39
1,0,38
1,11,1
1,10,2
1,9,3
1,6,4
1,5,36
1,8,7
1,13,12
1,14,21
1,15,16
1,17,19
1,18,20
1,23,22
1,26,24
1,27,25
1,28,30
1,29,35
1,31,34
1,32,33
1,39,37
2,0,39
2,1,35
2,2,38
2,3,5
2,4,36
2,6,7
2,10,8
2,12,9
2,14,11
2,15,13
2,16,21
2,17,22
2,18,31
2,19,24
2,20,23
2,25,29
2,26,28
2,27,30
2,34,32
2,37,33
3,0,2
3,39,1
3,4,3
3,5,8
3,6,12
3,7,10
3,9,11
3,14,13
3,24,15
3,16,17
3,21,18
3,23,19
3,22,20
3,30,25
3,27,26
3,29,28
3,33,31
3,35,32
3,34,36
3,37,38
4,5,0
4,38,1
4,2,3
4,7,4
4,10,6
4,11,8
4,13,9
4,15,12
4,17,14
4,18,16
4,19,22
4,20,21
4,25,23
4,24,27
4,26,29
4,28,32
4,30,33
4,31,35
4,37,34
4,36,39
5,0,7
5,1,15
5,2,5
5,3,6
5,4,12
5,8,16
5,9,14
5,10,11
5,13,17
5,22,18
5,25,19
5,26,20
5,23,21
5,28,24
5,35,27
5,32,29
5,30,31
5,39,33
5,38,34
5,36,37
6,0,35
6,10,1
6,2,36
6,3,33
6,4,39
6,5,38
6,6,37
6,7,32
6,8,9
6,11,27
6,12,17
6,13,21
6,14,22
6,15,20
6,16,28
6,18,23
6,19,26
6,24,25
6,29,31
6,34,30
7,36,0
7,1,2
7,3,8
7,33,4
7,5,9
7,39,6
7,37,7
7,38,10
7,16,11
7,27,12
7,22,13
7,26,14
7,21,15
7,23,17
7,28,18
7,31,19
7,25,20
7,29,24
7,32,30
7,35,34
8,34,0
8,30,1
8,39,2
8,38,3
8,32,4
8,6,5
8,7,9
8,14,8
8,24,10
8,17,11
8,25,12
8,20,13
8,22,15
8,19,16
8,26,18
8,21,27
8,23,29
8,28,33
8,31,37
8,36,35
9,1,0
9,2,4
9,3,31
9,5,7
9,9,6
9,12,8
9,10,14
9,13,11
9,15,17
9,16,23
9,18,24
9,19,21
9,20,28
9,22,25
9,33,26
9,27,29
9,35,30
9,37,32
9,39,34
9,36,38
10,0,32
10,1,37
10,2,7
10,3,39
10,4,31
10,10,5
10,6,36
10,8,13
10,9,22
10,11,20
10,12,19
10,14,16
10,18,15
10,17,24
10,21,29
10,23,27
10,25,28
10,34,26
10,38,30
10,33,35
11,0,4
11,3,1
11,2,37
11,5,31
11,6,38
11,7,36
11,8,22
11,9,20
11,13,10
11,11,21
11,12,16
11,14,24
11,15,19
11,18,17
11,28,23
11,34,25
11,30,26
11,32,27
11,29,33
11,39,35
12,31,0
12,1,5
12,30,2
12,37,3
12,38,4
12,6,13
12,35,7
12,39,8
12,17,9
12,16,10
12,22,11
12,21,12
12,19,14
12,28,15
12,25,18
12,24,20
12,26,23
12,27,33
12,29,34
12,36,32
13,30,0
13,4,1
13,2,6
13,32,3
13,39,5
13,7,13
13,38,8
13,19,9
13,17,10
13,26,11
13,23,12
13,18,14
13,27,15
13,20,16
13,21,24
13,22,29
13,25,33
13,34,28
13,31,36
13,37,35
14,0,3
14,1,34
14,8,2
14,10,4
14,5,37
14,6,17
14,7,39
14,16,9
14,11,19
14,12,14
14,13,18
14,23,15
14,20,29
14,21,25
14,22,27
14,24,31
14,32,26
14,35,28
14,36,30
14,33,38
15,33,0
15,7,1
15,15,2
15,3,10
15,4,37
15,34,5
15,11,6
15,8,17
15,9,39
15,12,18
15,19,13
15,14,23
15,16,29
15,20,27
15,30,21
15,24,22
15,25,31
15,35,26
15,36,28
15,32,38
16,29,0
16,8,1
16,9,2
16,3,14
16,4,17
16,35,5
16,15,6
16,12,7
16,37,10
16,11,39
16,13,23
16,22,16
16,18,27
16,19,20
16,34,21
16,24,30
16,25,32
16,26,31
16,28,38
16,33,36
17,28,0
17,1,33
17,2,14
17,36,3
17,9,4
17,5,12
17,6,19
17,17,7
17,18,8
17,39,10
17,15,11
17,13,25
17,27,16
17,20,32
17,21,26
17,31,22
17,23,30
17,34,24
17,29,37
17,38,35
18,0,12
18,1,6
18,2,34
18,35,3
18,4,19
18,13,5
18,21,7
18,20,8
18,38,9
18,10,15
18,11,18
18,14,25
18,24,16
18,17,26
18,30,22
18,33,23
18,27,37
18,31,28
18,29,36
18,32,39
19,0,6
19,1,29
19,12,2
19,3,34
19,4,13
19,11,5
19,7,19
19,8,15
19,37,9
19,10,18
19,14,20
19,16,26
19,17,25
19,21,28
19,33,22
19,32,23
19,24,35
19,27,36
19,30,39
19,31,38
