100,MiaoAlgo,I_CIRC40_20,1,100
NrSuccesfullMatchings,158371,NrInfeasibleMatchings,198
Time,Value 
720,3268
690,3268
660,3268
630,3268
600,3268
570,3268
540,3268
510,3268
480,3268
450,3268
420,3268
390,3268
0,4566
30,3394
60,3346
90,3338
120,3338
150,3338
180,3338
210,3324
240,3306
270,3274
300,3268
330,3268
360,3268
Final, 3268,744

Round,H_team,A_team 
0,35,0
0,1,8
0,38,2
0,39,3
0,37,4
0,36,5
0,6,7
0,10,9
0,11,14
0,12,13
0,30,15
0,25,16
0,24,17
0,23,18
0,20,19
0,22,21
0,28,26
0,29,27
0,31,32
0,34,33
1,0,12
1,1,11
1,2,9
1,3,6
1,38,4
1,33,5
1,7,10
1,39,8
1,18,13
1,16,14
1,29,15
1,30,17
1,27,19
1,22,20
1,23,21
1,28,24
1,26,25
1,31,37
1,32,34
1,35,36
2,8,0
2,1,38
2,3,2
2,4,39
2,6,5
2,9,7
2,12,10
2,13,11
2,14,22
2,15,17
2,16,18
2,19,23
2,21,20
2,24,26
2,25,27
2,29,28
2,32,30
2,33,31
2,34,35
2,36,37
3,0,1
3,39,2
3,3,4
3,5,7
3,6,12
3,8,10
3,9,11
3,17,13
3,15,14
3,23,16
3,20,18
3,22,19
3,24,21
3,25,32
3,26,29
3,27,28
3,30,33
3,31,35
3,34,36
3,37,38
4,38,0
4,39,1
4,36,2
4,37,3
4,35,4
4,5,9
4,10,6
4,7,8
4,11,15
4,12,14
4,20,13
4,24,16
4,19,17
4,26,18
4,27,21
4,23,22
4,28,25
4,29,34
4,30,31
4,32,33
5,4,0
5,1,32
5,2,37
5,3,36
5,8,5
5,6,35
5,7,30
5,9,22
5,13,10
5,12,11
5,14,27
5,15,20
5,16,28
5,17,23
5,18,24
5,19,25
5,21,26
5,33,29
5,34,31
5,39,38
6,0,39
6,1,2
6,8,3
6,4,32
6,5,38
6,9,6
6,11,7
6,10,35
6,12,22
6,13,30
6,14,28
6,15,23
6,16,20
6,17,21
6,18,25
6,19,24
6,26,31
6,27,33
6,36,29
6,37,34
7,32,0
7,34,1
7,2,4
7,30,3
7,5,10
7,39,6
7,29,7
7,38,8
7,13,9
7,23,11
7,20,12
7,24,14
7,21,15
7,27,16
7,25,17
7,22,18
7,26,19
7,28,35
7,31,36
7,33,37
8,0,36
8,1,3
8,2,31
8,4,6
8,11,5
8,7,39
8,9,8
8,10,38
8,12,25
8,14,13
8,15,16
8,17,26
8,18,27
8,19,28
8,20,23
8,21,29
8,22,24
8,34,30
8,37,32
8,35,33
9,0,33
9,7,1
9,2,35
9,3,31
9,4,34
9,5,37
9,6,36
9,8,32
9,9,12
9,10,39
9,11,38
9,13,16
9,14,23
9,15,26
9,17,27
9,18,28
9,19,21
9,20,24
9,22,29
9,25,30
10,0,31
10,1,35
10,33,2
10,3,34
10,4,5
10,8,6
10,12,7
10,9,38
10,10,37
10,11,39
10,13,23
10,14,26
10,15,27
10,16,19
10,17,20
10,18,21
10,25,22
10,24,29
10,28,30
10,36,32
11,37,0
11,1,10
11,32,2
11,35,3
11,36,4
11,34,5
11,38,6
11,7,13
11,31,8
11,39,9
11,19,11
11,23,12
11,21,14
11,24,15
11,26,16
11,22,17
11,30,18
11,27,20
11,29,25
11,28,33
12,0,9
12,33,1
12,34,2
12,3,10
12,4,7
12,39,5
12,37,6
12,8,17
12,21,11
12,24,12
12,13,19
12,20,14
12,25,15
12,22,16
12,31,18
12,23,28
12,26,27
12,29,30
12,35,32
12,36,38
13,2,0
13,4,1
13,3,7
13,5,35
13,6,13
13,8,37
13,9,19
13,10,11
13,16,12
13,17,14
13,18,15
13,25,20
13,21,28
13,22,26
13,23,24
13,27,30
13,31,29
13,32,39
13,33,36
13,38,34
14,3,0
14,1,36
14,2,5
14,4,13
14,11,6
14,7,37
14,12,8
14,17,9
14,14,10
14,15,22
14,16,21
14,19,18
14,20,28
14,26,23
14,30,24
14,34,25
14,27,31
14,32,29
14,38,33
14,35,39
15,0,13
15,6,1
15,7,2
15,5,3
15,10,4
15,14,8
15,16,9
15,11,22
15,12,21
15,19,15
15,18,17
15,20,31
15,23,27
15,33,24
15,35,25
15,26,34
15,28,32
15,29,38
15,30,36
15,39,37
16,0,5
16,9,1
16,6,2
16,3,12
16,4,11
16,15,7
16,13,8
16,18,10
16,19,14
16,17,16
16,20,29
16,21,31
16,22,27
16,30,23
16,24,34
16,33,25
16,26,32
16,28,38
16,37,35
16,36,39
17,0,6
17,1,12
17,2,11
17,9,3
17,8,4
17,5,19
17,16,7
17,21,10
17,13,15
17,18,14
17,17,29
17,32,20
17,28,22
17,31,23
17,25,24
17,36,26
17,27,34
17,37,30
17,33,39
17,38,35
18,7,0
18,37,1
18,2,19
18,13,3
18,16,4
18,5,12
18,6,33
18,8,15
18,14,9
18,10,17
18,11,18
18,36,20
18,25,21
18,32,22
18,29,23
18,27,24
18,35,26
18,31,28
18,38,30
18,34,39
19,10,0
19,5,1
19,2,8
19,38,3
19,14,4
19,6,17
19,7,33
19,15,9
19,11,16
19,12,18
19,21,13
19,39,19
19,35,20
19,31,22
19,23,25
19,24,36
19,30,26
19,32,27
19,28,34
19,29,37
