2,MiaoAlgo,I_CIRC40_20,1,100
NrSuccesfullMatchings,126038,NrInfeasibleMatchings,69
Time,Value 
570,3250
540,3250
510,3250
480,3250
450,3250
420,3250
390,3250
0,4108
30,3318
60,3258
90,3258
120,3250
150,3250
180,3250
210,3250
240,3250
270,3250
300,3250
330,3250
360,3250
Final, 3250,585

Round,H_team,A_team 
0,0,39
0,10,1
0,7,2
0,4,3
0,6,5
0,9,8
0,12,11
0,13,28
0,14,27
0,15,16
0,17,26
0,18,25
0,19,24
0,20,21
0,22,23
0,34,29
0,31,30
0,33,32
0,35,36
0,37,38
1,8,0
1,11,1
1,2,29
1,3,37
1,4,35
1,5,38
1,6,39
1,7,33
1,10,9
1,12,28
1,13,27
1,14,15
1,16,25
1,17,18
1,19,22
1,20,24
1,21,23
1,26,30
1,31,32
1,36,34
2,10,0
2,1,36
2,2,37
2,5,3
2,6,4
2,7,38
2,8,39
2,9,33
2,11,28
2,12,29
2,13,15
2,14,25
2,16,26
2,17,22
2,18,24
2,19,21
2,20,23
2,27,30
2,35,31
2,32,34
3,0,11
3,1,8
3,35,2
3,3,10
3,4,7
3,39,5
3,38,6
3,37,9
3,15,12
3,29,13
3,26,14
3,24,16
3,25,17
3,21,18
3,23,19
3,22,20
3,28,27
3,30,34
3,33,31
3,32,36
4,0,5
4,1,4
4,33,2
4,39,3
4,37,6
4,10,7
4,38,8
4,32,9
4,29,11
4,20,12
4,30,13
4,28,14
4,21,15
4,23,16
4,24,17
4,22,18
4,25,19
4,27,26
4,31,36
4,34,35
5,36,0
5,39,1
5,34,2
5,38,3
5,4,5
5,35,6
5,9,7
5,37,8
5,15,10
5,33,11
5,14,12
5,25,13
5,18,16
5,20,17
5,26,19
5,21,22
5,24,23
5,29,27
5,28,31
5,30,32
6,0,33
6,1,34
6,2,36
6,3,35
6,4,38
6,5,37
6,6,32
6,7,39
6,8,30
6,9,31
6,10,29
6,11,20
6,12,25
6,13,26
6,14,24
6,15,28
6,16,22
6,17,21
6,18,23
6,19,27
7,34,0
7,1,9
7,2,5
7,3,6
7,31,4
7,8,7
7,12,10
7,15,11
7,18,13
7,16,14
7,23,17
7,29,19
7,25,20
7,27,21
7,22,24
7,28,26
7,33,30
7,35,32
7,36,37
7,38,39
8,0,6
8,37,1
8,39,2
8,36,3
8,34,4
8,5,7
8,10,8
8,38,9
8,11,13
8,16,12
8,14,18
8,20,15
8,28,17
8,30,19
8,21,24
8,27,22
8,23,25
8,31,26
8,32,29
8,35,33
9,0,2
9,38,1
9,3,9
9,32,4
9,8,5
9,36,6
9,7,14
9,11,10
9,12,13
9,23,15
9,21,16
9,27,17
9,20,18
9,28,19
9,26,22
9,24,25
9,31,29
9,30,35
9,34,33
9,39,37
10,4,0
10,6,1
10,8,2
10,7,3
10,10,5
10,9,11
10,17,12
10,13,14
10,15,24
10,16,20
10,19,18
10,21,28
10,22,31
10,26,23
10,25,27
10,29,35
10,30,36
10,32,37
10,33,38
10,39,34
11,1,0
11,2,32
11,8,3
11,4,39
11,5,34
11,7,6
11,12,9
11,16,10
11,11,14
11,13,24
11,17,15
11,18,28
11,19,36
11,20,27
11,26,21
11,22,25
11,31,23
11,29,30
11,37,33
11,35,38
12,0,7
12,3,1
12,38,2
12,33,4
12,36,5
12,6,11
12,15,8
12,9,13
12,22,10
12,18,12
12,14,17
12,27,16
12,19,20
12,25,21
12,30,23
12,24,26
12,28,29
12,34,31
12,39,32
12,35,37
13,38,0
13,2,1
13,3,11
13,36,4
13,33,5
13,8,6
13,37,7
13,9,17
13,10,13
13,24,12
13,23,14
13,25,15
13,29,16
13,30,18
13,31,19
13,26,20
13,34,21
13,28,22
13,32,27
13,39,35
14,0,37
14,1,7
14,3,2
14,9,4
14,5,35
14,10,6
14,8,11
14,21,12
14,17,13
14,20,14
14,15,22
14,19,16
14,18,26
14,23,29
14,24,34
14,30,25
14,31,27
14,32,28
14,33,39
14,36,38
15,35,0
15,5,1
15,2,10
15,32,3
15,4,8
15,6,9
15,7,15
15,11,18
15,12,19
15,13,20
15,14,22
15,16,17
15,21,29
15,28,23
15,27,24
15,25,34
15,26,33
15,38,30
15,37,31
15,39,36
16,30,0
16,35,1
16,2,12
16,19,3
16,4,10
16,9,5
16,6,15
16,7,36
16,8,18
16,17,11
16,13,16
16,14,21
16,20,29
16,22,32
16,23,27
16,24,33
16,25,26
16,37,28
16,39,31
16,34,38
17,0,28
17,1,12
17,4,2
17,18,3
17,5,15
17,6,14
17,7,21
17,13,8
17,9,36
17,38,10
17,11,16
17,17,19
17,34,20
17,22,33
17,23,32
17,24,39
17,31,25
17,29,26
17,27,35
17,37,30
18,0,31
18,1,30
18,2,6
18,3,34
18,11,4
18,5,14
18,12,7
18,17,8
18,16,9
18,10,21
18,19,13
18,15,18
18,33,20
18,22,37
18,23,39
18,24,32
18,29,25
18,26,35
18,27,38
18,36,28
19,3,0
19,1,31
19,2,30
19,12,4
19,5,17
19,6,34
19,11,7
19,16,8
19,18,9
19,14,10
19,13,23
19,15,19
19,32,20
19,21,37
19,29,22
19,28,24
19,25,35
19,26,38
19,27,39
19,36,33
