26,MiaoAlgo,I_CIRC40_20,1,100
NrSuccesfullMatchings,178223,NrInfeasibleMatchings,48
Time,Value 
990,2940
960,2940
930,2940
900,2940
870,2940
360,2974
330,2986
300,2992
270,2992
240,2994
210,2994
180,2994
150,2998
120,3006
90,3054
60,3226
30,3226
0,4134
390,2952
420,2948
450,2940
480,2940
510,2940
540,2940
570,2940
600,2940
630,2940
660,2940
690,2940
720,2940
750,2940
780,2940
810,2940
840,2940
Final, 2940,991

Round,H_team,A_team 
0,3,0
0,2,1
0,4,39
0,5,38
0,6,37
0,7,26
0,8,9
0,10,25
0,11,24
0,12,23
0,13,14
0,15,22
0,16,19
0,17,18
0,20,21
0,34,27
0,31,28
0,30,29
0,33,32
0,36,35
1,0,32
1,1,35
1,2,33
1,3,31
1,5,4
1,6,38
1,7,37
1,8,39
1,9,26
1,10,11
1,12,25
1,13,24
1,14,23
1,15,27
1,16,22
1,17,29
1,18,21
1,19,20
1,28,30
1,36,34
2,0,31
2,1,33
2,3,2
2,4,38
2,5,37
2,10,6
2,8,7
2,9,39
2,11,26
2,12,13
2,14,25
2,15,24
2,16,23
2,17,27
2,18,29
2,19,22
2,20,30
2,21,28
2,36,32
2,35,34
3,35,0
3,37,1
3,2,7
3,38,3
3,34,4
3,39,5
3,6,8
3,9,10
3,13,11
3,14,12
3,26,15
3,29,16
3,25,17
3,22,18
3,23,19
3,28,20
3,24,21
3,27,30
3,32,31
3,33,36
4,0,37
4,1,38
4,2,39
4,4,3
4,5,6
4,7,9
4,8,18
4,10,13
4,11,14
4,12,15
4,16,17
4,19,21
4,29,20
4,28,22
4,30,23
4,25,24
4,27,26
4,31,36
4,32,35
4,33,34
5,0,1
5,4,2
5,3,5
5,6,18
5,7,13
5,10,8
5,9,14
5,11,12
5,15,16
5,21,17
5,24,19
5,34,20
5,29,22
5,32,23
5,26,25
5,28,27
5,30,36
5,31,33
5,37,35
5,38,39
6,38,0
6,1,3
6,2,5
6,4,6
6,7,14
6,13,8
6,9,11
6,12,10
6,17,15
6,18,16
6,19,26
6,20,24
6,22,21
6,23,28
6,25,30
6,27,29
6,34,31
6,37,32
6,35,33
6,36,39
7,36,0
7,39,1
7,38,2
7,37,3
7,31,4
7,35,5
7,6,7
7,11,8
7,27,9
7,14,10
7,26,12
7,22,13
7,21,15
7,24,16
7,23,17
7,20,18
7,25,19
7,28,29
7,30,33
7,34,32
8,0,34
8,1,36
8,2,6
8,39,3
8,4,37
8,5,11
8,10,7
8,8,38
8,13,9
8,16,12
8,14,15
8,17,22
8,18,24
8,19,27
8,20,23
8,21,25
8,26,28
8,33,29
8,32,30
8,35,31
9,4,0
9,5,1
9,8,2
9,3,36
9,6,11
9,12,7
9,9,38
9,15,10
9,13,16
9,19,14
9,17,24
9,18,25
9,22,20
9,21,27
9,23,26
9,28,32
9,29,31
9,30,35
9,33,37
9,39,34
10,6,0
10,4,1
10,2,36
10,8,3
10,5,10
10,7,38
10,12,9
10,11,16
10,13,15
10,14,17
10,19,18
10,25,20
10,26,21
10,22,27
10,24,23
10,28,33
10,29,32
10,30,31
10,37,34
10,35,39
11,0,5
11,1,8
11,2,11
11,3,10
11,36,4
11,9,6
11,39,7
11,12,17
11,18,13
11,14,16
11,15,19
11,32,20
11,29,21
11,23,22
11,26,24
11,31,25
11,27,33
11,37,28
11,34,30
11,38,35
12,0,8
12,31,1
12,10,2
12,9,3
12,32,4
12,33,5
12,16,6
12,36,7
12,39,11
12,20,12
12,23,13
12,22,14
12,15,18
12,17,19
12,30,21
12,24,34
12,25,27
12,26,29
12,35,28
12,37,38
13,0,11
13,32,1
13,9,2
13,14,3
13,4,8
13,34,5
13,15,6
13,35,7
13,16,10
13,12,19
13,21,13
13,20,17
13,18,26
13,22,30
13,23,27
13,28,24
13,25,29
13,31,37
13,39,33
13,38,36
14,2,0
14,1,34
14,3,35
14,10,4
14,5,9
14,6,39
14,7,16
14,8,12
14,11,15
14,13,20
14,14,21
14,17,26
14,18,23
14,19,30
14,33,22
14,24,29
14,28,25
14,27,31
14,38,32
14,36,37
15,0,9
15,29,1
15,35,2
15,3,16
15,11,4
15,7,5
15,6,12
15,17,8
15,10,18
15,19,13
15,27,14
15,15,20
15,21,23
15,32,22
15,24,30
15,33,25
15,31,26
15,36,28
15,38,34
15,37,39
16,0,39
16,30,1
16,37,2
16,3,6
16,4,7
16,5,16
16,19,8
16,9,15
16,10,17
16,21,11
16,12,18
16,26,13
16,20,14
16,35,22
16,23,31
16,24,27
16,32,25
16,34,28
16,29,36
16,33,38
17,30,0
17,1,6
17,2,12
17,7,3
17,16,4
17,5,15
17,21,8
17,17,9
17,37,10
17,20,11
17,25,13
17,14,18
17,28,19
17,22,24
17,23,35
17,26,33
17,27,36
17,34,29
17,31,38
17,39,32
18,29,0
18,1,12
18,32,2
18,11,3
18,18,4
18,8,5
18,6,14
18,7,15
18,20,9
18,39,10
18,13,17
18,16,21
18,31,19
18,22,36
18,23,33
18,24,35
18,25,34
18,26,30
18,27,37
18,38,28
19,33,0
19,1,7
19,34,2
19,3,12
19,15,4
19,13,5
19,36,6
19,8,14
19,18,9
19,38,10
19,11,17
19,16,20
19,29,19
19,21,35
19,22,26
19,25,23
19,24,31
19,27,32
19,39,28
19,30,37
