43,MiaoAlgo,I_CIRC40_20,1,100
NrSuccesfullMatchings,263991,NrInfeasibleMatchings,94
Time,Value 
1260,3294
1230,3294
1200,3294
1170,3294
1140,3294
1110,3294
1080,3294
1050,3294
1020,3294
990,3294
960,3294
930,3294
900,3294
870,3294
360,3312
330,3330
300,3400
270,3400
240,3400
210,3400
180,3400
150,3400
120,3400
90,3400
60,3400
30,3400
0,4188
390,3312
420,3312
450,3312
480,3312
510,3312
540,3312
570,3312
600,3312
630,3312
660,3312
690,3312
720,3312
750,3312
780,3312
810,3294
840,3294
Final, 3294,1264

Round,H_team,A_team 
0,27,0
0,12,1
0,5,2
0,4,3
0,10,6
0,8,7
0,11,9
0,13,14
0,15,16
0,17,20
0,18,19
0,22,21
0,23,24
0,26,25
0,28,29
0,30,35
0,31,34
0,32,33
0,36,37
0,38,39
1,35,0
1,7,1
1,3,2
1,4,5
1,6,8
1,9,10
1,12,11
1,15,13
1,14,16
1,17,18
1,20,19
1,23,21
1,22,24
1,25,27
1,28,26
1,29,31
1,30,32
1,33,34
1,36,39
1,37,38
2,9,0
2,8,1
2,2,39
2,3,37
2,6,4
2,7,5
2,11,10
2,12,27
2,13,26
2,14,25
2,15,23
2,16,17
2,18,20
2,19,22
2,21,24
2,31,28
2,30,29
2,32,34
2,33,35
2,36,38
3,0,36
3,1,38
3,2,16
3,3,12
3,4,7
3,5,6
3,8,9
3,10,13
3,11,14
3,17,15
3,27,18
3,24,19
3,20,21
3,29,22
3,26,23
3,28,25
3,34,30
3,32,31
3,39,33
3,37,35
4,30,0
4,32,1
4,35,2
4,39,3
4,38,4
4,36,5
4,6,9
4,34,7
4,37,8
4,12,10
4,13,11
4,26,14
4,21,15
4,29,16
4,22,17
4,28,18
4,25,19
4,24,20
4,27,23
4,31,33
5,0,3
5,1,6
5,31,2
5,39,4
5,37,5
5,7,9
5,38,8
5,18,10
5,20,11
5,17,12
5,21,13
5,27,14
5,24,15
5,25,16
5,26,19
5,23,22
5,30,28
5,29,32
5,33,36
5,34,35
6,0,28
6,1,31
6,2,36
6,3,38
6,4,37
6,5,39
6,7,6
6,8,34
6,9,12
6,10,27
6,11,26
6,13,23
6,14,22
6,15,20
6,16,18
6,17,24
6,19,21
6,25,29
6,33,30
6,35,32
7,33,0
7,1,10
7,34,2
7,36,3
7,35,4
7,5,8
7,6,12
7,38,7
7,9,13
7,24,11
7,18,14
7,22,15
7,20,16
7,21,17
7,31,19
7,28,23
7,30,25
7,26,29
7,32,27
7,37,39
8,0,37
8,2,1
8,3,5
8,4,9
8,6,39
8,7,10
8,8,20
8,11,16
8,12,15
8,13,18
8,14,21
8,19,17
8,22,26
8,23,30
8,25,24
8,29,27
8,28,32
8,35,31
8,38,33
8,34,36
9,39,0
9,1,3
9,4,2
9,5,11
9,14,6
9,12,7
9,10,8
9,9,20
9,17,13
9,15,18
9,16,21
9,19,30
9,27,22
9,23,25
9,26,24
9,33,28
9,34,29
9,37,31
9,32,36
9,38,35
10,2,0
10,1,5
10,3,9
10,8,4
10,15,6
10,7,11
10,10,17
10,12,14
10,16,13
10,18,21
10,19,23
10,20,30
10,25,22
10,29,24
10,27,26
10,28,34
10,31,36
10,32,38
10,33,37
10,39,35
11,34,0
11,36,1
11,2,9
11,35,3
11,10,4
11,38,5
11,21,6
11,37,7
11,11,8
11,13,12
11,17,14
11,25,15
11,23,16
11,24,18
11,27,19
11,22,20
11,26,32
11,28,39
11,33,29
11,30,31
12,0,38
12,1,4
12,7,2
12,3,33
12,32,5
12,6,11
12,8,13
12,9,17
12,14,10
12,16,12
12,19,15
12,18,26
12,20,27
12,21,25
12,22,30
12,23,31
12,24,28
12,29,39
12,37,34
12,35,36
13,0,1
13,8,2
13,6,3
13,4,36
13,5,33
13,7,13
13,9,38
13,15,10
13,11,17
13,12,21
13,14,24
13,16,26
13,18,22
13,19,28
13,20,25
13,23,32
13,31,27
13,29,35
13,30,37
13,39,34
14,5,0
14,1,34
14,2,33
14,7,3
14,11,4
14,6,36
14,12,8
14,9,21
14,10,38
14,13,24
14,15,14
14,16,19
14,17,32
14,18,25
14,20,29
14,28,22
14,35,23
14,26,30
14,27,37
14,31,39
15,0,6
15,1,9
15,38,2
15,10,3
15,4,12
15,35,5
15,39,7
15,14,8
15,11,15
15,13,20
15,22,16
15,25,17
15,31,18
15,19,32
15,21,29
15,34,23
15,24,30
15,26,37
15,33,27
15,36,28
16,4,0
16,1,39
16,37,2
16,3,11
16,9,5
16,38,6
16,35,7
16,15,8
16,21,10
16,12,20
16,22,13
16,14,19
16,24,16
16,28,17
16,32,18
16,23,29
16,25,33
16,26,31
16,34,27
16,30,36
17,0,11
17,37,1
17,2,6
17,8,3
17,15,4
17,5,12
17,36,7
17,9,35
17,16,10
17,19,13
17,14,20
17,23,17
17,29,18
17,21,26
17,22,33
17,32,24
17,25,31
17,27,28
17,39,30
17,34,38
18,0,12
18,29,1
18,2,11
18,3,34
18,13,4
18,5,14
18,6,37
18,7,15
18,8,35
18,16,9
18,10,22
18,17,26
18,18,23
18,19,33
18,20,28
18,27,21
18,24,31
18,36,25
18,38,30
18,39,32
19,0,32
19,30,1
19,2,12
19,3,14
19,4,34
19,5,15
19,6,35
19,16,7
19,17,8
19,18,9
19,10,19
19,11,22
19,13,37
19,20,23
19,21,28
19,24,27
19,39,25
19,33,26
19,36,29
19,31,38
