44,MiaoAlgo,I_CIRC40_20,1,100
NrSuccesfullMatchings,144027,NrInfeasibleMatchings,51
Time,Value 
660,3124
630,3124
600,3124
570,3124
540,3124
510,3124
480,3124
450,3124
420,3124
390,3124
0,4156
30,3290
60,3232
90,3208
120,3164
150,3144
180,3138
210,3124
240,3124
270,3124
300,3124
330,3124
360,3124
Final, 3124,667

Round,H_team,A_team 
0,0,39
0,1,38
0,2,37
0,4,3
0,5,6
0,7,8
0,12,9
0,11,10
0,14,13
0,15,28
0,16,27
0,17,26
0,18,25
0,19,22
0,20,21
0,23,24
0,29,30
0,31,32
0,33,36
0,34,35
1,0,32
1,9,1
1,5,2
1,3,33
1,4,37
1,6,38
1,7,35
1,8,36
1,10,28
1,11,14
1,12,13
1,15,27
1,16,26
1,17,25
1,18,22
1,19,20
1,21,23
1,24,29
1,31,30
1,39,34
2,0,35
2,1,32
2,2,36
2,3,37
2,4,5
2,6,19
2,7,9
2,8,11
2,10,12
2,13,18
2,14,16
2,15,17
2,28,20
2,24,21
2,27,22
2,30,23
2,26,25
2,33,29
2,34,31
2,38,39
3,36,0
3,31,1
3,2,9
3,3,5
3,35,4
3,6,8
3,39,7
3,33,10
3,30,11
3,26,12
3,19,13
3,20,14
3,16,15
3,22,17
3,21,18
3,29,23
3,25,24
3,28,27
3,32,34
3,37,38
4,33,0
4,30,1
4,35,2
4,36,3
4,34,4
4,37,5
4,39,6
4,38,7
4,32,8
4,31,9
4,29,10
4,28,11
4,27,12
4,26,13
4,21,14
4,20,15
4,22,16
4,23,17
4,24,18
4,25,19
5,0,37
5,1,36
5,8,2
5,3,34
5,4,33
5,5,39
5,6,35
5,11,7
5,9,10
5,12,28
5,13,20
5,14,27
5,15,25
5,16,23
5,17,21
5,18,29
5,19,26
5,22,24
5,32,30
5,38,31
6,0,38
6,1,37
6,2,32
6,3,31
6,4,39
6,5,36
6,6,34
6,7,33
6,8,35
6,9,28
6,10,20
6,11,12
6,13,25
6,14,15
6,16,21
6,17,29
6,18,23
6,19,24
6,26,22
6,27,30
7,1,0
7,2,38
7,3,39
7,4,36
7,5,31
7,6,37
7,10,7
7,8,33
7,9,35
7,11,20
7,12,25
7,13,28
7,14,22
7,15,21
7,16,29
7,17,24
7,18,26
7,19,23
7,32,27
7,34,30
8,0,9
8,33,1
8,30,2
8,35,3
8,32,4
8,34,5
8,31,6
8,37,7
8,39,8
8,21,10
8,26,11
8,24,12
8,22,13
8,28,14
8,23,15
8,25,16
8,27,17
8,20,18
8,29,19
8,36,38
9,0,8
9,1,7
9,2,3
9,38,4
9,35,5
9,36,6
9,39,9
9,18,10
9,24,11
9,23,12
9,21,13
9,26,14
9,22,15
9,20,16
9,28,17
9,30,19
9,27,25
9,29,31
9,32,33
9,37,34
10,0,2
10,39,1
10,38,3
10,4,6
10,5,9
10,7,13
10,8,10
10,23,11
10,20,12
10,25,14
10,24,15
10,18,16
10,30,17
10,31,19
10,22,21
10,27,26
10,28,29
10,35,32
10,34,33
10,36,37
11,3,0
11,8,1
11,11,2
11,9,4
11,5,38
11,6,7
11,10,39
11,12,22
11,13,23
11,14,18
11,15,26
11,16,24
11,17,20
11,19,21
11,25,28
11,29,27
11,33,30
11,31,35
11,37,32
11,34,36
12,0,5
12,34,1
12,39,2
12,3,6
12,12,4
12,36,7
12,38,8
12,11,9
12,15,10
12,16,13
12,17,14
12,19,18
12,22,20
12,21,26
12,23,25
12,32,24
12,27,31
12,30,28
12,29,35
12,37,33
13,4,0
13,1,6
13,2,7
13,3,8
13,5,11
13,9,13
13,14,10
13,12,16
13,15,18
13,19,17
13,23,20
13,21,27
13,25,22
13,33,24
13,26,30
13,28,31
13,32,29
13,38,34
13,35,37
13,36,39
14,7,0
14,5,1
14,2,4
14,10,3
14,6,11
14,8,9
14,14,12
14,13,15
14,16,19
14,18,17
14,20,27
14,25,21
14,22,23
14,24,30
14,26,31
14,34,28
14,29,37
14,32,36
14,33,39
14,35,38
15,6,0
15,1,4
15,2,34
15,7,3
15,10,5
15,12,8
15,9,14
15,13,11
15,15,19
15,17,16
15,18,27
15,25,20
15,29,21
15,22,30
15,23,26
15,31,24
15,37,28
15,39,32
15,33,38
15,35,36
16,0,34
16,3,1
16,6,2
16,4,7
16,13,5
16,17,8
16,15,9
16,16,10
16,11,22
16,18,12
16,14,19
16,20,26
16,30,21
16,23,33
16,27,24
16,29,25
16,36,28
16,37,31
16,32,38
16,39,35
17,30,0
17,2,1
17,9,3
17,10,4
17,5,16
17,14,6
17,7,15
17,20,8
17,11,18
17,19,12
17,17,13
17,21,33
17,38,22
17,27,23
17,24,26
17,35,25
17,28,32
17,34,29
17,31,36
17,39,37
18,21,0
18,1,15
18,10,2
18,11,3
18,8,4
18,7,5
18,13,6
18,9,18
18,12,17
18,24,14
18,38,16
18,27,19
18,20,33
18,37,22
18,28,23
18,25,32
18,26,34
18,36,29
18,35,30
18,31,39
19,22,0
19,1,35
19,12,2
19,13,3
19,4,15
19,8,5
19,9,6
19,7,18
19,10,17
19,21,11
19,23,14
19,37,16
19,28,19
19,24,20
19,25,34
19,26,32
19,36,27
19,38,29
19,30,39
19,33,31
