49,MiaoAlgo,I_CIRC40_20,1,100
NrSuccesfullMatchings,258767,NrInfeasibleMatchings,68
Time,Value 
1290,2946
1260,2946
1230,2946
1200,2946
1170,2946
1140,2946
1110,2946
1080,2946
1050,2946
1020,2946
990,2946
960,2946
930,2946
900,2946
870,2946
360,2952
330,2952
300,2952
270,2954
240,2954
210,2954
180,2954
150,2954
120,2998
90,3008
60,3012
30,3012
0,4602
390,2952
420,2952
450,2952
480,2952
510,2952
540,2952
570,2952
600,2952
630,2952
660,2952
690,2948
720,2948
750,2948
780,2948
810,2946
840,2946
Final, 2946,1296

Round,H_team,A_team 
0,0,39
0,1,38
0,3,2
0,4,5
0,6,17
0,7,8
0,9,11
0,10,16
0,12,15
0,13,14
0,18,23
0,19,22
0,20,21
0,27,24
0,26,25
0,29,28
0,33,30
0,32,31
0,35,34
0,37,36
1,0,5
1,34,1
1,39,2
1,3,9
1,4,8
1,6,7
1,11,10
1,16,12
1,18,13
1,15,14
1,33,17
1,21,19
1,22,20
1,23,25
1,26,24
1,28,27
1,31,29
1,32,30
1,35,37
1,36,38
2,0,9
2,33,1
2,2,4
2,39,3
2,5,6
2,10,7
2,8,11
2,14,12
2,21,13
2,18,15
2,22,16
2,31,17
2,23,19
2,25,20
2,28,24
2,27,26
2,30,29
2,34,32
2,36,35
2,37,38
3,1,0
3,2,5
3,37,3
3,4,7
3,6,11
3,10,8
3,39,9
3,13,12
3,14,18
3,17,15
3,24,16
3,29,19
3,26,20
3,22,21
3,27,23
3,28,25
3,30,31
3,32,33
3,36,34
3,38,35
4,0,38
4,9,1
4,8,2
4,7,3
4,6,4
4,5,35
4,10,14
4,12,11
4,13,17
4,15,21
4,16,18
4,19,26
4,20,23
4,24,22
4,25,27
4,30,28
4,29,32
4,31,36
4,34,33
4,37,39
5,4,0
5,8,1
5,6,2
5,3,38
5,5,39
5,11,7
5,14,9
5,13,10
5,17,12
5,15,26
5,16,20
5,19,18
5,21,23
5,22,27
5,24,31
5,25,30
5,28,32
5,29,36
5,35,33
5,34,37
6,35,0
6,11,1
6,38,2
6,34,3
6,39,4
6,7,5
6,10,6
6,9,8
6,18,12
6,15,13
6,17,14
6,21,16
6,20,19
6,23,22
6,25,24
6,26,29
6,27,32
6,31,28
6,30,36
6,33,37
7,0,34
7,1,28
7,2,35
7,4,3
7,8,5
7,6,39
7,7,38
7,10,9
7,13,11
7,12,20
7,14,21
7,16,15
7,17,18
7,19,25
7,22,29
7,23,24
7,32,26
7,30,27
7,37,31
7,36,33
8,0,37
8,1,2
8,3,35
8,9,4
8,12,5
8,8,6
8,7,39
8,10,15
8,14,11
8,13,20
8,16,17
8,18,21
8,24,19
8,22,25
8,26,23
8,27,29
8,38,28
8,34,30
8,31,33
8,32,36
9,36,0
9,1,3
9,2,7
9,4,12
9,5,10
9,38,6
9,14,8
9,13,9
9,15,11
9,16,19
9,21,17
9,18,20
9,26,22
9,28,23
9,29,24
9,25,31
9,33,27
9,35,30
9,37,32
9,39,34
10,0,32
10,5,1
10,2,34
10,3,6
10,4,10
10,7,13
10,21,8
10,12,9
10,11,19
10,25,14
10,20,15
10,23,16
10,22,17
10,24,18
10,26,28
10,31,27
10,29,35
10,37,30
10,33,38
10,36,39
11,6,0
11,10,1
11,37,2
11,5,3
11,4,34
11,12,7
11,13,8
11,17,9
11,11,22
11,14,16
11,19,15
11,25,18
11,24,20
11,21,31
11,23,29
11,30,26
11,27,36
11,28,33
11,32,38
11,35,39
12,2,0
12,1,37
12,3,10
12,38,4
12,34,5
12,9,6
12,15,7
12,8,12
12,17,11
12,16,13
12,19,14
12,22,18
12,27,20
12,24,21
12,30,23
12,29,25
12,31,26
12,28,36
12,35,32
12,39,33
13,0,30
13,39,1
13,2,10
13,3,12
13,36,4
13,38,5
13,6,13
13,16,7
13,8,19
13,15,9
13,18,11
13,22,14
13,20,17
13,21,27
13,31,23
13,32,24
13,33,25
13,26,35
13,34,28
13,29,37
14,0,3
14,1,4
14,9,2
14,5,13
14,6,15
14,7,19
14,17,8
14,10,12
14,11,16
14,24,14
14,18,27
14,20,32
14,25,21
14,30,22
14,36,23
14,33,26
14,37,28
14,34,29
14,31,35
14,39,38
15,12,0
15,1,6
15,13,2
15,3,15
15,4,37
15,11,5
15,14,7
15,16,8
15,9,18
15,20,10
15,23,17
15,19,27
15,26,21
15,36,22
15,24,30
15,25,34
15,35,28
15,33,29
15,38,31
15,32,39
16,13,0
16,35,1
16,12,2
16,31,3
16,11,4
16,9,5
16,37,6
16,7,18
16,8,15
16,19,10
16,14,20
16,27,16
16,24,17
16,29,21
16,28,22
16,23,33
16,32,25
16,26,36
16,30,39
16,34,38
17,8,0
17,36,1
17,2,31
17,30,3
17,14,4
17,5,37
17,35,6
17,7,9
17,10,18
17,20,11
17,21,12
17,19,13
17,15,24
17,28,16
17,17,26
17,22,33
17,32,23
17,38,25
17,27,34
17,29,39
18,0,10
18,1,32
18,2,36
18,3,8
18,15,4
18,5,31
18,6,14
18,7,37
18,9,16
18,11,24
18,12,22
18,28,13
18,17,19
18,18,26
18,20,29
18,21,33
18,23,34
18,39,25
18,27,35
18,38,30
19,33,0
19,1,7
19,2,32
19,3,36
19,4,30
19,5,14
19,12,6
19,8,37
19,9,24
19,38,10
19,11,21
19,23,13
19,15,22
19,16,26
19,17,27
19,18,29
19,19,34
19,20,28
19,25,35
19,39,31
