50,MiaoAlgo,I_CIRC40_20,1,100
NrSuccesfullMatchings,161967,NrInfeasibleMatchings,11
Time,Value 
750,3458
720,3458
690,3458
660,3458
630,3458
600,3458
570,3458
540,3458
510,3458
480,3458
450,3458
420,3458
390,3458
0,4154
30,3498
60,3480
90,3480
120,3476
150,3474
180,3472
210,3472
240,3462
270,3460
300,3458
330,3458
360,3458
Final, 3458,772

Round,H_team,A_team 
0,0,2
0,37,1
0,36,3
0,35,4
0,34,5
0,33,6
0,32,7
0,31,8
0,30,9
0,29,10
0,28,11
0,27,12
0,26,13
0,25,14
0,16,15
0,24,17
0,19,18
0,21,20
0,23,22
0,38,39
1,0,10
1,38,1
1,3,2
1,37,4
1,5,6
1,36,7
1,8,15
1,39,9
1,29,11
1,26,12
1,25,13
1,14,16
1,22,17
1,21,18
1,20,19
1,24,23
1,28,27
1,30,31
1,33,32
1,34,35
2,7,0
2,1,31
2,10,2
2,3,38
2,4,32
2,5,36
2,6,34
2,9,8
2,12,11
2,13,30
2,14,29
2,15,28
2,16,23
2,17,19
2,18,27
2,20,25
2,21,26
2,22,24
2,35,33
2,39,37
3,0,33
3,1,39
3,2,31
3,3,37
3,4,34
3,5,38
3,6,32
3,9,7
3,10,8
3,11,21
3,12,30
3,13,29
3,14,28
3,15,23
3,16,26
3,17,27
3,18,24
3,19,25
3,20,22
3,36,35
4,0,9
4,30,1
4,2,5
4,39,3
4,38,4
4,36,6
4,7,8
4,15,10
4,22,11
4,28,12
4,16,13
4,17,14
4,29,18
4,27,19
4,24,20
4,23,21
4,26,25
4,31,33
4,32,35
4,34,37
5,0,5
5,32,1
5,38,2
5,33,3
5,36,4
5,35,6
5,37,7
5,8,14
5,9,10
5,23,11
5,31,12
5,13,15
5,22,16
5,21,17
5,28,18
5,26,19
5,27,20
5,25,24
5,30,29
5,34,39
6,3,0
6,1,34
6,2,35
6,4,39
6,9,5
6,7,6
6,11,8
6,10,36
6,12,15
6,13,23
6,14,21
6,17,16
6,18,25
6,19,22
6,20,26
6,24,28
6,27,29
6,33,30
6,32,31
6,38,37
7,4,0
7,1,35
7,2,34
7,10,3
7,5,37
7,6,38
7,7,39
7,12,8
7,11,9
7,13,36
7,14,23
7,15,21
7,16,24
7,17,25
7,18,26
7,19,30
7,20,32
7,22,27
7,28,31
7,29,33
8,0,1
8,39,2
8,35,3
8,5,4
8,37,6
8,38,7
8,8,13
8,9,12
8,10,11
8,20,14
8,26,15
8,21,16
8,28,17
8,22,18
8,24,19
8,25,23
8,33,27
8,29,31
8,30,32
8,36,34
9,38,0
9,1,2
9,32,3
9,8,4
9,39,5
9,6,9
9,34,7
9,12,10
9,16,11
9,18,13
9,22,14
9,27,15
9,30,17
9,31,19
9,23,20
9,25,21
9,26,24
9,29,28
9,33,36
9,35,37
10,0,36
10,7,1
10,2,37
10,3,31
10,4,33
10,10,5
10,6,39
10,8,35
10,9,38
10,11,14
10,12,16
10,13,22
10,17,15
10,18,20
10,19,23
10,21,24
10,25,27
10,26,29
10,30,28
10,34,32
11,31,0
11,1,8
11,36,2
11,3,7
11,4,6
11,12,5
11,9,16
11,22,10
11,15,11
11,14,13
11,20,17
11,23,18
11,21,19
11,24,27
11,29,25
11,28,26
11,34,30
11,32,38
11,33,37
11,35,39
12,39,0
12,6,1
12,2,33
12,5,3
12,7,4
12,8,16
12,19,9
12,10,21
12,11,13
12,17,12
12,18,14
12,15,24
12,20,28
12,25,22
12,23,29
12,26,32
12,27,31
12,35,30
12,38,34
12,37,36
13,34,0
13,4,1
13,2,32
13,3,6
13,5,33
13,7,10
13,8,38
13,9,37
13,11,18
13,12,21
13,13,24
13,14,15
13,16,20
13,17,23
13,19,29
13,22,26
13,28,25
13,30,27
13,31,35
13,39,36
14,0,32
14,1,36
14,2,30
14,4,3
14,5,7
14,6,8
14,14,9
14,10,38
14,11,24
14,13,12
14,15,20
14,18,16
14,17,26
14,19,28
14,21,22
14,23,27
14,35,25
14,29,34
14,37,31
14,39,33
15,37,0
15,3,1
15,4,2
15,8,5
15,10,6
15,7,11
15,15,9
15,12,22
15,20,13
15,14,26
15,16,19
15,18,17
15,21,28
15,31,23
15,24,29
15,33,25
15,27,34
15,36,30
15,32,39
15,38,35
16,0,35
16,1,33
16,6,2
16,8,3
16,10,4
16,5,11
16,16,7
16,17,9
16,20,12
16,21,13
16,19,14
16,18,15
16,22,29
16,28,23
16,32,24
16,25,34
16,26,27
16,37,30
16,31,39
16,36,38
17,0,6
17,1,5
17,2,8
17,3,18
17,9,4
17,15,7
17,16,10
17,11,17
17,25,12
17,19,13
17,24,14
17,35,20
17,27,21
17,34,22
17,23,26
17,28,37
17,29,32
17,30,39
17,31,36
17,38,33
18,24,0
18,1,20
18,2,18
18,9,3
18,11,4
18,35,5
18,6,16
18,7,17
18,39,8
18,13,10
18,23,12
18,27,14
18,15,19
18,29,21
18,37,22
18,25,38
18,26,30
18,33,28
18,34,31
18,32,36
19,23,0
19,11,1
19,7,2
19,3,20
19,4,18
19,5,16
19,6,15
19,8,17
19,13,9
19,14,10
19,12,19
19,30,21
19,39,22
19,24,38
19,32,25
19,31,26
19,27,35
19,36,28
19,37,29
19,33,34
