73,MiaoAlgo,I_CIRC40_20,1,100
NrSuccesfullMatchings,115838,NrInfeasibleMatchings,73
Time,Value 
510,3068
480,3068
450,3068
420,3068
390,3068
0,4182
30,3084
60,3082
90,3068
120,3068
150,3068
180,3068
210,3068
240,3068
270,3068
300,3068
330,3068
360,3068
Final, 3068,540

Round,H_team,A_team 
0,9,0
0,4,1
0,6,2
0,3,32
0,7,5
0,8,35
0,11,10
0,12,13
0,14,27
0,15,26
0,16,17
0,18,21
0,19,20
0,22,24
0,23,25
0,28,29
0,30,31
0,34,33
0,39,36
0,38,37
1,3,0
1,1,39
1,2,37
1,4,32
1,5,35
1,7,6
1,8,9
1,12,10
1,11,18
1,13,27
1,14,26
1,15,25
1,16,21
1,17,19
1,20,22
1,23,24
1,28,30
1,31,29
1,38,33
1,36,34
2,37,0
2,1,7
2,38,2
2,39,3
2,4,5
2,6,8
2,9,11
2,10,13
2,14,12
2,22,15
2,18,16
2,20,17
2,21,19
2,27,23
2,24,25
2,28,26
2,29,30
2,31,32
2,33,36
2,35,34
3,0,1
3,2,5
3,3,4
3,6,10
3,39,7
3,11,8
3,12,9
3,13,14
3,23,15
3,22,16
3,21,17
3,19,18
3,24,20
3,25,31
3,26,29
3,27,28
3,30,34
3,32,33
3,35,38
3,36,37
4,4,0
4,5,1
4,2,36
4,6,3
4,8,7
4,10,9
4,11,12
4,13,15
4,16,14
4,17,27
4,18,23
4,19,31
4,20,21
4,22,26
4,24,28
4,25,29
4,33,30
4,34,32
4,37,35
4,39,38
5,7,0
5,1,38
5,2,39
5,3,36
5,4,6
5,9,5
5,8,10
5,14,11
5,12,27
5,16,13
5,15,19
5,17,18
5,20,31
5,21,24
5,23,22
5,25,28
5,26,30
5,29,32
5,33,35
5,34,37
6,0,5
6,1,9
6,35,2
6,38,3
6,36,4
6,39,6
6,10,7
6,12,8
6,13,11
6,18,14
6,17,15
6,19,16
6,23,20
6,21,25
6,28,22
6,24,26
6,29,27
6,32,30
6,31,34
6,37,33
7,0,39
7,2,1
7,3,9
7,37,4
7,5,6
7,7,11
7,14,8
7,10,17
7,18,12
7,19,13
7,15,16
7,26,20
7,21,23
7,25,22
7,27,24
7,28,32
7,29,34
7,30,35
7,31,33
7,36,38
8,38,0
8,1,10
8,2,3
8,4,7
8,8,5
8,6,14
8,39,9
8,11,15
8,12,16
8,13,17
8,26,18
8,23,19
8,25,20
8,22,21
8,30,24
8,27,32
8,28,34
8,33,29
8,37,31
8,35,36
9,0,2
9,1,37
9,5,3
9,8,4
9,9,6
9,7,13
9,10,14
9,16,11
9,12,15
9,17,23
9,20,18
9,22,19
9,29,21
9,31,24
9,25,26
9,27,30
9,33,28
9,32,36
9,34,38
9,35,39
10,0,33
10,3,1
10,7,2
10,9,4
10,5,12
10,15,6
10,8,13
10,10,19
10,17,11
10,14,23
10,16,20
10,18,25
10,21,26
10,22,27
10,24,29
10,37,28
10,30,36
10,38,31
10,32,35
10,34,39
11,0,34
11,33,1
11,2,8
11,3,7
11,4,10
11,39,5
11,6,12
11,9,13
11,21,11
11,15,14
11,27,16
11,24,17
11,18,22
11,19,25
11,20,29
11,26,23
11,35,28
11,38,30
11,36,31
11,32,37
12,35,0
12,1,30
12,2,4
12,10,3
12,5,38
12,11,6
12,7,9
12,34,8
12,12,25
12,13,22
12,17,14
12,15,21
12,23,16
12,18,29
12,19,24
12,20,32
12,31,26
12,27,37
12,28,36
12,33,39
13,0,30
13,34,1
13,2,9
13,8,3
13,4,35
13,5,15
13,13,6
13,38,7
13,16,10
13,19,11
13,21,12
13,14,20
13,17,22
13,24,18
13,28,23
13,25,33
13,32,26
13,27,31
13,29,36
13,37,39
14,0,8
14,1,35
14,33,2
14,3,15
14,39,4
14,5,10
14,17,6
14,36,7
14,38,9
14,20,11
14,22,12
14,18,13
14,14,19
14,24,16
14,32,21
14,30,23
14,25,34
14,26,27
14,28,31
14,37,29
15,36,0
15,1,8
15,34,2
15,35,3
15,4,38
15,11,5
15,6,37
15,7,19
15,9,14
15,10,22
15,12,17
15,13,24
15,15,18
15,26,16
15,20,28
15,31,21
15,29,23
15,30,25
15,33,27
15,32,39
16,0,6
16,1,36
16,2,30
16,3,34
16,4,11
16,5,37
16,7,14
16,8,17
16,9,22
16,10,18
16,12,19
16,20,13
16,15,24
16,16,28
16,33,21
16,23,31
16,25,27
16,26,35
16,29,39
16,38,32
17,0,32
17,6,1
17,10,2
17,3,37
17,15,4
17,5,34
17,7,12
17,16,8
17,17,9
17,11,22
17,21,13
17,14,24
17,18,28
17,19,26
17,27,20
17,23,33
17,36,25
17,29,38
17,30,39
17,31,35
18,31,0
18,32,1
18,11,2
18,13,3
18,16,4
18,36,5
18,6,18
18,37,7
18,19,8
18,9,15
18,23,10
18,39,12
18,21,14
18,26,17
18,30,20
18,22,29
18,24,33
18,35,25
18,34,27
18,28,38
19,29,0
19,31,1
19,13,2
19,11,3
19,14,4
19,32,5
19,6,16
19,35,7
19,8,15
19,9,18
19,24,10
19,37,12
19,25,17
19,27,19
19,36,20
19,30,21
19,22,33
19,34,23
19,26,38
19,39,28
