74,MiaoAlgo,I_CIRC40_20,1,100
NrSuccesfullMatchings,164627,NrInfeasibleMatchings,308
Time,Value 
780,3474
750,3474
720,3474
690,3474
660,3474
630,3474
600,3474
570,3474
540,3474
510,3474
480,3474
450,3474
420,3474
390,3474
0,6076
30,3528
60,3528
90,3522
120,3522
150,3512
180,3502
210,3502
240,3490
270,3484
300,3480
330,3474
360,3474
Final, 3474,784

Round,H_team,A_team 
0,0,39
0,2,1
0,4,3
0,6,5
0,7,8
0,9,10
0,12,11
0,16,13
0,15,14
0,18,17
0,19,24
0,20,23
0,21,22
0,25,28
0,26,27
0,29,34
0,30,33
0,31,32
0,35,36
0,37,38
1,33,0
1,1,6
1,2,4
1,39,3
1,5,8
1,7,9
1,10,12
1,11,15
1,13,14
1,27,16
1,23,17
1,20,18
1,22,19
1,25,21
1,26,24
1,28,29
1,30,31
1,32,34
1,35,38
1,36,37
2,0,35
2,1,39
2,8,2
2,3,36
2,4,37
2,7,5
2,6,38
2,9,24
2,10,11
2,12,14
2,13,27
2,15,23
2,16,28
2,17,26
2,18,21
2,19,20
2,22,25
2,29,31
2,32,30
2,34,33
3,0,1
3,39,2
3,3,10
3,4,8
3,5,9
3,6,7
3,11,13
3,21,12
3,14,16
3,24,15
3,28,17
3,23,18
3,27,19
3,22,20
3,26,25
3,30,29
3,31,34
3,33,32
3,37,35
3,38,36
4,30,0
4,35,1
4,36,2
4,38,3
4,5,4
4,39,6
4,14,7
4,34,8
4,11,9
4,37,10
4,24,12
4,21,13
4,26,15
4,20,16
4,27,17
4,25,18
4,28,19
4,23,22
4,29,32
4,33,31
5,0,34
5,1,31
5,2,37
5,3,5
5,4,36
5,6,10
5,13,7
5,8,9
5,11,14
5,17,12
5,16,15
5,18,28
5,19,26
5,20,27
5,21,30
5,22,29
5,23,32
5,24,25
5,38,33
5,39,35
6,0,38
6,1,33
6,2,31
6,3,37
6,7,4
6,5,34
6,6,36
6,8,11
6,9,39
6,10,24
6,12,28
6,13,26
6,14,27
6,15,30
6,16,21
6,17,20
6,18,22
6,19,23
6,25,29
6,32,35
7,36,0
7,37,1
7,38,2
7,34,3
7,4,10
7,39,5
7,6,9
7,11,7
7,32,8
7,15,12
7,24,13
7,21,14
7,23,16
7,22,17
7,27,18
7,29,19
7,26,20
7,31,25
7,30,28
7,33,35
8,0,37
8,1,38
8,2,5
8,3,33
8,9,4
8,11,6
8,7,39
8,8,10
8,12,23
8,13,15
8,14,24
8,16,29
8,17,21
8,18,19
8,20,25
8,22,26
8,31,27
8,28,32
8,35,30
8,34,36
9,2,0
9,9,1
9,6,3
9,4,33
9,5,38
9,10,7
9,8,39
9,16,11
9,12,22
9,13,23
9,14,18
9,15,21
9,17,29
9,19,25
9,20,28
9,24,27
9,26,32
9,36,30
9,37,31
9,35,34
10,5,0
10,11,1
10,7,2
10,3,8
10,39,4
10,30,6
10,12,9
10,13,10
10,23,14
10,19,15
10,18,16
10,25,17
10,21,20
10,24,22
10,28,26
10,27,33
10,29,35
10,38,31
10,32,36
10,34,37
11,8,0
11,1,32
11,2,34
11,3,31
11,6,4
11,5,37
11,7,38
11,9,13
11,10,39
11,17,11
11,16,12
11,14,35
11,15,22
11,18,26
11,19,21
11,20,30
11,23,25
11,24,28
11,27,29
11,33,36
12,0,3
12,36,1
12,33,2
12,38,4
12,11,5
12,8,6
12,34,7
12,18,9
12,10,14
12,12,13
12,15,17
12,22,16
12,31,19
12,32,20
12,27,21
12,26,23
12,29,24
12,25,30
12,28,35
12,39,37
13,0,6
13,1,3
13,35,2
13,4,12
13,13,5
13,36,7
13,38,8
13,22,9
13,10,15
13,39,11
13,14,17
13,25,16
13,30,18
13,32,19
13,34,20
13,21,23
13,31,24
13,29,26
13,28,27
13,37,33
14,7,0
14,1,4
14,2,11
14,3,12
14,15,5
14,6,34
14,8,22
14,17,9
14,16,10
14,18,13
14,19,14
14,35,20
14,26,21
14,23,24
14,27,25
14,31,28
14,29,33
14,37,30
14,32,38
14,36,39
15,9,0
15,1,34
15,2,6
15,3,35
15,11,4
15,5,36
15,7,22
15,8,12
15,10,23
15,19,13
15,14,28
15,15,18
15,17,16
15,20,29
15,24,21
15,25,38
15,26,31
15,30,27
15,37,32
15,33,39
16,12,0
16,5,1
16,2,32
16,3,7
16,4,35
16,6,37
16,8,36
16,14,9
16,17,10
16,11,23
16,13,22
16,15,28
16,16,19
16,18,29
16,24,20
16,31,21
16,33,25
16,30,26
16,27,38
16,34,39
17,0,11
17,1,7
17,10,2
17,30,3
17,4,15
17,35,5
17,16,6
17,14,8
17,9,37
17,12,19
17,13,17
17,24,18
17,31,20
17,21,29
17,22,27
17,38,23
17,36,25
17,34,26
17,28,33
17,39,32
18,0,4
18,28,1
18,12,2
18,29,3
18,33,5
18,21,6
18,37,7
18,17,8
18,9,16
18,10,19
18,36,11
18,20,13
18,25,14
18,39,15
18,31,18
18,22,30
18,23,27
18,32,24
18,35,26
18,38,34
19,32,0
19,29,1
19,9,2
19,27,3
19,4,16
19,5,10
19,20,6
19,7,12
19,21,8
19,37,11
19,25,13
19,26,14
19,36,15
19,19,17
19,34,18
19,28,22
19,23,30
19,33,24
19,35,31
19,38,39
