80,MiaoAlgo,I_CIRC40_20,1,100
NrSuccesfullMatchings,116362,NrInfeasibleMatchings,85
Time,Value 
540,3192
510,3192
480,3192
450,3192
420,3192
390,3192
0,4248
30,3210
60,3198
90,3192
120,3192
150,3192
180,3192
210,3192
240,3192
270,3192
300,3192
330,3192
360,3192
Final, 3192,551

Round,H_team,A_team 
0,27,0
0,39,1
0,32,2
0,4,3
0,5,6
0,8,7
0,24,9
0,13,10
0,12,11
0,23,14
0,22,15
0,21,16
0,18,17
0,20,19
0,25,26
0,28,31
0,29,30
0,33,36
0,34,35
0,37,38
1,32,0
1,35,1
1,33,2
1,38,3
1,39,4
1,37,5
1,8,6
1,10,7
1,26,9
1,14,11
1,18,12
1,17,13
1,24,15
1,23,16
1,22,19
1,21,20
1,27,25
1,30,28
1,31,29
1,34,36
2,8,0
2,1,29
2,2,30
2,3,33
2,4,38
2,5,31
2,6,39
2,7,32
2,9,11
2,10,12
2,13,14
2,15,18
2,17,16
2,19,27
2,20,25
2,21,24
2,22,23
2,26,28
2,37,34
2,36,35
3,0,34
3,1,37
3,2,36
3,3,35
3,4,33
3,5,38
3,6,31
3,7,39
3,9,8
3,10,32
3,11,30
3,12,27
3,13,18
3,14,15
3,16,22
3,17,25
3,19,21
3,20,24
3,23,26
3,29,28
4,0,2
4,1,4
4,3,5
4,6,7
4,11,8
4,9,10
4,13,12
4,18,14
4,15,16
4,28,17
4,25,19
4,26,20
4,22,21
4,24,23
4,27,30
4,29,32
4,33,31
4,39,34
4,38,35
4,37,36
5,31,0
5,32,1
5,35,2
5,37,3
5,36,4
5,34,5
5,10,6
5,33,7
5,8,12
5,16,9
5,11,13
5,20,14
5,23,15
5,30,17
5,22,18
5,28,19
5,25,21
5,24,26
5,27,29
5,38,39
6,0,4
6,1,11
6,34,2
6,3,6
6,35,5
6,7,12
6,8,10
6,21,9
6,16,13
6,24,14
6,27,15
6,29,17
6,23,18
6,26,19
6,22,20
6,28,25
6,30,31
6,32,33
6,38,36
6,39,37
7,0,36
7,1,38
7,2,37
7,3,39
7,4,10
7,5,8
7,6,11
7,7,13
7,14,9
7,12,15
7,16,27
7,17,22
7,18,24
7,19,23
7,20,28
7,21,26
7,30,25
7,35,29
7,31,32
7,34,33
8,3,0
8,5,1
8,2,38
8,4,37
8,6,35
8,7,34
8,8,39
8,9,12
8,11,10
8,13,22
8,14,16
8,15,20
8,19,17
8,18,26
8,21,28
8,23,27
8,24,30
8,25,31
8,33,29
8,36,32
9,0,1
9,39,2
9,36,3
9,6,4
9,10,5
9,9,7
9,37,8
9,11,16
9,12,14
9,15,13
9,17,20
9,31,18
9,29,19
9,23,21
9,22,26
9,25,24
9,27,28
9,32,30
9,35,33
9,38,34
10,0,6
10,2,1
10,34,3
10,8,4
10,9,5
10,7,11
10,10,15
10,16,12
10,13,20
10,14,22
10,26,17
10,33,18
10,30,19
10,31,21
10,28,23
10,27,24
10,29,25
10,38,32
10,37,35
10,39,36
11,39,0
11,1,36
11,5,2
11,7,3
11,12,4
11,6,9
11,8,13
11,10,14
11,11,15
11,20,16
11,21,17
11,29,18
11,24,19
11,22,28
11,25,23
11,27,26
11,30,38
11,35,31
11,32,34
11,37,33
12,0,37
12,1,34
12,2,6
12,3,8
12,4,5
12,7,14
12,9,13
12,16,10
12,19,11
12,12,39
12,15,21
12,17,27
12,18,28
12,23,20
12,22,24
12,25,38
12,26,29
12,33,30
12,36,31
12,32,35
13,0,7
13,33,1
13,3,2
13,4,13
13,5,12
13,38,6
13,8,14
13,9,18
13,10,21
13,26,11
13,15,19
13,28,16
13,24,17
13,27,20
13,25,22
13,29,23
13,36,30
13,34,31
13,32,37
13,35,39
14,38,0
14,1,3
14,2,4
14,7,5
14,6,12
14,15,8
14,9,35
14,19,10
14,20,11
14,13,21
14,14,26
14,16,24
14,23,17
14,18,25
14,37,22
14,31,27
14,28,32
14,36,29
14,30,34
14,39,33
15,0,33
15,1,22
15,11,2
15,3,9
15,4,7
15,5,36
15,6,37
15,18,8
15,10,35
15,12,23
15,13,26
15,14,25
15,17,15
15,19,16
15,20,30
15,21,27
15,24,32
15,28,34
15,39,29
15,31,38
16,35,0
16,6,1
16,15,2
16,13,3
16,4,9
16,5,33
16,7,37
16,16,8
16,39,10
16,17,11
16,12,21
16,19,14
16,18,20
16,22,27
16,23,30
16,24,31
16,25,32
16,26,38
16,36,28
16,34,29
17,30,0
17,8,1
17,2,13
17,14,3
17,4,35
17,11,5
17,15,6
17,20,7
17,9,19
17,37,10
17,17,12
17,16,25
17,21,18
17,29,22
17,31,23
17,34,24
17,26,36
17,27,38
17,33,28
17,32,39
18,28,0
18,10,1
18,2,9
18,12,3
18,11,4
18,5,13
18,16,6
18,21,7
18,38,8
18,14,17
18,15,25
18,19,18
18,20,29
18,35,22
18,34,23
18,36,24
18,26,32
18,33,27
18,30,37
18,31,39
19,0,5
19,1,9
19,2,8
19,3,15
19,14,4
19,13,6
19,19,7
19,17,10
19,11,21
19,12,20
19,18,16
19,36,22
19,35,23
19,29,24
19,25,34
19,30,26
19,32,27
19,28,39
19,31,37
19,38,33
