98,MiaoAlgo,I_CIRC40_20,1,100
NrSuccesfullMatchings,132530,NrInfeasibleMatchings,36
Time,Value 
600,3216
570,3216
540,3216
510,3216
480,3216
450,3216
420,3216
390,3216
0,4266
30,3258
60,3238
90,3218
120,3218
150,3218
180,3216
210,3216
240,3216
270,3216
300,3216
330,3216
360,3216
Final, 3216,622

Round,H_team,A_team 
0,0,37
0,7,1
0,4,2
0,3,36
0,6,5
0,8,9
0,11,10
0,13,12
0,15,14
0,16,31
0,17,26
0,18,25
0,19,22
0,20,21
0,23,24
0,27,29
0,28,30
0,35,32
0,34,33
0,39,38
1,31,0
1,36,1
1,39,2
1,38,3
1,37,4
1,7,5
1,6,8
1,10,9
1,12,11
1,13,14
1,28,15
1,25,16
1,24,17
1,22,18
1,20,19
1,23,21
1,29,26
1,30,27
1,32,33
1,34,35
2,30,0
2,31,1
2,32,2
2,34,3
2,33,4
2,9,5
2,36,6
2,8,7
2,12,10
2,23,11
2,20,13
2,18,14
2,27,15
2,26,16
2,25,17
2,21,19
2,24,22
2,29,28
2,35,39
2,37,38
3,1,0
3,2,31
3,3,37
3,4,32
3,5,39
3,6,33
3,7,38
3,8,34
3,9,35
3,10,36
3,11,17
3,12,21
3,13,18
3,14,20
3,15,25
3,16,29
3,19,24
3,22,23
3,26,30
3,28,27
4,0,27
4,1,32
4,2,37
4,3,31
4,4,36
4,5,33
4,6,38
4,7,34
4,8,35
4,9,12
4,10,21
4,11,20
4,13,25
4,14,16
4,15,29
4,17,22
4,18,24
4,19,23
4,28,26
4,39,30
5,2,0
5,1,39
5,4,3
5,5,8
5,7,6
5,20,9
5,17,10
5,15,11
5,18,12
5,16,13
5,19,14
5,21,24
5,22,34
5,23,29
5,25,28
5,26,27
5,30,31
5,38,32
5,35,33
5,37,36
6,0,6
6,34,1
6,36,2
6,33,3
6,35,4
6,38,5
6,10,7
6,32,8
6,30,9
6,13,11
6,12,15
6,24,14
6,21,16
6,29,17
6,23,18
6,26,19
6,22,20
6,27,25
6,31,28
6,37,39
7,0,34
7,8,1
7,2,38
7,3,39
7,6,4
7,5,37
7,9,7
7,10,13
7,11,22
7,14,12
7,15,16
7,17,18
7,19,27
7,20,23
7,21,25
7,24,26
7,28,33
7,29,30
7,32,31
7,35,36
8,5,0
8,1,35
8,2,34
8,3,6
8,4,38
8,7,37
8,8,10
8,9,13
8,11,16
8,12,22
8,14,21
8,15,20
8,17,23
8,18,19
8,27,24
8,26,25
8,32,28
8,31,29
8,33,30
8,39,36
9,36,0
9,38,1
9,33,2
9,5,3
9,39,4
9,9,6
9,12,7
9,11,8
9,10,14
9,21,13
9,19,15
9,16,17
9,18,20
9,22,26
9,25,23
9,24,28
9,31,27
9,29,32
9,34,30
9,37,35
10,38,0
10,2,1
10,8,3
10,4,5
10,6,39
10,13,7
10,14,9
10,15,10
10,19,11
10,20,12
10,16,18
10,17,21
10,27,22
10,23,26
10,24,25
10,28,35
10,29,36
10,30,32
10,31,33
10,37,34
11,0,3
11,1,4
11,35,2
11,5,13
11,10,6
11,14,7
11,39,8
11,9,11
11,16,12
11,23,15
11,19,17
11,27,18
11,28,20
11,21,26
11,22,25
11,30,24
11,33,29
11,36,31
11,32,37
11,38,34
12,0,8
12,5,1
12,2,6
12,3,13
12,7,4
12,39,9
12,10,16
12,11,14
12,12,17
12,21,15
12,26,18
12,25,19
12,30,20
12,22,28
12,23,27
12,33,24
12,35,29
12,37,31
12,34,32
12,36,38
13,0,39
13,1,9
13,2,5
13,3,35
13,10,4
13,6,13
13,7,11
13,8,14
13,12,26
13,15,22
13,16,23
13,17,27
13,18,21
13,19,28
13,24,20
13,25,30
13,34,29
13,38,31
13,32,36
13,37,33
14,4,0
14,1,10
14,3,2
14,35,5
14,6,11
14,39,7
14,8,12
14,38,9
14,13,19
14,14,23
14,17,15
14,27,16
14,28,18
14,20,26
14,21,22
14,32,24
14,29,25
14,30,37
14,31,34
14,33,36
15,32,0
15,33,1
15,2,10
15,9,3
15,4,8
15,5,11
15,14,6
15,36,7
15,12,19
15,13,17
15,24,15
15,22,16
15,30,18
15,25,20
15,21,27
15,23,28
15,26,31
15,29,37
15,34,39
15,35,38
16,0,7
16,1,12
16,2,8
16,11,3
16,9,4
16,14,5
16,17,6
16,39,10
16,13,15
16,19,16
16,29,18
16,20,27
16,21,28
16,22,32
16,36,23
16,24,37
16,34,25
16,26,33
16,30,38
16,31,35
17,0,9
17,1,3
17,7,2
17,11,4
17,15,5
17,18,6
17,8,13
17,10,19
17,39,12
17,22,14
17,16,28
17,20,17
17,31,21
17,38,23
17,24,29
17,25,32
17,37,26
17,27,33
17,35,30
17,34,36
18,0,23
18,6,1
18,11,2
18,3,10
18,4,13
18,12,5
18,7,19
18,17,8
18,37,9
18,25,14
18,18,15
18,16,24
18,20,29
18,38,21
18,31,22
18,26,32
18,27,35
18,28,34
18,36,30
18,33,39
19,28,0
19,1,37
19,9,2
19,3,7
19,4,12
19,5,10
19,6,19
19,15,8
19,18,11
19,13,24
19,14,17
19,16,20
19,36,21
19,29,22
19,23,30
19,25,31
19,26,35
19,27,34
19,32,39
19,33,38
