0,MiaoAlgo,I_CIRC40_30,1,100
NrSuccesfullMatchings,207353,NrInfeasibleMatchings,4284
Time,Value 
1500,6158
1470,6158
1440,6158
1410,6158
1380,6158
1350,6158
1320,6158
1290,6158
1260,6158
1230,6158
1200,6158
1170,6158
1140,6158
1110,6158
1080,6158
1050,6158
1020,6158
990,6158
960,6158
930,6158
900,6158
870,6158
360,6190
330,6190
300,6190
270,6212
240,6212
210,6266
180,6266
150,6276
120,6276
90,6326
60,6398
30,6504
0,7474
390,6190
420,6190
450,6190
480,6186
510,6186
540,6186
570,6186
600,6186
630,6186
660,6186
690,6186
720,6186
750,6186
780,6184
810,6158
840,6158
Final, 6158,1518

Round,H_team,A_team 
0,39,0
0,2,1
0,3,4
0,5,6
0,16,7
0,9,8
0,13,10
0,12,11
0,15,14
0,18,17
0,24,19
0,23,20
0,22,21
0,25,30
0,26,27
0,28,29
0,31,32
0,34,33
0,35,36
0,38,37
1,2,0
1,4,1
1,6,3
1,7,5
1,10,8
1,11,9
1,19,12
1,14,13
1,18,15
1,17,16
1,20,22
1,21,23
1,25,24
1,29,26
1,27,28
1,30,31
1,32,34
1,33,35
1,36,38
1,37,39
2,0,1
2,2,4
2,39,3
2,8,5
2,6,7
2,13,9
2,11,10
2,14,12
2,15,16
2,17,19
2,18,22
2,21,20
2,23,24
2,27,25
2,26,28
2,31,29
2,32,30
2,38,33
2,34,35
2,36,37
3,37,0
3,1,39
3,3,2
3,4,6
3,9,5
3,7,8
3,10,14
3,16,11
3,12,13
3,20,15
3,22,17
3,19,18
3,24,21
3,27,23
3,25,26
3,28,31
3,29,32
3,30,34
3,33,36
3,35,38
4,0,3
4,7,1
4,6,2
4,5,4
4,8,13
4,9,15
4,10,18
4,14,11
4,12,16
4,21,17
4,22,19
4,24,20
4,25,23
4,26,31
4,29,27
4,28,30
4,35,32
4,37,33
4,34,38
4,36,39
5,7,0
5,1,36
5,2,37
5,3,5
5,4,35
5,8,6
5,9,10
5,11,13
5,15,12
5,17,14
5,16,22
5,18,24
5,19,21
5,20,25
5,23,26
5,33,27
5,32,28
5,30,29
5,31,34
5,38,39
6,0,38
6,1,5
6,39,2
6,8,3
6,4,37
6,6,9
6,11,7
6,12,10
6,13,15
6,16,14
6,17,24
