16,MiaoAlgo,I_CIRC40_30,1,100
NrSuccesfullMatchings,161957,NrInfeasibleMatchings,1230
Time,Value 
1050,6260
1020,6260
990,6260
960,6260
930,6260
900,6260
870,6260
360,6296
330,6296
300,6296
270,6310
240,6310
210,6310
180,6310
150,6312
120,6332
90,6378
60,6394
30,6512
0,7534
390,6282
420,6260
450,6260
480,6260
510,6260
540,6260
570,6260
600,6260
630,6260
660,6260
690,6260
720,6260
750,6260
780,6260
810,6260
840,6260
Final, 6260,1076

Round,H_team,A_team 
0,0,3
0,38,1
0,39,2
0,4,9
0,5,6
0,7,8
0,10,11
0,13,12
0,15,14
0,19,16
0,18,17
0,22,20
0,23,21
0,24,25
0,26,27
0,28,29
0,30,34
0,31,32
0,33,35
0,37,36
1,2,0
1,1,39
1,3,4
1,8,5
1,6,7
1,9,10
1,11,13
1,12,15
1,14,22
1,16,18
1,17,19
1,20,23
1,21,24
1,25,26
1,27,28
1,29,30
1,34,31
1,32,33
1,35,37
1,36,38
2,0,37
2,1,2
2,3,9
2,4,6
2,5,11
2,7,13
2,8,10
2,12,14
2,16,15
2,27,17
2,18,19
2,21,20
2,25,22
2,28,23
2,26,24
2,31,29
2,30,32
2,33,34
2,36,35
2,39,38
3,38,0
3,35,1
3,2,4
3,6,3
3,9,5
3,10,7
3,13,8
3,11,12
3,14,19
3,15,18
3,17,16
3,20,25
3,21,22
3,23,26
3,24,27
3,32,28
3,29,33
3,31,30
3,34,36
3,37,39
4,0,39
4,1,37
4,2,38
4,3,7
4,5,4
4,6,9
4,12,8
4,13,10
4,15,11
4,17,14
4,22,16
4,18,20
4,19,21
4,23,25
4,24,28
4,26,30
4,27,29
4,33,31
4,32,36
4,35,34
5,36,0
5,4,1
5,37,2
5,39,3
5,7,5
5,38,6
5,11,8
5,9,15
5,10,12
5,14,13
5,16,20
5,25,17
5,18,21
5,19,22
5,27,23
5,29,24
5,28,26
5,30,33
5,31,35
5,32,34
6,0,33
6,3,1
6,2,36
6,7,4
6,5,39
6,6,10
6,8,9
6,11,14
6,12,16
6,18,13
6,15,20
6,17,21
6,23,19
6,22,24
6,25,28
6,26,31
6,27,30
6,29,34
6,35,32
6,38,37
7,1,0
7,33,2
7,37,3
7,4,8
7,10,5
7,36,6
7,9,7
7,16,11
7,19,12
7,13,15
7,14,18
7,20,17
7,21,25
7,23,22
7,24,31
7,26,29
7,32,27
7,28,30
7,34,38
7,39,35
8,0,35
8,5,1
8,29,2
8,3,10
8,4,13
8,39,6
8,7,15
8,8,14
8,11,9
8,18,12
8,21,16
8,23,17
8,20,19
8,26,22
8,24,30
8,25,31
8,36,27
8,33,28
8,32,38
8,37,34
9,28,0
9,1,32
9,2,3
9,10,4
9,15,5
9,6,8
9,12,7
9,13,9
9,17,11
9,14,20
9,16,23
9,22,18
9,19,24
9,21,26
9,27,25
9,35,29
9,30,37
9,31,36
9,38,33
9,34,39
10,0,32
10,1,10
10,2,6
10,5,3
10,4,37
10,7,14
10,8,16
10,12,9
10,18,11
10,17,13
10,19,15
10,20,26
10,30,21
10,28,22
10,24,23
10,29,25
10,34,27
10,39,31
10,36,33
10,35,38
11,34,0
11,8,1
11,9,2
11,3,38
11,14,4
11,13,5
11,37,6
11,11,7
11,10,20
11,22,12
11,15,17
11,16,24
11,23,18
11,19,26
11,33,21
11,25,30
11,27,35
11,31,28
11,32,29
11,39,36
12,0,7
12,1,36
12,2,8
12,11,3
12,4,39
12,12,5
12,6,13
12,20,9
12,10,15
12,14,16
12,22,17
12,24,18
12,25,19
12,31,21
12,23,30
12,26,35
12,27,33
12,28,34
12,38,29
12,32,37
13,5,0
13,34,1
13,7,2
13,3,13
13,36,4
13,16,6
13,8,39
13,18,9
13,10,14
13,19,11
13,17,12
13,15,22
13,20,24
13,21,27
13,29,23
13,25,32
13,33,26
13,35,28
13,30,38
13,37,31
14,0,29
14,1,28
14,2,22
14,8,3
14,4,16
14,5,36
14,6,18
14,7,39
14,14,9
14,17,10
14,24,11
14,23,12
14,13,19
14,21,15
14,27,20
14,34,25
14,32,26
14,35,30
14,38,31
14,33,37
15,31,0
15,9,1
15,13,2
15,3,35
15,12,4
15,37,5
15,11,6
15,16,7
15,15,8
15,18,10
15,14,21
15,17,24
15,19,27
15,20,38
15,30,22
15,23,32
15,33,25
15,26,34
15,39,28
15,36,29
16,0,30
16,14,1
16,2,25
16,34,3
16,4,11
16,5,35
16,6,12
16,20,7
16,18,8
16,9,17
16,10,21
16,16,13
16,15,24
16,28,19
16,22,32
16,31,23
16,26,36
16,27,38
16,37,29
16,39,33
17,4,0
17,1,33
17,5,2
17,30,3
17,6,14
17,7,34
17,8,37
17,19,9
17,10,16
17,38,11
17,12,24
17,21,13
17,25,15
17,17,31
17,26,18
17,29,20
17,22,27
17,35,23
17,36,28
17,32,39
18,6,0
18,7,1
18,10,2
18,3,36
18,35,4
18,5,38
