2,MiaoAlgo,I_CIRC40_30,1,100
NrSuccesfullMatchings,169478,NrInfeasibleMatchings,3125
Time,Value 
1230,6348
1200,6348
1170,6348
1140,6348
1110,6348
1080,6348
1050,6348
1020,6348
990,6348
960,6348
930,6348
900,6348
870,6348
360,6392
330,6408
300,6408
270,6408
240,6408
210,6420
180,6446
150,6448
120,6448
90,6462
60,6522
30,6582
0,7810
390,6392
420,6380
450,6354
480,6354
510,6354
540,6348
570,6348
600,6348
630,6348
660,6348
690,6348
720,6348
750,6348
780,6348
810,6348
840,6348
Final, 6348,1259

Round,H_team,A_team 
0,0,35
0,1,34
0,3,2
0,4,5
0,14,6
0,12,7
0,9,8
0,11,10
0,15,13
0,17,16
0,18,31
0,19,30
0,20,29
0,21,28
0,22,27
0,23,24
0,25,26
0,33,32
0,37,36
0,39,38
1,38,0
1,2,1
1,5,3
1,6,4
1,7,9
1,8,11
1,10,12
1,13,14
1,17,15
1,18,16
1,31,19
1,30,20
1,29,21
1,32,22
1,28,23
1,26,24
1,27,25
1,34,33
1,35,37
1,36,39
2,0,36
2,1,38
2,2,13
2,3,4
2,5,8
2,6,15
2,7,11
2,9,12
2,10,14
2,19,16
2,17,18
2,31,20
2,21,23
2,39,22
2,24,25
2,32,26
2,30,27
2,29,28
2,35,33
2,37,34
3,27,0
3,36,1
3,4,2
3,15,3
3,12,5
3,13,6
3,8,7
3,11,9
3,16,10
3,14,17
3,18,19
3,20,21
3,22,24
3,23,31
3,25,30
3,26,29
3,28,32
3,33,39
3,34,35
3,38,37
4,0,28
4,1,4
4,2,39
4,3,37
4,5,11
4,7,6
4,8,10
4,9,14
4,12,13
4,15,16
4,17,24
4,21,18
4,19,20
4,22,31
4,23,25
4,26,27
4,29,30
4,34,32
4,36,33
4,38,35
5,39,0
5,1,3
5,9,2
5,4,11
5,6,5
5,10,7
5,13,8
5,16,12
5,14,19
5,18,15
5,20,17
5,24,21
5,25,22
5,27,23
5,28,26
5,31,29
5,30,34
5,32,37
5,33,38
5,35,36
6,0,1
6,5,2
6,3,39
6,7,4
6,6,8
6,9,10
6,11,13
6,12,15
6,16,14
6,19,17
6,22,18
6,23,20
6,21,25
6,24,27
6,37,26
6,30,28
6,29,34
6,33,31
6,35,32
6,38,36
7,2,0
7,1,7
7,8,3
7,4,9
7,36,5
7,10,6
7,15,11
7,14,12
7,13,16
7,17,21
7,18,24
7,25,19
7,20,22
7,26,23
7,27,29
7,28,33
7,32,30
7,31,35
7,34,38
7,39,37
8,0,37
8,39,1
8,2,7
8,3,9
8,34,4
8,35,5
8,11,6
8,8,16
8,13,10
8,12,17
8,14,18
8,15,21
8,26,19
8,20,24
8,23,22
8,25,29
8,28,27
8,33,30
8,31,38
8,36,32
9,4,0
9,1,8
9,38,2
9,7,3
9,5,39
9,6,9
9,10,15
9,11,12
9,17,13
9,21,14
9,16,25
9,18,20
9,19,23
9,22,26
9,24,28
9,27,34
9,29,36
9,30,35
9,32,31
9,37,33
10,0,8
10,1,37
10,2,11
10,3,38
10,39,4
10,5,7
10,6,16
10,9,15
10,10,17
10,12,22
10,13,20
10,24,14
10,18,23
10,19,21
10,25,34
10,33,26
10,27,32
10,28,36
10,35,29
10,30,31
11,7,0
11,11,1
11,37,2
11,3,6
11,4,10
11,14,5
11,8,12
11,17,9
11,13,18
11,15,19
11,16,24
11,20,25
11,21,27
11,22,28
11,23,32
11,26,35
11,29,33
11,38,30
11,31,36
11,34,39
12,0,3
12,1,5
12,2,14
12,4,38
12,6,12
12,39,7
12,8,19
12,13,9
12,10,18
12,16,11
12,15,24
12,23,17
12,27,20
12,33,21
12,30,22
12,25,32
12,31,26
12,28,35
12,37,29
12,36,34
13,32,0
13,9,1
13,15,2
13,3,36
13,12,4
13,5,10
13,38,6
13,7,37
13,14,8
13,11,19
13,22,13
13,21,16
13,17,27
13,18,25
13,20,28
13,29,23
13,24,33
13,26,30
13,34,31
13,35,39
14,0,34
14,12,1
14,2,35
14,10,3
14,8,4
14,9,5
14,37,6
14,36,7
14,18,11
14,26,13
14,14,15
14,20,16
14,17,25
14,19,28
14,22,21
14,23,30
14,29,24
14,27,33
14,31,39
14,38,32
15,33,0
15,1,10
15,6,2
15,11,3
15,4,36
15,13,5
15,38,7
15,37,8
15,16,9
15,18,12
15,25,14
15,15,20
15,28,17
15,19,22
15,21,26
15,34,23
15,24,31
15,35,27
15,32,29
15,30,39
16,25,0
16,1,6
16,12,2
16,3,33
16,13,4
16,16,5
16,7,15
16,36,8
16,20,9
16,39,10
16,14,11
16,32,17
