43,MiaoAlgo,I_CIRC40_30,1,100
NrSuccesfullMatchings,103456,NrInfeasibleMatchings,26446
Time,Value 
930,6358
900,6358
870,6358
360,6358
330,6358
300,6358
270,6358
240,6358
210,6366
180,6372
150,6372
120,6372
90,6446
60,6530
30,6814
0,7646
390,6358
420,6358
450,6358
480,6358
510,6358
540,6358
570,6358
600,6358
630,6358
660,6358
690,6358
720,6358
750,6358
780,6358
810,6358
840,6358
Final, 6358,953

Round,H_team,A_team 
0,0,26
0,2,1
0,3,39
0,4,19
0,5,6
0,7,12
0,8,11
0,9,10
0,13,15
0,14,18
0,16,17
0,20,21
0,23,22
0,25,24
0,28,27
0,38,29
0,32,30
0,35,31
0,34,33
0,37,36
1,30,0
1,1,3
1,39,2
1,6,4
1,19,5
1,10,7
1,12,8
1,11,9
1,17,13
1,15,14
1,18,16
1,22,20
1,21,25
1,24,23
1,27,26
1,29,28
1,31,32
1,33,35
1,34,37
1,36,38
2,0,1
2,2,7
2,3,4
2,5,11
2,6,9
2,8,10
2,12,19
2,13,14
2,15,16
2,17,18
2,26,20
2,23,21
2,24,22
2,28,25
2,32,27
2,29,30
2,33,31
2,39,34
2,36,35
2,38,37
3,37,0
3,1,39
3,4,2
3,11,3
3,7,5
3,10,6
3,9,8
3,14,12
3,16,13
3,18,15
3,19,17
3,20,23
3,21,24
3,22,34
3,25,32
3,26,28
3,27,29
3,30,33
3,31,36
3,35,38
4,0,39
4,38,1
4,6,2
4,9,3
4,5,4
4,8,7
4,10,11
4,13,12
4,16,14
4,15,17
4,18,23
4,19,20
4,21,22
4,29,24
4,25,26
4,31,27
4,30,28
4,34,32
4,36,33
4,37,35
5,2,0
5,1,36
5,3,5
5,4,10
5,8,6
5,7,9
5,11,13
5,12,15
5,14,19
5,24,16
5,17,23
5,20,18
5,26,21
5,22,25
5,27,30
5,28,31
5,32,29
5,33,37
5,35,34
5,39,38
6,0,38
6,1,33
6,2,5
6,3,8
6,4,9
6,6,7
6,10,13
6,11,15
6,12,22
6,14,17
6,16,19
6,21,18
6,20,24
6,23,26
6,25,27
6,34,28
6,36,29
6,30,31
6,37,32
6,39,35
7,28,0
7,35,1
7,9,2
7,38,3
7,7,4
7,5,8
7,13,6
7,15,10
7,17,11
7,18,12
7,24,14
7,23,16
7,19,22
7,25,20
7,27,21
7,26,30
7,29,37
7,31,34
7,32,36
7,33,39
8,0,36
8,1,8
8,2,3
8,11,4
8,10,5
8,14,6
8,7,15
8,9,13
8,16,12
8,17,22
8,19,18
8,27,20
8,29,21
8,23,25
8,26,24
8,35,28
8,30,34
8,31,37
8,32,39
8,38,33
9,0,35
9,4,1
9,37,2
9,3,7
9,5,9
9,6,11
9,8,14
9,12,10
9,13,19
9,15,23
9,20,16
9,21,17
9,18,26
9,22,29
9,24,27
9,25,30
9,36,28
9,39,31
9,33,32
9,34,38
10,0,5
10,1,7
10,2,11
10,3,37
10,4,8
10,6,39
10,12,9
10,14,10
10,13,21
10,15,19
10,22,16
10,17,20
10,24,18
10,23,27
10,35,25
10,26,33
10,32,28
10,29,34
10,30,36
10,31,38
11,7,0
11,5,1
11,36,2
11,10,3
11,39,4
11,16,6
11,8,13
11,9,17
11,11,12
11,21,14
11,20,15
11,18,22
11,19,26
11,28,23
11,24,31
11,34,25
11,27,35
11,33,29
11,37,30
11,38,32
12,0,4
12,1,37
12,2,32
12,3,13
12,12,5
12,15,6
12,18,7
12,8,38
12,9,19
12,17,10
12,20,11
12,22,14
12,16,21
12,30,23
12,28,24
12,25,33
12,26,35
12,27,34
12,31,29
12,39,36
13,34,0
13,6,1
13,38,2
13,36,3
13,4,12
13,5,15
13,7,17
13,19,8
13,14,9
13,10,16
13,11,18
13,13,20
13,21,28
13,26,22
13,29,23
13,32,24
13,25,31
13,33,27
13,35,30
13,37,39
14,33,0
14,1,34
14,10,2
14,6,3
14,4,37
14,39,5
14,7,14
14,17,8
14,15,9
14,16,11
14,12,20
14,13,18
14,19,21
14,28,22
14,23,31
14,24,30
14,29,25
14,26,36
14,38,27
14,32,35
15,3,0
15,9,1
15,2,12
15,36,4
15,5,37
15,38,6
15,11,7
15,16,8
15,10,18
15,22,13
15,14,23
15,21,15
15,27,17
15,25,19
15,20,32
15,34,24
15,31,26
15,28,33
15,35,29
15,30,39
16,0,31
16,11,1
16,8,2
16,3,35
16,34,4
16,5,38
16,6,12
16,7,37
16,9,16
16,21,10
16,13,23
16,14,20
16,15,22
16,25,17
16,18,32
16,30,19
16,24,33
16,29,26
16,36,27
16,28,39
17,6,0
17,12,1
17,35,2
17,33,3
17,4,14
17,32,5
17,13,7
17,39,8
17,23,9
17,10,38
17,19,11
17,26,15
17,16,25
17,17,24
17,27,18
17,20,29
17,31,21
17,22,30
17,37,28
17,36,34
18,8,0
18,1,32
18,2,34
18,31,3
18,4,38
18,5,13
18,35,6
18,16,7
18,20,9
18,10,25
18,11,14
18,23,12
18,30,15
18,28,17
18,29,18
18,19,24
18,33,21
18,22,36
18,39,26
18,27,37
19,9,0
19,31,1
19,30,2
19,34,3
19,13,4
19,14,5
19,6,33
19,7,39
19,18,8
19,36,10
19,38,11
19,17,12
19,15,29
19,26,16
19,23,19
19,28,20
19,32,21
19,27,22
19,24,35
19,25,37
20,0,11
20,1,13
20,2,31
20,3,14
20,17,4
20,5,36
20,6,18
20,7,33
20,21,8
20,37,9
20,10,39
20,12,29
20,24,15
20,28,16
20,19,27
20,30,20
20,22,35
20,32,23
20,38,25
20,26,34
21,0,13
21,24,1
21,2,17
21,12,3
21,15,4
21,34,5
21,37,6
21,38,7
21,8,36
21,9,33
21,20,10
21,11,26
21,14,27
21,31,16
21,18,28
21,29,19
21,21,30
21,22,32
21,23,35
21,39,25
22,32,0
22,27,1
22,15,2
22,3,17
22,4,29
22,33,5
22,34,6
22,35,7
22,8,20
22,18,9
22,22,10
22,21,11
22,12,26
22,39,13
22,31,14
22,16,30
22,19,28
22,23,38
22,37,24
22,36,25
23,27,0
23,29,1
23,13,2
23,3,26
23,4,16
23,5,17
23,32,6
23,7,36
