69,MiaoAlgo,I_CIRC40_30,1,100
NrSuccesfullMatchings,155213,NrInfeasibleMatchings,376
Time,Value 
1080,6584
1050,6584
1020,6584
990,6584
960,6584
930,6584
900,6584
870,6584
360,6596
330,6596
300,6596
270,6596
240,6596
210,6596
180,6622
150,6628
120,6642
90,6642
60,6642
30,6718
0,7950
390,6584
420,6584
450,6584
480,6584
510,6584
540,6584
570,6584
600,6584
630,6584
660,6584
690,6584
720,6584
750,6584
780,6584
810,6584
840,6584
Final, 6584,1087

Round,H_team,A_team 
0,0,32
0,1,33
0,2,3
0,7,4
0,6,5
0,8,9
0,10,11
0,12,23
0,13,22
0,14,17
0,15,16
0,18,20
0,19,21
0,24,25
0,26,27
0,31,28
0,30,29
0,37,34
0,36,35
0,39,38
1,39,0
1,2,1
1,3,7
1,4,5
1,6,8
1,11,9
1,22,10
1,16,12
1,17,13
1,21,14
1,18,15
1,20,19
1,23,24
1,27,25
1,28,26
1,29,33
1,30,31
1,32,35
1,34,36
1,38,37
2,0,14
2,1,15
2,2,16
2,3,5
2,4,6
2,7,13
2,8,11
2,9,12
2,35,10
2,20,17
2,26,18
2,22,19
2,31,21
2,32,23
2,28,24
2,29,25
2,30,27
2,34,33
2,38,36
2,39,37
3,15,0
3,14,1
3,10,2
3,18,3
3,11,4
3,5,39
3,13,6
3,17,7
3,12,8
3,16,9
3,19,32
3,20,22
3,21,34
3,23,35
3,24,31
3,25,28
3,26,30
3,27,29
3,33,38
3,37,36
4,0,4
4,1,13
4,39,2
4,3,8
4,5,7
4,6,9
4,10,16
4,11,12
4,15,14
4,17,18
4,28,19
4,21,20
4,32,22
4,27,23
4,29,24
4,26,25
4,33,30
4,36,31
4,34,38
4,37,35
5,2,0
5,4,1
5,3,39
5,8,5
5,7,6
5,9,10
5,14,11
5,13,12
5,17,15
5,18,16
5,19,29
5,25,20
5,22,21
5,23,26
5,24,27
5,30,28
5,31,34
5,36,32
5,37,33
5,38,35
6,0,38
6,1,37
6,36,2
6,4,3
6,5,16
6,6,10
6,7,11
6,8,13
6,9,17
6,12,15
6,14,18
6,33,19
6,29,20
6,27,21
6,23,22
6,26,24
6,30,25
6,34,28
6,35,31
6,39,32
7,37,0
7,3,1
7,38,2
7,13,4
7,10,5
7,11,6
7,7,8
7,15,9
7,17,12
7,16,14
7,19,18
7,20,23
7,21,26
7,22,27
7,24,35
7,25,39
7,28,29
7,30,36
7,31,33
7,32,34
8,0,8
8,1,38
8,2,37
8,3,10
8,39,4
8,5,13
8,36,6
8,9,7
8,11,15
8,18,12
8,19,14
8,16,17
8,20,26
8,21,23
8,25,22
8,34,24
8,28,27
8,29,31
8,35,30
8,33,32
9,10,0
9,5,1
9,4,2
9,38,3
9,6,39
9,7,36
9,8,16
9,14,9
9,13,11
9,12,19
9,15,20
9,17,21
9,22,18
9,23,25
9,24,33
9,26,29
9,31,27
9,32,28
9,37,30
9,35,34
10,0,3
10,1,39
10,5,2
10,4,36
10,38,6
10,7,16
10,8,14
10,9,13
10,10,12
10,17,11
10,22,15
10,21,18
10,25,19
10,24,20
10,29,23
10,26,31
10,27,33
10,35,28
10,30,34
10,32,37
11,34,0
11,6,1
11,2,8
11,3,9
11,14,4
11,11,5
11,12,7
11,13,10
11,15,26
11,16,22
11,19,17
11,18,24
11,20,27
11,25,21
11,23,30
11,28,38
11,37,29
11,31,32
11,33,35
11,36,39
12,0,6
12,8,1
12,7,2
12,37,3
12,4,34
12,5,9
12,10,15
