8,MiaoAlgo,I_CIRC40_30,1,100
NrSuccesfullMatchings,168014,NrInfeasibleMatchings,56817
Time,Value 
1740,6182
1710,6182
1680,6182
1650,6182
1620,6182
1590,6182
1560,6182
1530,6182
1500,6182
1470,6182
1440,6182
1410,6182
1380,6182
1350,6182
1320,6182
1290,6182
1260,6182
1230,6182
1200,6182
1170,6182
1140,6182
1110,6182
1080,6182
1050,6182
1020,6182
990,6182
960,6186
930,6186
900,6186
870,6186
360,6320
330,6320
300,6320
270,6320
240,6320
210,6320
180,6352
150,6378
120,6400
90,6432
60,6496
30,6568
0,7580
390,6306
420,6286
450,6286
480,6266
510,6262
540,6254
570,6250
600,6196
630,6196
660,6186
690,6186
720,6186
750,6186
780,6186
810,6186
840,6186
Final, 6182,1770

Round,H_team,A_team 
0,0,39
0,2,1
0,3,6
0,4,5
0,8,7
0,9,18
0,10,15
0,11,12
0,13,14
0,16,17
0,27,19
0,21,20
0,23,22
0,25,24
0,30,26
0,29,28
0,32,31
0,34,33
0,35,36
0,38,37
1,1,0
1,6,2
1,5,3
1,7,4
1,12,8
1,10,9
1,14,11
1,15,13
1,19,16
1,17,18
1,20,27
1,22,21
1,23,25
1,24,29
1,26,28
1,31,30
1,33,32
1,36,34
1,37,35
1,39,38
2,0,34
2,3,1
2,2,5
2,4,6
2,7,9
2,11,8
2,10,12
2,16,13
2,15,14
2,19,17
2,18,20
2,21,23
2,22,24
2,26,25
2,28,27
2,29,31
2,30,32
2,33,35
2,38,36
2,39,37
3,5,0
3,1,38
3,37,2
3,3,4
3,6,7
3,8,10
3,9,11
3,12,15
3,13,18
3,14,16
3,17,21
3,20,19
3,25,22
3,23,24
3,27,26
3,31,28
3,32,29
3,33,30
3,34,35
3,36,39
4,0,29
4,1,31
4,2,30
4,3,38
4,4,34
4,5,7
4,6,10
4,8,9
4,11,15
4,12,18
4,13,19
4,14,17
4,16,21
4,22,20
4,26,23
4,24,28
4,27,25
4,35,32
4,39,33
4,37,36
5,38,0
5,34,1
5,31,2
5,7,3
5,36,4
5,10,5
5,9,6
5,15,8
5,19,11
5,20,12
5,17,13
5,25,14
5,18,16
5,21,24
5,28,22
5,23,27
5,29,26
5,30,35
5,32,39
5,33,37
6,0,36
6,1,39
6,2,3
6,4,10
6,5,15
6,6,8
6,7,13
6,9,16
6,11,17
6,21,12
6,24,14
6,18,19
6,20,23
6,27,22
6,28,25
6,32,26
6,30,29
6,31,35
6,38,33
6,37,34
7,3,0
7,36,1
7,39,2
7,15,4
7,8,5
7,18,6
7,16,7
7,12,9
7,14,10
7,13,11
7,17,20
7,19,21
7,22,37
7,23,28
7,26,24
7,25,30
7,29,27
7,33,31
7,34,32
7,35,38
8,0,7
8,35,1
8,38,2
8,37,3
8,8,4
8,6,5
8,9,13
8,10,11
8,16,12
8,19,14
8,15,17
8,23,18
8,20,24
8,25,21
8,22,26
8,31,27
8,28,30
8,29,33
8,32,36
8,34,39
9,4,0
9,1,37
9,2,7
9,3,8
9,5,38
9,12,6
9,14,9
9,13,10
9,11,16
9,20,15
9,17,23
9,27,18
9,24,19
9,21,26
9,22,29
9,32,25
9,28,35
9,30,34
9,39,31
9,33,36
10,0,35
10,8,1
10,2,4
10,39,3
10,9,5
10,14,6
10,7,11
10,21,10
10,12,13
10,15,16
10,17,22
10,24,18
10,23,19
10,25,20
10,34,26
10,27,30
10,33,28
10,29,36
10,38,31
10,37,32
11,6,0
11,1,33
11,11,2
11,3,9
11,4,37
11,5,12
11,10,7
11,13,8
11,22,14
11,19,15
