86,MiaoAlgo,I_CIRC40_30,1,100
NrSuccesfullMatchings,193940,NrInfeasibleMatchings,1963
Time,Value 
1320,6396
1290,6396
1260,6396
1230,6396
1200,6396
1170,6396
1140,6396
1110,6396
1080,6396
1050,6396
1020,6396
990,6396
960,6396
930,6396
900,6396
870,6396
360,6412
330,6412
300,6414
270,6414
240,6420
210,6420
180,6420
150,6420
120,6438
90,6468
60,6490
30,6576
0,7858
390,6412
420,6412
450,6412
480,6412
510,6412
540,6404
570,6404
600,6404
630,6404
660,6396
690,6396
720,6396
750,6396
780,6396
810,6396
840,6396
Final, 6396,1329

Round,H_team,A_team 
0,0,9
0,1,4
0,2,5
0,36,3
0,6,7
0,39,8
0,35,10
0,12,11
0,18,13
0,17,14
0,16,15
0,20,19
0,23,21
0,26,22
0,25,24
0,27,28
0,30,29
0,34,31
0,33,32
0,37,38
1,7,0
1,9,1
1,4,2
1,3,37
1,5,39
1,8,6
1,10,11
1,13,12
1,14,16
1,15,18
1,17,20
1,19,27
1,21,25
1,22,23
1,24,26
1,28,30
1,29,35
1,31,33
1,32,34
1,38,36
2,0,38
2,1,37
2,2,39
2,3,10
2,4,18
2,5,7
2,6,12
2,8,13
2,9,14
2,11,16
2,15,17
2,22,19
2,20,21
2,34,23
2,28,24
2,27,25
2,30,26
2,33,29
2,32,31
2,36,35
3,39,0
3,38,1
3,10,2
3,18,3
3,7,4
3,14,5
3,16,6
3,12,8
3,13,9
3,17,11
3,19,15
3,22,20
3,21,33
3,23,27
3,24,29
3,25,32
3,26,28
3,31,30
3,35,34
3,37,36
4,0,37
4,1,36
4,2,3
4,5,4
4,10,6
4,9,7
4,11,8
4,12,16
4,14,13
4,20,15
4,17,18
4,23,19
4,21,22
4,24,27
4,25,26
4,29,28
4,32,30
4,31,35
4,33,34
4,38,39
5,4,0
5,39,1
5,6,2
5,3,5
5,7,10
5,8,9
5,11,14
5,15,12
5,13,17
5,16,18
5,19,21
5,27,20
5,25,22
5,26,23
