99,MiaoAlgo,I_CIRC40_30,1,100
NrSuccesfullMatchings,205832,NrInfeasibleMatchings,497
Time,Value 
1350,6328
1320,6328
1290,6328
1260,6328
1230,6328
1200,6328
1170,6328
1140,6328
1110,6328
1080,6328
1050,6328
1020,6328
990,6328
960,6328
930,6328
900,6328
870,6328
360,6512
330,6512
300,6512
270,6512
240,6512
210,6512
180,6512
150,6512
120,6512
90,6512
60,6512
30,6518
0,7506
390,6512
420,6512
450,6480
480,6480
510,6480
540,6460
570,6432
600,6416
630,6340
660,6340
690,6338
720,6328
750,6328
780,6328
810,6328
840,6328
Final, 6328,1364

Round,H_team,A_team 
0,0,1
0,39,2
0,3,6
0,4,5
0,8,7
0,20,9
0,17,10
0,14,11
0,13,12
0,16,15
0,19,18
0,21,34
0,22,33
0,23,32
0,24,25
0,26,31
0,27,28
0,29,30
0,38,35
0,37,36
1,2,0
1,1,4
1,5,3
1,6,8
1,7,19
1,9,21
1,10,13
1,11,16
1,12,14
1,15,17
1,18,20
1,34,22
1,28,23
1,31,24
1,32,25
1,30,26
1,29,27
1,35,33
1,36,38
1,39,37
2,0,4
2,37,1
2,2,3
2,5,8
2,6,7
2,13,9
2,14,10
2,15,11
2,16,12
2,18,17
2,19,21
2,20,25
2,22,23
2,24,26
2,30,27
2,28,29
2,31,32
2,36,33
2,35,34
2,38,39
3,39,0
3,1,38
3,4,2
3,3,37
3,7,5
3,9,6
3,8,14
3,10,16
3,11,13
3,12,15
3,17,19
3,21,18
3,23,20
3,25,22
3,27,24
3,26,28
3,29,31
3,33,30
3,32,35
3,34,36
4,0,38
4,1,2
4,3,8
4,4,7
4,6,5
4,9,10
4,19,11
4,18,12
4,16,13
4,14,15
4,20,17
4,21,22
4,23,26
4,24,29
4,28,25
4,31,27
4,30,34
4,32,33
4,35,37
4,36,39
5,37,0
5,5,1
5,2,36
5,38,3
5,8,4
5,10,6
5,7,9
5,11,20
5,12,19
5,13,14
5,15,18
5,17,16
5,26,21
5,22,24
5,27,23
5,29,25
5,34,28
5,32,30
5,33,31
5,39,35
