10,MiaoAlgo,I_CON40_10,1,100
NrSuccesfullMatchings,101426,NrInfeasibleMatchings,0
Time,Value 
180,280
150,280
120,280
90,280
60,280
30,280
0,284
Final, 280,196

Round,H_team,A_team 
0,1,0
0,2,3
0,4,5
0,7,6
0,10,8
0,11,9
0,17,12
0,19,13
0,20,14
0,21,15
0,22,16
0,28,18
0,30,23
0,31,24
0,32,25
0,33,26
0,34,27
0,35,29
0,36,37
0,39,38
1,2,0
1,1,3
1,4,6
1,7,5
1,11,8
1,10,9
1,19,12
1,17,13
1,21,14
1,20,15
1,28,16
1,22,18
1,31,23
1,30,24
1,33,25
1,32,26
1,35,27
1,34,29
1,36,38
1,39,37
2,13,0
2,6,1
2,19,2
2,14,3
2,21,4
2,15,5
2,28,7
2,8,35
2,9,36
2,30,10
2,31,11
2,12,39
2,23,16
2,17,33
2,24,18
2,32,20
2,34,22
2,25,26
2,27,29
2,37,38
3,0,39
3,24,1
3,13,2
3,3,11
3,27,4
3,5,20
3,6,17
3,37,7
3,8,19
3,9,21
3,38,10
3,12,28
3,14,31
3,15,32
3,16,33
3,18,35
3,26,22
3,23,34
3,25,30
3,29,36
4,0,8
4,1,35
4,16,2
4,3,36
4,22,4
4,5,39
4,6,19
4,7,21
4,18,9
4,25,10
4,11,28
4,12,30
4,13,31
4,26,14
4,15,34
4,20,17
4,29,23
4,24,32
4,38,27
4,37,33
5,16,0
5,1,12
5,2,15
5,3,24
5,4,25
5,18,5
5,11,6
5,7,30
5,26,8
5,33,9
5,10,37
5,22,13
5,35,14
5,17,31
5,19,34
5,20,28
5,21,32
5,36,23
5,39,27
5,38,29
6,10,0
6,1,13
6,2,25
6,7,3
6,4,26
6,31,5
6,20,6
6,32,8
6,34,9
6,11,12
6,33,14
6,17,15
6,19,16
6,21,18
6,22,24
6,35,23
6,36,27
6,28,37
6,39,29
6,30,38
7,0,38
7,5,1
7,2,18
7,30,3
7,4,7
7,34,6
7,8,16
7,9,24
7,10,11
7,36,12
7,39,13
7,14,25
7,29,15
7,28,17
7,35,19
7,31,20
7,33,21
7,32,22
7,23,26
7,27,37
8,0,4
8,37,1
8,5,2
8,3,10
8,6,39
8,9,7
8,8,36
8,13,11
8,12,20
8,14,17
8,15,19
8,16,30
8,18,31
8,38,21
8,23,22
8,24,28
8,25,34
8,26,35
8,27,32
8,29,33
9,0,34
9,8,1
9,37,2
9,3,39
9,38,4
9,5,10
9,6,36
9,27,7
9,9,17
9,14,11
9,12,21
9,13,20
9,15,22
9,16,31
9,18,19
9,23,28
9,24,33
9,25,35
9,26,30
9,29,32
