26,MiaoAlgo,I_CON40_10,1,100
NrSuccesfullMatchings,100871,NrInfeasibleMatchings,0
Time,Value 
150,280
120,280
90,280
60,280
30,280
0,285
Final, 280,175

Round,H_team,A_team 
0,0,1
0,4,2
0,6,3
0,7,5
0,10,8
0,11,9
0,12,16
0,13,18
0,14,19
0,15,21
0,17,22
0,20,23
0,24,25
0,26,27
0,29,28
0,31,30
0,32,33
0,34,36
0,35,38
0,37,39
1,0,2
1,4,1
1,7,3
1,6,5
1,11,8
1,10,9
1,12,18
1,13,16
1,14,21
1,15,19
1,17,23
1,20,22
1,24,27
1,26,25
1,31,28
1,29,30
1,32,36
1,34,33
1,35,39
1,37,38
2,0,5
2,1,15
2,28,2
2,3,17
2,25,4
2,12,6
2,13,7
2,8,20
2,9,24
2,14,10
2,37,11
2,16,26
2,18,29
2,19,31
2,21,32
2,22,34
2,23,35
2,36,27
2,38,30
2,39,33
3,27,0
3,1,29
3,2,31
3,3,4
3,5,32
3,18,6
3,21,7
3,8,13
3,9,14
3,22,10
3,23,11
3,19,12
3,25,15
3,16,37
3,28,17
3,36,20
3,38,24
3,39,26
3,30,34
3,33,35
4,30,0
4,36,1
4,2,22
4,38,3
4,4,9
4,5,23
4,6,13
4,19,7
4,39,8
4,10,11
4,21,12
4,16,14
4,24,15
4,31,17
4,18,37
4,32,20
4,27,25
4,34,26
4,33,28
4,35,29
5,7,0
5,32,1
5,34,2
5,35,3
5,4,22
5,5,9
5,6,16
5,37,8
5,10,18
5,11,25
5,12,36
5,13,19
5,14,38
5,15,23
5,17,27
5,20,28
5,24,21
5,26,30
5,29,33
5,31,39
6,0,33
6,7,1
6,6,2
6,37,3
6,4,23
6,31,5
6,35,8
6,29,9
6,10,16
6,11,22
6,12,38
6,13,21
6,14,18
6,15,27
6,17,25
6,34,19
6,20,30
6,24,36
6,26,28
6,32,39
7,0,16
7,1,34
7,2,32
7,3,5
7,8,4
7,7,6
7,9,35
7,15,10
7,11,12
7,17,13
7,20,14
7,23,18
7,25,19
7,27,21
7,22,37
7,26,24
7,28,36
7,29,31
7,30,39
7,33,38
8,3,0
8,1,6
8,2,7
8,39,4
8,5,37
8,8,12
8,9,13
8,19,10
8,16,11
8,22,14
8,18,15
8,21,17
8,25,20
8,23,24
8,33,26
8,27,29
8,28,32
8,30,35
8,36,31
8,38,34
9,8,0
9,1,10
9,2,11
9,3,12
9,5,4
9,9,6
9,16,7
9,22,13
9,23,14
9,28,15
9,18,17
9,19,20
9,21,26
9,30,24
9,25,29
9,27,31
9,38,32
9,33,37
9,39,34
9,36,35
