30,MiaoAlgo,I_CON40_20,1,100
NrSuccesfullMatchings,6,NrInfeasibleMatchings,133850
Time,Value 
330,639
300,639
270,639
240,639
210,639
180,639
150,639
120,639
90,639
60,640
30,640
0,640
Final, 639,335

Round,H_team,A_team 
0,14,0
0,21,1
0,22,2
0,23,3
0,24,4
0,25,5
0,26,6
0,27,7
0,28,8
0,29,9
0,30,10
0,31,11
0,32,12
0,33,13
0,34,15
0,35,16
0,36,17
0,37,18
0,38,19
0,39,20
1,21,0
1,14,1
1,23,2
1,22,3
1,25,4
1,24,5
1,27,6
1,26,7
1,29,8
1,28,9
1,31,10
1,30,11
1,33,12
1,32,13
1,35,15
1,34,16
1,37,17
1,36,18
1,39,19
1,38,20
2,0,22
2,1,23
2,2,14
2,3,21
2,4,26
2,5,27
2,6,24
2,7,25
2,8,30
2,9,31
2,10,28
2,11,29
2,12,34
2,13,35
2,15,32
2,16,33
2,17,38
2,18,39
2,19,36
2,20,37
3,0,23
3,1,22
3,2,21
3,3,14
3,4,27
3,5,26
3,6,25
3,7,24
3,8,31
3,9,30
3,10,29
3,11,28
3,12,35
3,13,34
3,15,33
3,16,32
3,17,39
3,18,38
3,19,37
3,20,36
4,39,0
4,37,1
4,36,2
4,38,3
4,14,4
4,21,5
4,22,6
4,23,7
4,32,8
4,33,9
4,34,10
4,35,11
4,28,12
4,29,13
4,30,15
4,31,16
4,24,17
4,25,18
4,26,19
4,27,20
5,0,36
5,1,38
5,2,37
5,3,39
5,4,21
5,5,14
5,6,23
5,7,22
5,8,27
5,9,32
5,10,35
5,11,34
5,12,29
5,13,28
5,15,31
5,16,30
5,17,26
5,18,24
5,19,25
5,20,33
6,24,0
6,39,1
6,25,2
6,26,3
6,22,4
6,23,5
6,28,6
6,29,7
6,33,8
6,27,9
6,32,10
6,36,11
6,30,12
6,31,13
6,21,14
6,37,15
6,38,16
6,34,17
6,35,18
6,20,19
7,38,0
7,24,1
7,39,2
7,27,3
7,23,4
7,22,5
7,14,6
7,28,7
7,34,8
7,35,9
7,33,10
7,32,11
7,31,12
7,30,13
7,36,15
7,37,16
7,25,17
7,26,18
7,21,19
7,29,20
8,0,25
8,1,26
8,2,24
8,3,28
8,4,29
8,5,30
8,6,31
8,7,14
8,8,23
8,9,34
8,10,27
8,11,33
8,12,36
8,13,37
8,15,38
8,16,39
8,17,32
8,18,21
8,19,35
8,20,22
9,35,0
9,34,1
9,27,2
9,24,3
9,28,4
9,29,5
9,32,6
9,30,7
9,14,8
9,36,9
9,37,10
9,38,11
9,39,12
9,26,13
9,25,15
9,21,16
9,31,17
9,22,18
9,33,19
9,23,20
10,0,26
10,1,35
10,2,28
10,3,29
10,4,30
10,5,31
10,6,21
10,7,32
10,8,25
10,9,14
10,10,36
10,11,27
10,12,37
10,13,38
10,15,39
10,16,23
10,17,33
10,18,34
10,19,22
10,20,24
11,0,31
11,1,25
11,2,26
11,3,30
11,4,39
11,5,28
11,6,29
11,7,33
11,8,24
11,9,23
11,10,14
11,11,37
11,12,38
11,13,36
11,15,27
11,16,22
11,17,35
11,18,32
11,19,34
11,20,21
12,37,0
12,28,1
12,38,2
12,25,3
12,35,4
12,33,5
12,30,6
12,34,7
12,22,8
12,24,9
12,23,10
12,14,11
12,27,12
12,39,13
12,29,15
12,36,16
12,21,17
12,31,18
12,32,19
12,26,20
13,32,0
13,36,1
13,35,2
13,37,3
13,38,4
13,39,5
13,34,6
13,31,7
13,26,8
13,22,9
13,24,10
13,25,11
13,14,12
13,27,13
13,21,15
13,29,16
13,30,17
13,33,18
13,23,19
13,28,20
14,0,34
14,1,32
14,2,33
14,3,36
14,4,37
14,5,38
14,6,39
14,7,21
14,8,35
14,9,26
14,10,22
14,11,23
14,12,24
14,13,14
14,15,28
14,16,27
14,17,29
14,18,30
14,19,31
14,20,25
15,0,33
15,1,31
15,2,34
15,3,32
15,4,36
15,5,37
15,6,38
15,7,39
15,8,21
15,9,25
15,10,26
15,11,22
15,12,23
15,13,24
15,15,14
15,16,28
15,17,27
15,18,29
15,19,30
15,20,35
16,0,27
16,1,33
16,2,30
16,3,34
16,4,32
16,5,36
16,6,35
16,7,37
16,8,39
16,9,21
16,10,38
16,11,24
16,12,22
16,13,23
16,18,14
16,15,26
16,16,25
16,17,28
16,19,29
16,20,31
17,29,0
17,30,1
17,31,2
17,33,3
17,34,4
17,35,5
17,36,6
17,38,7
17,37,8
17,39,9
17,21,10
17,26,11
17,25,12
17,22,13
17,14,17
17,23,15
17,24,16
17,28,18
17,27,19
17,32,20
18,30,0
18,27,1
18,29,2
18,31,3
18,33,4
18,32,5
18,37,6
18,35,7
18,36,8
18,38,9
18,39,10
18,21,11
18,26,12
18,25,13
18,14,16
18,24,15
18,22,17
18,23,18
18,28,19
18,34,20
19,0,28
19,1,29
19,2,32
19,3,35
19,4,31
19,5,34
19,6,33
19,7,36
19,8,38
19,9,37
19,10,25
19,11,39
19,12,21
19,13,20
19,14,30
19,15,22
19,16,26
19,17,23
19,18,27
19,19,24
