47,MiaoAlgo,I_CON40_20,1,100
NrSuccesfullMatchings,127324,NrInfeasibleMatchings,80313
Time,Value 
720,560
690,560
660,560
630,560
600,560
570,560
540,560
510,560
480,560
450,560
420,560
390,560
0,680
30,680
60,680
90,680
120,678
150,678
180,678
210,570
240,564
270,563
300,562
330,560
360,560
Final, 560,740

Round,H_team,A_team 
0,0,2
0,1,4
0,3,5
0,9,6
0,11,7
0,13,8
0,14,10
0,17,12
0,18,15
0,21,16
0,24,19
0,25,20
0,26,22
0,28,23
0,30,27
0,31,29
0,32,33
0,34,35
0,36,38
0,37,39
1,0,38
1,1,17
1,6,2
1,9,3
1,11,4
1,13,5
1,14,7
1,18,8
1,21,10
1,24,12
1,25,15
1,26,16
1,28,19
1,30,20
1,31,22
1,32,23
1,34,27
1,29,39
1,36,33
1,37,35
2,0,10
2,1,13
2,4,2
2,6,3
2,29,5
2,7,12
2,8,20
2,34,9
2,11,25
2,14,26
2,15,22
2,16,27
2,37,17
2,18,28
2,19,33
2,21,30
2,23,35
2,24,31
2,32,36
2,38,39
3,39,0
3,3,1
3,2,7
3,4,14
3,5,25
3,35,6
3,8,21
3,30,9
3,10,13
3,29,11
3,12,26
3,15,24
3,16,18
3,33,17
3,19,32
3,20,28
3,22,36
3,23,34
3,27,31
3,38,37
4,35,0
4,34,1
4,2,5
4,3,26
4,4,18
4,27,6
4,39,7
4,8,14
4,12,9
4,10,28
4,30,11
4,13,21
4,15,32
4,22,16
4,17,29
4,19,37
4,20,36
4,23,24
4,31,25
4,33,38
5,0,7
5,36,1
5,2,15
5,3,24
5,21,4
5,39,5
5,25,6
5,31,8
5,9,19
5,17,10
5,34,11
5,12,23
5,13,32
5,30,14
5,28,16
5,18,37
5,20,29
5,27,22
5,26,33
5,35,38
6,0,33
6,1,8
6,36,2
6,7,3
6,6,4
6,5,38
6,9,15
6,37,10
6,11,12
6,13,34
6,14,19
6,31,16
6,17,20
6,18,30
6,21,22
6,25,23
6,24,27
6,26,29
6,28,35
6,32,39
7,0,20
7,38,1
7,29,2
7,32,3
7,12,4
7,5,33
7,6,17
7,7,23
7,8,36
7,9,18
7,10,27
7,11,21
7,28,13
7,14,31
7,15,19
7,16,35
7,22,39
7,24,30
7,37,25
7,26,34
8,23,0
8,33,1
8,2,35
8,3,28
8,4,26
8,5,30
8,38,6
8,7,31
8,19,8
8,32,9
8,10,34
8,14,11
8,12,13
8,15,21
8,16,37
8,22,17
8,29,18
8,39,20
8,36,24
8,27,25
9,27,0
9,20,1
9,2,39
9,3,31
9,4,13
9,35,5
9,33,6
9,38,7
9,10,8
9,29,9
9,15,11
9,12,14
9,16,17
9,34,18
9,19,25
9,36,21
9,22,28
9,23,37
9,24,32
9,30,26
10,17,0
10,1,5
10,18,2
10,3,16
10,4,15
10,20,6
10,25,7
10,33,8
10,36,9
10,23,10
10,11,26
10,34,12
10,13,29
10,24,14
10,21,19
10,37,22
10,28,27
10,30,32
10,31,38
10,35,39
11,0,16
11,1,7
11,25,2
11,20,3
11,5,4
11,6,10
11,8,27
11,9,23
11,11,24
11,31,12
11,13,14
11,37,15
11,17,38
11,18,32
11,26,19
11,21,34
11,35,22
11,28,36
11,30,29
11,39,33
12,0,24
12,1,10
12,2,38
12,22,3
12,7,4
12,5,15
12,6,23
12,8,11
12,9,33
12,39,12
12,13,30
12,14,28
12,16,20
12,17,31
12,21,18
12,19,29
12,25,34
12,26,36
12,27,35
12,32,37
13,0,4
13,22,1
13,2,33
13,38,3
13,5,18
13,6,24
13,7,35
13,8,30
13,9,17
13,10,20
13,32,11
13,12,25
13,26,13
13,14,21
13,15,28
13,16,34
13,19,31
13,39,23
13,27,36
13,29,37
14,18,0
14,23,1
14,19,2
14,3,39
14,4,20
14,24,5
14,36,6
14,7,22
14,37,8
14,14,9
14,10,29
14,11,35
14,12,30
14,33,13
14,15,26
14,16,25
14,17,28
14,32,21
14,38,27
14,34,31
15,37,0
15,1,27
15,20,2
15,3,19
15,4,38
15,10,5
15,28,6
15,33,7
15,35,8
15,13,9
15,11,16
15,18,12
15,36,14
15,30,15
15,17,21
15,23,22
15,24,26
15,25,29
15,31,39
15,34,32
16,0,6
16,1,39
16,34,2
16,3,14
16,4,8
16,20,5
16,13,7
16,9,38
16,11,10
16,37,12
16,35,15
16,24,16
16,17,32
16,18,26
16,30,19
16,21,27
16,25,22
16,36,23
16,28,29
16,31,33
17,22,0
17,1,35
17,2,37
17,21,3
17,32,4
17,5,12
17,6,15
17,7,10
17,8,24
17,9,11
17,25,13
17,14,18
17,29,16
17,26,17
17,27,19
17,33,20
17,38,23
17,28,30
17,31,36
17,39,34
18,5,0
18,2,1
18,35,3
18,39,4
18,6,11
18,7,9
18,8,17
18,10,18
18,12,21
18,15,13
18,16,14
18,19,34
18,20,24
18,22,30
18,23,31
18,33,25
18,26,37
18,27,32
18,38,28
18,29,36
19,8,0
19,6,1
19,2,3
19,4,9
19,5,31
19,7,17
19,10,24
19,38,11
19,12,28
19,16,13
19,15,14
19,19,18
19,20,21
19,22,32
19,23,26
19,35,25
19,27,37
19,29,34
19,33,30
19,39,36
