58,MiaoAlgo,I_CON40_20,1,100
NrSuccesfullMatchings,117786,NrInfeasibleMatchings,50589
Time,Value 
600,560
570,560
540,560
510,560
480,560
450,560
420,560
390,560
0,680
30,680
60,680
90,678
120,582
150,564
180,561
210,560
240,560
270,560
300,560
330,560
360,560
Final, 560,608

Round,H_team,A_team 
0,0,1
0,3,2
0,5,4
0,6,13
0,7,14
0,8,19
0,9,20
0,10,23
0,11,24
0,12,26
0,15,27
0,16,28
0,17,29
0,18,31
0,21,32
0,22,33
0,25,34
0,30,37
0,35,38
0,36,39
1,0,28
1,20,1
1,12,2
1,3,9
1,16,4
1,5,11
1,6,15
1,10,7
1,8,17
1,18,13
1,21,14
1,22,19
1,25,23
1,30,24
1,35,26
1,36,27
1,32,29
1,34,31
1,37,33
1,39,38
2,0,2
2,1,24
2,34,3
2,37,4
2,5,6
2,22,7
2,8,12
2,30,9
2,10,21
2,36,11
2,13,26
2,14,28
2,20,15
2,16,25
2,32,17
2,18,35
2,39,19
2,23,29
2,27,31
2,38,33
3,26,0
3,1,7
3,2,21
3,27,3
3,4,12
3,32,5
3,38,6
3,34,8
3,28,9
3,37,10
3,29,11
3,13,22
3,14,30
3,31,15
3,39,16
3,33,17
3,20,18
3,19,25
3,23,36
3,24,35
4,9,0
4,29,1
4,2,20
4,11,3
4,4,8
4,12,5
4,6,22
4,7,36
4,14,10
4,13,30
4,15,25
4,21,16
4,17,34
4,38,18
4,19,32
4,31,23
4,24,37
4,26,39
4,33,27
4,28,35
5,29,0
5,26,1
5,2,23
5,3,5
5,4,22
5,6,16
5,7,30
5,36,8
5,9,14
5,12,10
5,11,13
5,15,32
5,17,20
5,21,18
5,19,34
5,24,38
5,25,37
5,35,27
5,28,39
5,31,33
6,0,33
6,27,1
6,30,2
6,3,14
6,21,4
6,5,19
6,12,6
6,7,20
6,8,24
6,9,26
6,10,28
6,11,31
6,36,13
6,15,29
6,16,32
6,17,37
6,18,34
6,22,38
6,35,23
6,25,39
7,23,0
7,1,33
7,32,2
7,10,3
7,4,31
7,22,5
7,25,6
7,35,7
7,8,9
7,19,11
7,18,12
7,34,13
7,37,14
7,28,15
7,20,16
7,27,17
7,36,21
7,39,24
7,38,26
7,29,30
8,0,31
8,1,16
8,2,17
8,33,3
8,13,4
8,34,5
8,6,21
8,32,7
8,30,8
8,37,9
8,10,22
8,38,11
8,20,12
8,14,19
8,39,15
8,18,36
8,23,24
8,28,25
8,26,27
8,29,35
9,0,27
9,1,5
9,24,2
9,31,3
9,26,4
9,6,35
9,9,7
9,39,8
9,30,10
9,11,15
9,32,12
9,13,17
9,14,20
9,16,29
9,28,18
9,33,19
9,37,21
9,22,36
9,23,34
9,38,25
10,0,4
10,17,1
10,33,2
10,3,20
10,5,23
10,6,10
10,7,29
10,31,8
10,9,38
10,11,32
10,12,28
10,35,13
10,26,14
10,15,34
10,16,37
10,22,18
10,24,19
10,21,39
10,25,27
10,30,36
11,19,0
11,8,1
11,2,29
11,3,24
11,4,33
11,5,38
11,36,6
11,7,13
11,9,39
11,10,32
11,11,28
11,12,22
11,15,14
11,16,30
11,17,23
11,25,18
11,31,20
11,21,26
11,27,34
11,35,37
12,34,0
12,1,13
12,2,37
12,3,28
12,4,38
12,5,21
12,7,6
12,8,22
12,12,9
12,10,25
12,35,11
12,14,31
12,15,30
12,36,16
12,17,26
12,18,32
12,19,23
12,20,39
12,27,24
12,29,33
13,13,0
13,1,3
13,2,5
13,4,24
13,39,6
13,19,7
13,20,8
13,27,9
13,10,35
13,26,11
13,36,12
13,14,25
13,37,15
13,31,16
13,28,17
13,29,18
13,34,21
13,32,22
13,23,33
13,38,30
14,0,20
14,23,1
14,39,2
14,29,3
14,6,4
14,33,5
14,31,7
14,28,8
14,24,9
14,26,10
14,11,12
14,13,19
14,32,14
14,38,15
14,34,16
14,30,17
14,37,18
14,21,35
14,22,27
14,25,36
15,0,14
15,9,1
15,6,2
15,3,23
15,17,4
15,5,27
15,24,7
15,25,8
15,11,10
15,12,15
15,39,13
15,16,19
15,26,18
15,33,20
15,21,38
15,22,29
15,30,28
15,31,36
15,32,37
15,35,34
16,0,24
16,15,1
16,9,2
16,3,13
16,35,4
16,5,20
16,6,37
16,7,23
16,8,27
16,10,29
16,11,39
16,12,31
16,16,14
16,17,19
16,18,33
16,21,28
16,22,26
16,25,32
16,30,34
16,36,38
17,7,0
17,1,38
17,2,36
17,3,21
17,4,32
17,5,25
17,20,6
17,8,10
17,9,31
17,14,11
17,17,12
17,13,29
17,15,35
17,16,22
17,18,30
17,19,26
17,23,39
17,24,34
17,27,37
17,33,28
18,38,0
18,1,31
18,2,16
18,7,3
18,4,9
18,37,5
18,18,6
18,8,11
18,15,10
18,13,12
18,14,17
18,19,21
18,20,22
18,23,30
18,24,25
18,29,26
18,27,32
18,28,36
18,33,35
18,34,39
19,32,0
19,1,30
19,2,35
19,4,3
19,13,5
19,34,6
19,38,7
19,14,8
19,19,9
19,20,10
19,23,11
19,24,12
19,26,15
19,27,16
19,31,17
19,39,18
19,29,21
19,28,22
19,33,25
19,37,36
