63,MiaoAlgo,I_CON40_20,1,100
NrSuccesfullMatchings,130873,NrInfeasibleMatchings,112610
Time,Value 
780,560
750,560
720,560
690,560
660,560
630,560
600,560
570,560
540,560
510,560
480,560
450,560
420,560
390,560
0,640
30,640
60,640
90,639
120,637
150,637
180,637
210,637
240,636
270,576
300,565
330,564
360,562
Final, 560,805

Round,H_team,A_team 
0,0,1
0,2,4
0,3,5
0,6,9
0,7,10
0,8,11
0,13,12
0,14,15
0,16,17
0,19,18
0,21,20
0,24,22
0,25,23
0,28,26
0,30,27
0,31,29
0,34,32
0,36,33
0,37,35
0,39,38
1,0,26
1,9,1
1,2,21
1,3,25
1,8,4
1,13,5
1,6,30
1,7,19
1,14,10
1,16,11
1,24,12
1,28,15
1,31,17
1,34,18
1,36,20
1,37,22
1,39,23
1,27,29
1,32,33
1,35,38
2,5,0
2,7,1
2,2,12
2,3,6
2,27,4
2,9,8
2,32,10
2,35,11
2,13,31
2,14,36
2,15,17
2,16,37
2,20,18
2,24,19
2,28,21
2,26,22
2,33,23
2,34,25
2,38,29
2,39,30
3,0,9
3,1,26
3,29,2
3,32,3
3,4,31
3,5,39
3,17,6
3,35,7
3,10,8
3,11,36
3,12,37
3,38,13
3,20,14
3,15,16
3,18,25
3,22,19
3,21,24
3,23,27
3,30,28
3,33,34
4,0,12
4,1,13
4,25,2
4,18,3
4,4,32
4,5,8
4,6,14
4,7,20
4,19,9
4,10,35
4,11,37
4,15,24
4,21,16
4,17,36
4,22,27
4,23,38
4,29,26
4,31,28
4,30,34
4,33,39
5,0,10
5,1,12
5,37,2
5,29,3
5,4,33
5,11,5
5,6,13
5,7,26
5,8,32
5,18,9
5,14,16
5,31,15
5,17,35
5,19,20
5,21,39
5,22,23
5,30,24
5,25,27
5,34,28
5,36,38
6,38,0
6,19,1
6,2,32
6,3,21
6,24,4
6,14,5
6,34,6
6,13,7
6,8,30
6,9,29
6,12,10
6,25,11
6,36,15
6,16,31
6,28,17
6,37,18
6,20,35
6,39,22
6,26,23
6,27,33
7,18,0
7,20,1
7,2,30
7,14,3
7,22,4
7,27,5
7,24,6
7,34,7
7,13,8
7,9,31
7,26,10
7,32,11
7,12,23
7,33,15
7,28,16
7,38,17
7,36,19
7,37,21
7,39,25
7,35,29
8,23,0
8,1,32
8,2,31
8,22,3
8,17,4
8,5,30
8,6,7
8,33,8
8,9,28
8,10,29
8,12,11
8,13,34
8,24,14
8,15,25
8,35,16
8,18,36
8,19,37
8,26,20
8,38,21
8,27,39
9,0,20
9,1,38
9,11,2
9,3,26
9,4,12
9,5,36
9,6,28
9,7,14
9,16,8
9,10,9
9,35,13
9,15,39
9,17,18
9,19,34
9,21,22
9,23,32
9,33,24
9,30,25
9,31,27
9,29,37
10,0,32
10,29,1
10,10,2
10,3,34
10,4,9
10,5,35
10,6,33
10,7,24
10,8,38
10,11,27
10,25,12
10,21,13
10,19,14
10,15,26
10,16,36
10,17,37
10,31,18
10,23,20
10,30,22
10,28,39
11,0,13
11,39,1
11,20,2
11,3,12
11,4,38
11,31,5
11,21,6
11,7,15
11,8,18
11,11,9
11,25,10
11,14,17
11,16,19
11,29,22
11,36,23
11,28,24
11,32,26
11,37,27
11,30,33
11,34,35
12,24,0
12,37,1
12,2,23
12,8,3
12,26,4
12,12,5
12,25,6
12,32,7
12,9,17
12,28,10
12,18,11
12,13,16
12,14,30
12,22,15
12,39,19
12,20,29
12,34,21
12,27,35
12,36,31
12,38,33
13,11,0
13,1,4
13,26,2
13,10,3
13,23,5
13,18,6
13,17,7
13,22,8
13,9,39
13,12,15
13,27,13
13,37,14
13,29,16
13,32,19
13,20,31
13,33,21
13,24,34
13,35,25
13,36,28
13,38,30
14,4,0
14,1,18
14,2,17
14,3,16
14,5,20
14,6,36
14,21,7
14,8,14
14,25,9
14,10,27
14,39,11
14,12,29
14,13,24
14,15,32
14,19,31
14,22,34
14,23,35
14,26,33
14,38,28
14,30,37
15,0,15
15,1,27
15,2,24
15,3,28
15,4,35
15,19,5
15,6,38
15,7,22
15,8,12
15,13,9
15,21,10
15,14,11
15,16,32
15,25,17
15,30,18
15,34,20
15,37,23
15,36,26
15,39,29
15,31,33
16,0,29
16,16,1
16,2,15
16,3,4
16,7,5
16,6,22
16,8,17
16,21,9
16,13,10
16,19,11
16,30,12
16,14,38
16,39,18
16,25,20
16,34,23
16,24,32
16,37,26
16,36,27
16,28,33
16,31,35
17,35,0
17,23,1
17,28,2
17,33,3
17,18,4
17,5,22
17,31,6
17,16,7
17,24,8
17,9,38
17,10,19
17,11,13
17,12,14
17,15,30
17,17,21
17,20,37
17,26,25
17,27,34
17,29,36
17,32,39
18,17,0
18,1,31
18,27,2
18,9,3
18,4,6
18,5,16
18,11,7
18,15,8
18,10,24
18,12,19
18,18,13
18,22,14
18,20,28
18,23,21
18,29,25
18,26,30
18,32,36
18,33,37
18,38,34
18,35,39
19,22,0
19,1,34
19,33,2
19,11,3
19,4,39
19,5,6
19,27,7
19,20,8
19,9,14
19,10,16
19,12,21
19,15,13
19,17,19
19,18,24
19,23,28
19,32,25
19,26,31
19,29,30
19,35,36
19,38,37
