75,MiaoAlgo,I_CON40_20,1,100
NrSuccesfullMatchings,4,NrInfeasibleMatchings,109769
Time,Value 
240,697
210,697
180,697
150,697
120,697
90,697
60,697
30,697
0,700
Final, 697,249

Round,H_team,A_team 
0,11,0
0,21,1
0,22,2
0,23,3
0,24,4
0,25,5
0,26,6
0,27,7
0,28,8
0,29,9
0,30,10
0,31,12
0,32,13
0,33,14
0,34,15
0,35,16
0,36,17
0,37,18
0,38,19
0,39,20
1,21,0
1,11,1
1,23,2
1,22,3
1,25,4
1,24,5
1,27,6
1,26,7
1,29,8
1,28,9
1,31,10
1,30,12
1,33,13
1,32,14
1,35,15
1,34,16
1,37,17
1,36,18
1,39,19
1,38,20
2,0,22
2,1,23
2,2,11
2,3,21
2,4,26
2,5,27
2,6,24
2,7,25
2,8,30
2,9,31
2,10,28
2,12,29
2,13,34
2,14,35
2,15,32
2,16,33
2,17,38
2,18,39
2,19,36
2,20,37
3,0,23
3,1,22
3,2,21
3,3,11
3,4,27
3,5,26
3,6,25
3,7,24
3,8,31
3,9,30
3,10,29
3,12,28
3,13,35
3,14,34
3,15,33
3,16,32
3,17,39
3,18,38
3,19,37
3,20,36
4,39,0
4,37,1
4,36,2
4,38,3
4,11,4
4,21,5
4,22,6
4,23,7
4,32,8
4,33,9
4,34,10
4,35,12
4,28,13
4,29,14
4,30,15
4,31,16
4,24,17
4,25,18
4,26,19
4,27,20
5,0,36
5,1,38
5,2,37
5,3,39
5,4,21
5,5,11
5,6,23
5,7,22
5,8,27
5,9,32
5,10,35
5,12,34
5,13,29
5,14,28
5,15,31
5,16,30
5,17,26
5,18,24
5,19,25
5,20,33
6,0,37
6,1,39
6,2,38
6,3,27
6,4,22
6,5,23
6,6,11
6,7,21
6,8,33
6,9,34
6,10,32
6,12,36
6,13,30
6,14,31
6,15,28
6,16,29
6,17,35
6,18,26
6,19,24
6,20,25
7,38,0
7,25,1
7,26,2
7,37,3
7,23,4
7,22,5
7,21,6
7,39,7
7,34,8
7,27,9
7,33,10
7,11,18
7,32,12
7,31,13
7,30,14
7,29,15
7,36,16
7,28,17
7,35,19
7,24,20
8,0,35
8,1,24
8,2,25
8,3,26
8,4,28
8,5,29
8,6,30
8,7,31
8,8,22
8,9,23
8,10,27
8,11,21
8,12,33
8,13,36
8,14,37
8,15,38
8,16,39
8,17,32
8,18,34
8,19,20
9,24,0
9,26,1
9,27,2
9,25,3
9,29,4
9,28,5
9,31,6
9,30,7
9,11,8
9,21,9
9,22,10
9,23,12
9,37,13
9,36,14
9,39,15
9,38,16
9,33,17
9,32,18
9,34,19
9,35,20
10,0,25
10,1,35
10,2,39
10,3,24
10,4,30
10,5,31
10,6,29
10,7,32
10,8,21
10,9,11
10,10,23
10,12,22
10,13,26
10,14,38
10,15,36
10,16,37
10,17,34
10,18,33
10,19,27
10,20,28
11,26,0
11,36,1
11,24,2
11,28,3
11,38,4
11,30,5
11,32,6
11,29,7
11,23,8
11,22,9
11,11,10
11,21,12
11,25,13
11,39,14
11,37,15
11,27,16
11,31,17
11,35,18
11,33,19
11,34,20
12,0,27
12,1,28
12,2,35
12,3,36
12,4,39
12,5,38
12,6,33
12,7,34
12,8,37
12,9,25
12,10,21
12,12,11
12,13,22
12,14,23
12,15,26
12,16,24
12,17,29
12,18,30
12,19,31
12,20,32
13,31,0
13,34,1
13,20,2
13,35,3
13,36,4
13,39,5
13,38,6
13,33,7
13,24,8
13,26,9
13,25,10
13,22,11
13,37,12
13,21,13
13,27,14
13,23,15
13,28,16
13,30,17
13,29,18
13,32,19
14,0,33
14,1,31
14,2,32
14,3,34
14,4,37
14,5,36
14,6,39
14,7,35
14,8,25
14,9,24
14,10,26
14,16,11
14,12,38
14,13,23
14,14,21
14,15,22
14,17,27
14,18,28
14,19,29
14,20,30
15,0,32
15,1,33
15,2,29
15,3,30
15,4,31
15,5,37
15,6,34
15,7,36
15,8,39
15,9,35
15,10,24
15,11,26
15,12,25
15,13,38
15,14,22
15,15,21
15,16,23
15,17,20
15,18,27
15,19,28
16,34,0
16,27,1
16,31,2
16,29,3
16,32,4
16,33,5
16,35,6
16,37,7
16,26,8
16,36,9
16,38,10
16,28,11
16,24,12
16,39,13
16,25,14
16,20,15
16,21,16
16,22,17
16,23,18
16,30,19
17,28,0
17,30,1
17,34,2
17,31,3
17,33,4
17,32,5
17,36,6
17,38,7
17,35,8
17,37,9
17,39,10
17,11,14
17,27,12
17,24,13
17,25,15
17,26,16
17,21,17
17,22,18
17,23,19
17,29,20
18,0,30
18,1,29
18,2,33
18,3,32
18,4,34
18,5,35
18,6,28
18,7,20
18,8,36
18,9,38
18,10,37
18,11,31
18,12,39
18,13,27
18,14,26
18,15,24
18,16,25
18,17,23
18,18,21
18,19,22
19,29,0
19,32,1
19,30,2
19,33,3
19,35,4
19,34,5
19,37,6
19,28,7
19,38,8
19,39,9
19,36,10
19,23,11
19,26,12
19,20,13
19,24,14
19,27,15
19,22,16
19,25,17
19,31,18
19,21,19
